id,name,text,trans
3021002020010,小糸,ひ、雛菜ちゃん……！,H-Hinana-chan...!
3021002020020,雛菜,ん～～～？,Hmmmm～?
3021002020030,小糸,"い、今……！
ひとりで3曲入れたでしょ……！",D-Did you... just put in three songs!?
3021002020040,雛菜,入れたよ～～～？,"Yeah, I did～?"
3021002020050,小糸,"だ、ダメだよ……！
みんなで来てるんだから！",Y-You can't do that! You're not the only one here!
3021002020060,小糸,"そ、それに
次は透ちゃんの番だったでしょ……！","A-And besides, you knew it was Toru-chan's turn...!"
3021002020070,雛菜,"え～？
でも誰も入れてなかったよ～？","Eehh～?
But no one had put in any songs～?"
3021002020080,小糸,"そ、それなら
一言聞いてから……！",T-Then just ask first...!
3021002020090,透,いいよ、雛菜の番,I'm fine with it. Hinana's turn.
3021002020100,小糸,と、透ちゃん……,T-Toru-chan...
3021002020110,雛菜,"あっ、じゃあ～～～！
透先輩、雛菜と一緒に歌お～？","Aah, in that case～～!
Toru-senpai, wanna sing together～?"
3021002020120,透,"え？　うん
歌えるかな","Huh? Sure.
Wonder if I can."
3021002020130,雛菜,やは～～～♡,Yaha～～♡
3021002020140,小糸,も、もう……！,J-Jeez...!
3021002020150,円香,"ただいま……
ちょっと奥入れて","I'm back...
Can you lemme through?"
3021002020160,透,はい,Hup.
3021002020170,小糸,お、おかえりなさい……！,W-Welcome back...!
3021002020180,円香,……曲始まってるけど、誰の？　歌わないの？,"...That song that's playing, whose is that? Not gonna sing?"
3021002020190,雛菜,"は～い、雛菜～～～！
マイクとって～！",That's Hinana's～～! Someone pass the mic～!
3021002020200,円香,なんかさっきから雛菜ばっかり歌ってない？,Is it just me or has every song been Hinana's for a while now?
3021002020210,雛菜,"そんなことないけど～……
あは、透先輩と一緒に歌います～♡","That's not true～...
Ahah, and this one's together with Toru-senpai～♡"
3021002020220,透,……,......
3021002020230,透,"あー、やっぱパス
わかんないや","Ah. No, I'll pass, sorry.
Don't know this one."
3021002020240,雛菜,"え～！
じゃあ次～～～","Eehh～?!
Next song then～!"
3021002020250,小糸,あ、あの……！,U-Uhm...
3021002020260,小糸,"みんなで歌うんだったら、
この間もらった曲は……！？","If you guys want to sing together, why don't we sing that song we got the other day...!?"
3021002020270,小糸,の、ノクチルの……！,T-The one for Noctchill...!
3021002020280,雛菜,"ん～、
でもカラオケに入ってないよ～？","Hmm～, but they don't have that one～?"
3021002020290,小糸,"そ、それは……
そうかもしれないけど……！","W-Well...
That's true, but..."
3021002020300,円香,"息抜きでカラオケ来たのに、
そこで練習するとか意味ないよね",We came here to relax. Turning that into a practice session kinda defeats the point.
3021002020310,小糸,"あ……
そ、そっか……","Ah....
I-I see..."
3021002020320,小糸,"み、みんなはもう
歌詞覚えた……！？",D-Do you guys know the lyrics by heart already...!?
3021002020330,円香,まあ、だいたい,"Well, most of it."
3021002020340,小糸,"わ、わたし！
歌詞の紙持ってるよ……！",I-I... have a print-out of the lyrics with me...!
3021002020350,小糸,……ほら！,...See?
3021002020360,透,……ふふっ,...Heheh.
3021002020370,透,歌詞、あるならいいじゃん,"If we've got the lyrics, why not."
3021002020380,透,やろ,Let's do it.
3021002020390,透,──あ、先に飲み物取ってきていい？,"──Ah, can I go get a drink first?"
3021002020400,小糸,うん……！,Sure...!
3021002020410,雛菜,"じゃあ雛菜も～
ラテ～、ラテ～～～♪","Then Hinana will go too～
Latte～, latte～～～♪"
3021002020420,小糸,"わたしも行こうかな……！
円香ちゃんは！？","I think I'll go too...!
What about you, Madoka!?"
3021002020430,円香,私は取ってきたばかりでしょ,"I just got one, remember?"
3021002020440,円香,……曲、鳴りっぱなしだから消しとくよ,"...Since no one bothered to stop the song, I'm going go ahead and turn it off."
3021002020450,小糸,"あ、ご、ごめんね！
すぐに戻ってくるね……！","Ah, s-sorry! We'll be right back...!"
3021002020460,円香,"はいはい、どーぞ
ごゆっくり","Yeah yeah, take your time."
3021002020470,雛菜,ノクチルの曲、いつカラオケに入るの～？,When will Noctchill's songs get added to the karaoke～?
3021002020480,透,え、入るの？,Huh? They will?
3021002020490,雛菜,"え～～～
入らないの～～～？","Whaaat～?
They wooon't～?"
3021002020500,小糸,"わ、わたしたちの名前も載るのかな……
プロデューサーさんに聞いて──……","I-I wonder if our names will be on there...
Let's ask the Produ──..."
3021002020510,円香,…………,......
3021002020520,円香,……,......
3021002020530,円香,……歌詞,...The lyrics...
3021002020540,円香,……,......
3021002020550,円香,んん……,Ahhem...
3021002020560,円香,……………………,......
3021002020570,円香,～…,Mmm～
info,produce_events/302100202.json,
Translator,,
