id,name,text,trans
3021003010010,off,"参考書、開きっぱなし
シャープペン、転がりっぱなし","Textbook, left open.
Mechanical pencil, somewhere on the table."
3021003010020,off,ノートの表紙、よれよれ,"Notebook cover, wrinkled."
3021003010030,円香,"……ちょっとテーブル拭く
ふたりともノート上げて","...I'll wipe the table.
Lift your notebooks, you two."
3021003010040,雛菜,ん～？,Hmm～?
3021003010050,透,"……あれ、濡れてる
ノート","...Ah, it's wet.
The notebook."
3021003010060,円香,飲み物、置きっぱなしだから,Because you're leaving your drink everywhere.
3021003010070,円香,"片付けたら
もう勉強しないでしょ","Why don't we clean up?
We're not studying anyways."
3021003010080,雛菜,"あは～
そうかも～？","Aha～
Maybe so～"
3021003010090,透,小糸ちゃんは？,What about Koito-chan?
3021003010100,円香,まだ,Not yet.
3021003010110,円香,……今、ついたみたい,"...She just arrived, apparently."
3021003010120,雛菜,"じゃあ雛菜
また何か買ってこよ～！","In that case,
Hinana will go and buy something～!"
3021003010130,円香,……何見てるの,...What are you looking at?
3021003010140,円香,"……
クレーンゲーム？","......
The claw game?"
3021003010150,透,"うん
落ちそう、あの人のやつ","Yep.
His prize, it might fall."
3021003010160,透,──雛菜、行くって言ってたから,──Ever since Hinana said she'll go...
3021003010170,透,あの人の落ちたら,It looked like that.
3021003010180,off,どうでもいいけど,"Not that I care, though."
3021003010190,小糸,"お、お待たせ……！
透ちゃん、円香ちゃん……！","S-Sorry for the wait...!
Toru-chan, Madoka-chan...!"
3021003010191,透＆円香,おつかれ,Good work.
3021003010200,小糸,"ご、ごめんね、遅くなっちゃって……
雛菜ちゃんは……？","S-sorry for being late...
Where's Hinana-chan...?"
3021003010210,透,あー,Ahh...
3021003010220,透,"買いに行った
なんか","She went out.
To buy something."
3021003010230,小糸,"そうなんだ……！
みんなはもう課題終わっちゃった？","I see...!
Did everyone already finish their homework?"
3021003010240,透,"全然
ちょっと休憩中","Nope.
Currently on break."
3021003010250,円香,ちょっとっていうか、ずっとね,Currently? More like the whole time.
3021003010260,透,"じゃあ、やろ
小糸ちゃん来たし","Let's do it, then.
Koito-chan is here too."
3021003010270,off,やらないと終わらない,"If you don't do it, it'll never be finished."
3021003010280,off,けど、やれば終わるし,"But if you do, at least it'll end."
3021003010290,雛菜,"ね、見て～！
プリンパイ！","Hey, lookie here～!
Pudding pie!"
3021003010300,雛菜,１階のパン屋さんにあった～！,The pastry shop on the 1st floor had some!
3021003010310,円香,そんなところまで行ってきたの？,You went that far?
3021003010320,off,どうでもいいけど,"Not that I care, though."
3021003010330,円香,"小糸、シェイク
──溶けるよ、どうでもいいけど","Koito, your shake.
──It's dripping. Not that I care, though."
3021003010340,小糸,え、あ、うん……！,"Eh, ah, right...!"
3021003010350,円香,……課題、少し休んでからにしたら？,...Why don't you take a break?
3021003010360,小糸,"あ……でも来るの遅くなっちゃったし
す、すぐに終わらせてみんなに追いつくよ……！","Ah... But I arrived late, so I'll just finish this
quick and catch up with everyone else...!"
3021003010370,off,小糸,Koito.
3021003010380,円香,"じゃ、やりながらでいいから
口開けて、ポテト","While you're working, then...
Open wide. French fry."
3021003010390,小糸,え……！,Eh...!
3021003010400,円香,ん,Here.
3021003010410,小糸,"あ、ありがと……？
……んん","T-Thanks...?
...Mmng..."
3021003010420,off,小糸、ちゃんとしてるね,"You're working hard, Koito."
3021003010430,円香,……ほら、あーん,"...Here. Say ""aah""."
3021003010440,小糸,あ、あふぃがと……！,F-Fhanks...!
3021003010450,off,食べな、たまには,"Eat lots, once in a while."
3021003010460,円香,……小糸,...Koito.
3021003010470,円香,ハムスターみたい,You're like a hamster.
3021003010480,小糸,ふぁっ、まふぉかしゃん,"Fh, mahfoga-shan..."
3021003010490,小糸,これたふぇきれふぁい……,I canf eef dish mush...
3021003010500,円香,ごめん、やりすぎた,"Sorry, I went too far."
3021003010510,off,……詰め込みすぎた,...I stuffed so much food in.
3021003010520,円香,雛菜、課題は？,"Hinana, your homework?"
3021003010530,雛菜,"ん～
プリンパイ食べたらね～？","Hmm～
After I eat my pudding pie, okay～?"
3021003010540,off,食べ終わらないやつ,The one who never stops eating.
3021003010550,透,"アイス、トリプルカップ
食べていいよ","Ice-cream, triple scoop.
You can have some."
3021003010560,雛菜,このアイス何味～？,What flavors are they～?
3021003010570,透,あー,Ahh...
3021003010580,透,"イチゴ、チョコミント──
……あと……バニラ？","Strawberry, mint chocolate──
...And... vanilla?"
3021003010590,円香,自分で買ったんでしょ,"You bought it yourself, didn't you?"
3021003010600,透,"でも
どうせ混ざるし、味","But... it'll just mix anyways.
The flavors."
3021003010610,off,適当なやつ,The inattentive one.
3021003010620,雛菜,──これチーズケーキ味～！,──This one is cheesecake flavor～!
3021003010630,円香,雛菜,Hinana.
3021003010640,雛菜,ん～？,Hmm～?
3021003010650,円香,"乗せて食べれば
──プリンパイに","What if you eat it together?
──With the pudding pie."
3021003010660,off,どうでもいいやつ,The one who doesn't really care.
3021003010670,off,ほんとくだらないことしかしてない,We're all just doing pointless things right now.
3021003010680,off,けど,But...
3021003010690,雛菜,"あ～……
ん～～～～～！","Aah～......
Mmmm～～～!"
3021003010700,円香,ね、贅沢,"See, it's delicious."
3021003010710,off,"でも、そろそろ戻らないとね
やることをやる、生活に","Eventually we have to go back.
Back to living our lives, doing what we have to do."
3021003010720,円香,アイス、私にも一口,I'll have a bite of that ice-cream too.
3021003010730,透,ん,Here.
3021003010740,円香,食べ終わったら帰ろう,Let's go home after we finish eating.
3021003010750,透,"終わってないけどね
課題","Though we're not finished.
With our homework."
3021003010760,円香,そりゃね、ほぼやってないから,"Well, of course. We barely did anything."
3021003010770,off,なのに、無駄に満腹,"But doing nothing was satisfying, somehow."
3021003010780,off,"参考書、閉じる
シャープペン、拾う","Textbook, closed.
Mechanical pencil, picked up."
3021003010790,円香,残りは各自で,Put away your own things.
3021003010800,off,表紙がよれよれのノート、仕舞う,"Wrinkled notebook, stowed away."
3021003010810,off,硬い本と、硬い本の間に,In between two hardcover books...
info,produce_events/302100301.json,
Translator,nkei,
