id,name,text,trans
3021006010010,小糸,"ま、円香ちゃん！
もうバス来てる……！","M-Madoka-chan,
the bus is here!"
3021006010020,円香,ん,Hmm?
3021006010030,小糸,は、走ろう、円香ちゃん！,H-hurry! Madoka-chan!
3021006010040,円香,"次でよくない？
すぐ来るでしょ","Can't we take the next one?
It'll be here soon."
3021006010050,小糸,"え……
で、でも、円香ちゃんが今日は早く帰るって……","Huh...?
B-but you said you had to get home early..."
3021006010060,円香,いいよ、遅れても,I don't mind being late.
3021006010070,小糸,"だ、だけど……
今日はすき焼きなんでしょ……！","B-But...
You're having sukiyaki for dinner...!"
3021006010080,小糸,ほ、ほら！　走って……！,H-Hurry! Let's run for it!
3021006010090,円香,えー,Ehh...
3021006010100,小糸,……すき焼き、間に合うね,"...Looks like, you'll make it for sukiyaki."
3021006010110,円香,別にいいのに,I really didn't mind being late.
3021006010120,小糸,えへへ……！,Ehehe...!
3021006010130,円香,……足元、何か落ちてる,...Did you drop that?
3021006010140,小糸,え？,Hmm?
3021006010150,円香,なんかぬいぐるみ……,A plushie...?
3021006010160,円香,…………,......
3021006010170,円香,"違った
ぬいぐるみがついたストラップ","Oh wait.
It's a strap with a plushie on it."
3021006010180,円香,……小糸の？,"...Koito, yours?"
3021006010190,小糸,"う、ううん……！
誰かの落とし物かな……？","N-No...
Maybe someone dropped it...?"
3021006010200,円香,…………,......
3021006010210,円香,降りる時、運転手さんに渡そう,Let's hand it to the driver when we get off.
3021006010220,小糸,うん……！,Sure...!
3021006010230,小糸,"か、可愛いね
このぬいぐるみ……","T-This plushie...
Sure is cute..."
3021006010240,小糸,"円香ちゃんは、
なんのキャラクターか知ってる？","Madoka-chan,
do you know who this character is?"
3021006010250,円香,知らない,Nope.
3021006010260,円香,小糸の方が詳しいでしょ,You'd be the expert.
3021006010270,小糸,"え……！
く、詳しくないよ……！","Wha- expert? N-No, I'm not...!"
3021006010280,円香,"ふうん……
でも持ってなかったっけ、なんか","Oh...?
Didn't you use to have one of these?"
3021006010290,円香,"ずっとランドセルにつけてたでしょ
こういうの","You kept it on your backpack,
remember?"
3021006010300,小糸,"あ……
そ、それは……","Um...
W-well..."
3021006010310,小糸,つけてたけど……,"I did, but..."
3021006010320,円香,……何？,...But?
3021006010330,小糸,え、あ、えっと……,Um... Err...
3021006010340,小糸,"ま、円香ちゃん……！
ご、ごめんね……","Madoka-chan...!
S-Sorry..."
3021006010350,小糸,"あ、あのストラップ、大事にしてたんだけど、
その……中学生の時になくしちゃって……","I... I tried to take care of it, but...
I lost it somewhere... in middle school..."
3021006010360,円香,……？,......?
3021006010370,円香,そうなんだ,"Oh, okay...?"
3021006010380,小糸,"う、うん……
でも、その時円香ちゃんに言えなくて……","A-And then...
I never told you like I should have..."
3021006010390,小糸,"ずっと、謝らなくちゃ……
って思ってたんだけど……！","And ever since... I've wanted...
to apologize...!"
3021006010400,円香,………,......
3021006010410,円香,なんで私に謝るの？,Why do you need to apologize?
3021006010420,小糸,え！,Huh!?
3021006010430,小糸,"えっと……
円香ちゃんからもらったから……？","Because...
Madoka-chan, you gave it to me...?"
3021006010440,円香,……,......
3021006010450,円香,私があげたんだっけ,I gave it to you?
3021006010460,小糸,そ、そうだよ！,"Y-Yes, you did!"
3021006010470,円香,……そうだったかも,...Maybe I did.
3021006010480,小糸,う、うん……！,Y-yeah...!
3021006010490,小糸,"だから、ごめんね……
円香ちゃん……","I'm sorry...
Madoka-chan..."
3021006010500,円香,別に、あげたことも覚えてなかったし,"Forget it. I didn't even remember that I gave it to
you."
3021006010510,円香,"……私がいらないやつを『小糸はいる？』って
聞いただけじゃなかったっけ","...Wasn't it something I didn't want?
And all I did was ask, ""Do you want it?"""
3021006010520,小糸,うん……,Yeah...
3021006010530,小糸,でも……ごめんね…………,But still... I'm sorry...
3021006010540,円香,…………,......
3021006010550,円香,何これ、たっか……,What the- that's pricey...
3021006010560,円香,"ストラップのくせに……
プレミアでもついたの……？","It's just a strap plushie...
Did they add a markup...?"
3021006010570,円香,…………,......
3021006010580,円香,"ま……
いっか……","Oh well...
Here goes..."
3021006010590,円香,ただいまー,I'm back～
0,円香の母,"ああ、おかえり！　早く着替えてきな
もうすき焼きできるからね","Oh, welcome back! Come and get changed,
the sukiyaki's almost ready."
3021006010600,円香,"ん……ねえ、あさっての昼って家にいる？
通販、受け取ってほしいんだけど──……","......Hey, are you home the day after tomorrow?
Could you accept a delivery for me at noon──..."
info,produce_events/302100601.json,
Translator,matcha,
