id,name,text,trans
3021015020010,透,ふあ……,*yawn*...
3021015020020,円香,あと何話くらい？,How many more episodes do we have to go?
3021015020030,透,えー……,Ehhー...
3021015020040,透,……あとちょっと,...Just a little more.
3021015020050,円香,……,...
3021015020060,円香,"ていうか、このドラマ
恋人の代わりに配信する流れから……","You know, the setting of this drama's like, the
protagonist broadcasts live streams in his lover's
place..."
3021015020070,円香,"いつのまにか恋人を殺した関係者に報復するっていう
設定が出てきて、それメインになってる","Then he eventually gets to take revenge on the
people involved with the killing of his lover. That's
the gist of it."
3021015020080,透,"戦ってるね
めっちゃ","He sure fought.
A lot."
3021015020090,円香,"……まあ、ノリと勢いだけで話が進む方が
頭使わないで観れるから助かるけど","...Well, it's easier to watch a story that goes with
the flow and momentum, since it's doesn't use your
head much."
3021015020100,透,んー……,Yeaー...
3021015020110,円香,トイレ？,Going to the toilet?
3021015020120,透,や……,Nah...
3021015020130,透,お腹空いて,I'm kinda hungry.
3021015020140,円香,"……夜食ね
それなら私も行く","...Getting a night snack, huh.
I'll tag along for some too."
3021015020150,透,見えない、なんも,"Can't see, anything."
3021015020160,円香,早く行って、ぶつかる,"Move already, or I'll knock into you."
3021015020170,透,へいへい,"Yea, yeah."
3021015020180,透,"ふぁ……
なんにする？","*yawn*...
What'd you like?"
3021015020190,円香,なんでもいい,Anything's fine.
3021015020200,透,ご飯、余り,"There's some rice, leftover."
3021015020210,透,"……と
鮭フレーク","...and, salmon flakes."
3021015020220,円香,じゃあ……お茶漬けにする？,"Then... how about we make some ochatsuke*?
*(Rice in soup / tea, with toppings)"
3021015020230,透,ん,Oki.
3021015020231,透＆円香,終わった……,Finished...
3021015020240,透,……,...
3021015020250,円香,"……ねえ、ここ
私の布団だけど","...Hey, you're in my futon."
3021015020260,透,んー……,Hmmー...
3021015020270,円香,"……ベッド
行ってくれないと眠れない","...If you don't get back into your bed, I won't be able
to sleep."
3021015020280,透,"んー……
樋口、使っていいよ","Hmー...
You can sleep there, Higuchi."
0000000000000,円香,……,...
3021015020300,透,"……いいね
夜食","...The night snack,
was delish, eh."
3021015020310,円香,ん,Yea.
3021015020320,透,"あ
起きてる","Ah.
You're still awake."
0000000000000,円香,……,...
3021015020340,透,"……すごいね
段々恋人になってくやつ","...Amazing wasn't it.
The part where he slowly turn into his lover."
3021015020350,透,"主人公の顔から
主人公が消えて","The protagonist's face, slowly ceases to be the
protagonist."
3021015020360,透,"死んだ恋人の顔になって
段々","Gradually, turning into the dead lover's face."
3021015020370,透,すごかった,It was amazing.
3021015020380,透,目、離せなくて,I couldn't take my eyes off it.
3021015020390,円香,……あの長回しの……,...That long shot...
3021015020400,透,"あー、あれね
グー","Aahー, that one.
It was Guuー."
3021015020410,円香,……同意,...Agreed.
3021015020420,円香,…………,......
3021015020430,透,"できるかな
私も","I wonder,
can I do it too."
3021015020440,透,"樋口になるの
段々","Gradually, turning into Higuchi."
3021015020450,円香,"……そんなの
……",...That sort of thing...
3021015020460,円香,…………,......
3021015020470,off,私にできることで,There's nothing I can do
3021015020480,off,浅倉にできないことはない,That Asakura cannot do
3021015020490,透,……寝た？,...You asleep?
3021015020500,透,樋口,Higuchi.
3021015020510,透,あー……──,Ahー...ー
3021015020520,透,"思ったんだけど
なんか……","I was thinking about it, but..."
3021015020530,透,…………,......
info,produce_events/302101502.json,
Translator,,
