id,name,text,trans
0000000000000,スタッフ１,"──弁当、買ってきましたんで、
ここ置いておきまーす","──I got your lunch!
Putting it over here, alright?"
0000000000000,スタッフ２,"ありがとー！
あと、そっちの機材一緒に運んでもらえる？","Appreciated!
Could you help me carry over that equipment next?"
0000000000000,スタッフ３,あ、俺も手伝いましょうか──,"Oh, lemme pitch in there too──"
3021005020010,小糸,い、いいのかな……？,A──are we okay...?
3021005020020,雛菜,ん～？,Hmm～?
3021005020030,小糸,わたしたちだけストーブのそばで……,The four of us just standing here by the stove...
3021005020040,小糸,"スタッフさん忙しそうだし……
何かお手伝いとか……","The staff all seem really busy...
Maybe we can help them out with something..."
3021005020050,円香,逆に邪魔になるんじゃない,Don't you think we'd be getting in their way?
3021005020060,円香,"それより
……見てたら？","That aside.
...do you see?"
0000000000000,カメラマンの声,──いいね～、浅倉クン……！,"──That's nice, Asakura-kun...!"
0000000000000,カメラマンの声,"次、顔の向きそのままで目線だけこっちに……
そうそう～！　いい感じ──……","Next, I want you to keep still, don't move your head, just turn your eyes this way... good, good～! Just like that──..."
3021005020070,円香,……次、小糸の番でしょ,"...you're up next, Koito."
3021005020080,小糸,"み、見てるよ……！
ちゃんと……！","I──I do, yeah...!
I've been focused...!"
3021005020090,小糸,指示も、聞いてるし……,Following all the instructions...
3021005020100,円香,ん,Mm.
0000000000000,カメラマンの声,──……！　……、………………,"──...! ..., ......"
0000000000000,カメラマンの声,…………,...
3021005020110,円香,"……ここからだと、
全部は聞こえないけどね","...though it's not like you can hear everything,
where we're stood."
3021005020120,小糸,"じゃ、じゃあ
もうちょっとだけ近づいてみる……？","Th──then, um,
what if we try and move a little closer...?"
3021005020130,円香,……邪魔じゃない？,...won't we be in the way?
3021005020140,雛菜,雛菜はここでいい～,Hinana's just fine here～
3021005020150,小糸,"う……うん……
そうだね……","Y... yeah...
You're right..."
3021005020160,小糸,……,...
3021005020170,小糸,み、みんな見てる……,E──everyone's looking...
3021005020180,円香,ん？,Hm?
3021005020190,小糸,"他の出演者さんたちも、スタッフさんも、
みんな、透ちゃん見てる……","The other models, the staff,
everyone's──looking at Toru-chan..."
3021005020200,雛菜,"あは～
そうだよね～","Aha～
They would～"
3021005020210,雛菜,透先輩、見ちゃうよね～,You can't help but see Toru-senpai～
3021005020220,小糸,う、うん……,Y──yeah...
3021005020230,円香,小糸も同じくらい注目されるよ,"You get the same amount of attention, Koito."
3021005020240,小糸,"ぴぇ……
そ、そうかな……？","Pyeh...
Do──do I, maybe...?"
3021005020250,円香,知らないけど、多分ね,"Not that I know, but in all likelihood."
0000000000000,カメラマン,──はーい、オッケー！,"──Doooone, okaaay!"
0000000000000,カメラマン,"次……！　次……
あれ、小糸チャンだったか……","Neeext...! Next...
Oh, so that was Koito-chan..."
3021005020260,小糸,は、はい……！,H──here...!
0000000000000,カメラマン,"ごめんごめん！　ちょっと変更で、
透クンと円香クンのペアを先にさせてもらってもいいかな","Sorry about that! I'm going to derail a little, and maybe we can have Toru-kun and Madoka-kun up as a pair next?"
0000000000000,カメラマン,今の流れで撮っておきたくって,Just wanted to take 'em together in the flow of things.
0000000000000,スタッフ１,"わかりました
円香さん、こちらに……！","Got it.
Madoka-san, over here...!"
3021005020270,円香,あ……はい,Ah... here.
0000000000000,スタッフ２,"準備するので、
10分休憩にしまーす──……","We need to do some prep,
so let's break for ten minuuutes──..."
3021005020280,円香,……ごめん、ちょっと先に,...sorry. I'll be jumping you.
3021005020290,小糸,"ううん……！
が、頑張ってね……！","No, it's fine...!
G──good luck...!"
3021005020300,透,ういー,Heyooo.
3021005020310,円香,うい。良かったじゃん,"Heyo. Good for you, huh."
3021005020320,透,"え
まじ？","Eh.
Seriously?"
3021005020330,円香,みんな、見惚れてた,Everyone saw nothing but you.
3021005020340,円香,小糸も雛菜も、スタッフさんも,"Even Koito, even Hinana. Even the staff."
3021005020350,透,えー,Eeh.
0000000000000,ヘアメイク,"──それじゃ、円香さん
髪、ちょっと整えますね～～","──Don't mind me, Madoka-san.
I'm just going to arrange your hair a little～"
3021005020360,円香,はい、よろしくお願いします,Right. Thank you very much.
0000000000000,ヘアメイク,"立ったままでごめんね～
前から失礼します～～","Sorry to have you standing for this～
Going to be in your way for a bit～"
0000000000000,カメラマン,──透クン～、その間にちょっといい？,"──Toru-kun～, do you have a moment there?"
3021005020370,透,あ、はい,"Ah, yeah."
0000000000000,カメラマン,"さっきの雰囲気、めちゃくちゃ良かったよ～
物憂げっていうか神秘的っていうか、コンセプトぴったり！","You were dead-on just now, I've gotta say～
Somber or mysterious or whatever other word it is, you nail the concept!"
0000000000000,カメラマン,"今日のために色々考えてきてくれた？
ありがとね～！","You thought of everything just for today?
Man, I gotta thank you～!"
