id,name,text,trans
3021008010010,果穂,…………,......
3021008010020,果穂,わぁ……！,Woah......!
0000000000000,円香,………………,.........
3021008010040,果穂,…………,......
3021008010050,果穂,…………！,......!
3021008010060,果穂,…………,......
3021008010070,果穂,……っ,......brr.
3021008010080,果穂,くしゅんっ……,*sneeze*......
3021008010090,果穂,えへへ……,Ehehehe......
3021008010100,円香,寒いなら部屋に戻ったら,"If it's cold, maybe you should go back inside..."
3021008010110,円香,"……って言ってくれる、
優しいお姉さんはここにはいないから","......Is what a nice big sister would have said, If one
were here."
3021008010120,円香,"自分で考えて、
ちゃんと戻りなよ","So go back, if you want to."
3021008010130,果穂,……はい！,......Ok!
3021008010140,果穂,……円香さんは寒くないですか？,"......Hmm, aren't you cold, Madoka-san?"
3021008010150,円香,大丈夫,I'm fine.
3021008010160,果穂,"あの……
円香さんは屋上好きですか？","Erm......
Does Madoka-san like the rooftop?"
3021008010170,果穂,"あっ、えっと
たまにいるなって思って……！","Ah, erm,
Cos I noticed you're here sometimes......!"
3021008010180,円香,"別に
そういうわけじゃない","No,
It's not like I like it or anything."
3021008010190,果穂,そうですか……,I see......
3021008010200,果穂,あたしも、たまに屋上来るんですけど……,"I come up to the rooftop sometimes too,
actually..."
3021008010210,果穂,でも、ちょっとさみしい気持ちになる時があって……,"But sometimes it gets lonely up here, so......"
3021008010220,円香,……そうなんだ,...Is that so.
3021008010230,果穂,"ま、円香さん……！
あの、あの……","Ma-Madoka-san......!
Erm, erm......"
3021008010240,果穂,『ひとりでたそがれるのがお好きですか？』,"""Do you like 'to brood'(tasogare), always being
here all by yourself,?"""
3021008010250,円香,……え？,......Hm?
3021008010260,果穂,そうじゃなかったら、その……！,"If that's not it, then......!"
3021008010270,果穂,『ご一緒してもいいでしょうか？』,"""Would you liked it if I joined you?"""
3021008010280,円香,……何？,......What?
3021008010290,円香,"どこかのドラマみたいなセリフ
どういう意味？","Those sound like lines from some TV drama.
What do you think they meant?"
3021008010300,果穂,"あっ！　えっと……！
たそがれは、考え事をするとか……","Ah! Erm......!
""Tasogare"" is like, thinking about things and stuff......"
0000000000000,円香,……………………,......
3021008010320,円香,うん,Yeah.
3021008010330,果穂,ぼーっとする、みたいな……意味、で……？,"Being a little out of it, or something... I think......?"
3021008010340,円香,そう,Yes.
3021008010350,円香,"……一応、教えてあげるけど
『たそがれ』に考え事をするって意味はない","...Maybe you'll come to use it, but the usage of
""tasogare"" in this case isn't about thinking,"
3021008010360,円香,"夕暮れ、それから終わりに近づく時……
そういう意味しかない","It's meaning in this case is ""the dusk"", and the
time as its end draws close...... That's the only
meaning that fits here."
3021008010370,円香,テストに出たら間違えないようにね,So don't get it wrong if it appears on a test.
3021008010380,果穂,……はい！,......Ok!
3021008010390,円香,……話を戻すけど,"......Getting back to the topic, but,"
3021008010400,円香,私は別に『たそがれ』ていたわけじゃない,"It's not that I'm here... ""to brood""."
3021008010410,果穂,……！,......!
3021008010420,円香,でも、そう見えたの？,"But, you seem to think I am?"
3021008010430,果穂,あ……,Ah......
3021008010440,果穂,ご、ごめんなさい……,I-I'm sorry......
