id,name,text,trans
0000000000000,プロデューサー,（摩美々の新しい仕事を入れたいが……）,(As much as I want to get a new job for Mamimi...)
0000000000000,プロデューサー,"（このオファーは……イメージとは合わないか？
いや……でも……）","(Isn't this offer a bad match for her image?
No... But...)"
2005005010010,摩美々,……これで完成ー,And done.
0000000000000,プロデューサー,"……ん？
摩美々、何を作ってたんだ？","Hmm?
What are you making there, Mamimi?"
2005005010020,摩美々,この前、事務所にしまってあった浴衣を見つけたんですよー,I found this yukata here in the office the other day.
2005005010030,摩美々,"それで、私好みにアレンジしたら
可愛くなりそうだったから色々やってみたんですー","I thought that it'd be nicer if I could put my personal touch in it, so I tried a lot of things."
2005005010040,摩美々,いつか何かに使えるかなって思ってー,Like maybe it could be used someday.
0000000000000,プロデューサー,…………,......
2005005010050,摩美々,"プロデューサー？
どうかしましたかぁ？","Producer?
Is something bothering you?
"
2005005010060,摩美々,"……あ、もしかしてー
勝手に事務所にあったものをいじったこと、怒ってます？","Oh, wait. Could it be that you're angry that I messed up things lying around in the office without asking first?"
2005005010070,摩美々,"ふふー
でも、まみみは悪い子なんで──","Fufu.
But, Mamimi is a bad girl so─"
0000000000000,プロデューサー,それだっ！！,That's it!
2005005010080,摩美々,……え？,Huh?
2005005010090,摩美々,……,......
0000000000000,プロデューサー,よし！　準備ばっちりだな！,"Alright, we're all set!"
2005005010100,摩美々,あのー……理解が追いつかないんですケド,Umm... I really don't get what's going on here.
2005005010110,摩美々,なんでこの間の浴衣で撮影なんですかぁ？,"But, why am I doing a shoot wearing that kimono from the other day?"
0000000000000,プロデューサー,"摩美々に『夏のアイドル特集』ってオファーが来ててな
受けるかどうか悩んでたんだが……","There was an offer for you to be in the ""Summer Idols Feature"". And I was thinking if we should accept it or not."
0000000000000,プロデューサー,"この衣装を作っているところを見て
これは、と思ったんだ","So, when I saw you making this,
there I knew that this was it."
0000000000000,プロデューサー,"……いやぁ、最初は
摩美々に夏のイメージがなくてな……","At first, I thought that the image of summer doesn't belong to you, Mamimi."
2005005010120,摩美々,"夏だって私は私なのに
失礼なプロデューサーですねー",I'm still myself even during summer. That's awfully rude of you and unbecoming of a producer.
0000000000000,プロデューサー,……そ、そうだよな、すまん……,Y-You're right... Sorry about that.
2005005010130,摩美々,"ふふー
わかってくれればいいですよー","Fufu,
It's alright as long as you understand."
0000000000000,プロデューサー,"──お、そろそろ撮影が始まるみたいだな
頑張ってこいよ！","Oh, looks like the shoot is about to begin.
Do your best out there!"
2005005010140,摩美々,"はぁい
ほどほどにー、やってみまぁす","Okay.
I'll do my best, without trying so much."
0000000000000,プロデューサー,お疲れ様、摩美々,"Good work, Mamimi."
2005005010150,摩美々,お疲れ様ですー、プロデューサー,"Thank you, Producer."
2005005010160,摩美々,"……どうしたんですかぁ？
ニヤニヤしてー……","What's gotten into you?
You're grinning from ear to ear."
0000000000000,プロデューサー,"に、ニヤニヤはしていないぞ！　多分……
…………","I-I'm not doing such a thing... I think.
......"
0000000000000,プロデューサー,"……摩美々には、まだ俺も知らない魅力が
たくさんあるんだよな……","Mamimi, you sure have quite a lot of charms that even I'm not aware of."
2005005010170,摩美々,……急になんですかぁ？,What's with the compliments out of nowhere?
0000000000000,プロデューサー,"いや、すごくいい撮影だったと思ってな
摩美々の新しい一面を引き出せていたよ","Well, I thought that you did quite a wonderful shoot just now.
Like you brought out this new side of you."
2005005010180,摩美々,"……プロデューサーはぁ
相変わらず大げさですねー","You sure like blowing things out of proportion,
don't you, Producer?"
2005005010190,摩美々,"まぁ、私もこーいうのは結構好きですし……
楽しめたかもしれないですねー","Although, I do like this kind of thing. I guess I could say that I kinda enjoyed this."
0000000000000,プロデューサー,"そうか
摩美々も楽しんでいたなら何よりだ","I see.
I'm just glad that you had a good time with this."
0000000000000,プロデューサー,それじゃあそろそろ、着替えて帰るとするか,"Alright, how about changing out of that and then we head back home?"
2005005010200,摩美々,そうですねー……,Yeah...
0000000000000,プロデューサー,"？
どうかしたのか？","Hm?
What's the matter?"
2005005010210,摩美々,"……やっぱり、せっかくですし
帰る前に出店でも見てきますねー","Well, since while we're here, wouldn't it be nice if we stay for the opening of these stores before going back?"
0000000000000,プロデューサー,"ちょ、ちょっと待て
その格好でか……？","H-Hold on.
As in with that dress?"
2005005010220,摩美々,"そうですケド
何か問題でもあるんですかぁ？","Yeah.
Is there any problem with that?"
0000000000000,プロデューサー,"さすがに目立つんじゃないか……？
もしファンに囲まれたりしたら……","Aren't you standing out with that dress?
What if you got swamped by your fans?"
2005005010230,摩美々,……そうですかぁ……,I see...
2005005010240,摩美々,"ふふー、そんなに心配なら
プロデューサーもついてきたらどうですかぁ？","Fufu, if you're that worried,
then why not tag along with me?"
info,produce_events/200500501.json,
译者,,
