id,name,text,trans
3005003020010,摩美々,おはよーございまぁす,Goood morning...
3005003020020,摩美々,"（んー？　……なんだか、
事務所が服だらけになってるー……）","(Hmm? Somehow, the office is piled up with clothes
everywhere...)"
3005003020030,摩美々,（あ、あそこにいるの……三峰かな）,(Ah... Maybe Mitsumine had something to do with it.)
3005003020040,結華,"お、まみみんだ
おはよー",Ah! It's Mamimin! Good morning～
3005003020050,摩美々,おはよー三峰,"Morning, Mitsumine."
3005003020060,摩美々,"これ全部三峰の服―？
……足の踏み場がないねー","Are all these clothes yooours?
...I can barely find a place to stand."
3005003020070,結華,ごめんごめん、散らかしすぎちゃった,"Yeaaah, sorry about all the mess."
3005003020080,摩美々,"三峰ほどじゃないけど、私もけっこー持って来ちゃったぁ
これねー","I brought some of mine too, Mitsumine.
But not as much as you did. Here you gooo."
3005003020090,結華,"おー、可愛い服がいっぱい！
じゃあじゃあ始めちゃう？","Ohhh, so many cute clothes!
Well then, shall we get started?"
3005003020100,摩美々,"うん、いいよー
私も三峰に着せる服、考えるからぁ","Suuure, that's fine.
I'll come up with something for you to wear."
3005003020110,結華,いやー、この攻撃的な服！　実にまみみんらしいなぁ,"Oh boooy, these clothes are so wild!
Very on brand for Mamimin."
3005003020120,摩美々,"原色と一面に広がる幾何学模様……
こういうの三峰好きそうー","Primary colors patterned with geometric shapes...
So this is what Mitsumine likes..."
3005003020130,結華,"へぇー……こんな服もあるんだ
どこに売ってるんだろ？","Whoa, there are clothes like this?
I wonder where they're selling these?"
3005003020140,摩美々,"あ、かわいいかもー
こーゆータイプのは知らなかったな","Huh, this one's real cute.
I never seen anything like this before."
3005003020150,結華,"うん？　これもまたすごいねぇ
ダメージ加工レベル100みたいになってる","Hmm? This one's pretty crazy-looking, huh?
It's as if it took damage from a Lv. 100."
3005003020160,結華,これもすごくまみみんって感じ,"This one here's also very much like you, Mamimin!"
3005003020170,結華,"あー待って、こっちとこれ合わせたらすごく……
おおお、いいんじゃないです！？","Ah hold up, if you combo these together, then...
Ohhhh?! Doesn't this look amazing?!"
3005003020180,摩美々,"これもいい感じー
さっきのと合わせるといいかもー","This one's good toooo.
It might be nice to match it with the one from earlier."
