id,name,text,trans
3005023010010,恋鐘,"休憩～～～！
霧子～、飲み物買いに行かん？","Finally! Break time~!
Kiriko! Wanna go buy drinks with me?"
3005023010020,霧子,うん……,Yeah...
3005023010030,咲耶,"私も一緒に行かせてもらってもいいかな？
手持ちを飲み切ってしまって……","Can I come tag along? I've happened to
finished all my drinks..."
3005023010040,恋鐘,もちろんばい～！,"Sure, come with~!"
3005023010050,摩美々,"三峰ー
３時半には再開だからねー","Mitsumineeee.
Reminder, we're starting back up at 3:30, okay?"
3005023010060,結華,？　ああうん──,"? Uh, yeah──"
3005023010070,恋鐘,"うちの台本～～！
どこ～～～！？","Oh no, my script!!!
Where'd it gooooo~!?"
3005023010080,霧子,"その……
クッションの下に……",It's... underneath the cushion...
3005023010090,咲耶,……おや,Oh my...
3005023010100,摩美々,……三峰ー。台本持ったぁ？,"Mitsumineeee. You didn't lose your script, right?"
3005023010110,結華,ありがとう、持ってるよー,"Thanks, yeah I have it~"
3005023010120,摩美々,"三峰ー、これあげるー。稽古用のスポドリと
なんか売り切れまくってるみたいな人気のグミ","Mitsumineee, these are for you. A sports drink.
And some gummies that were sold out everywhere
else. Use it during practice."
3005023010130,摩美々,"あとー、グミ食べたらしょっぱいのも欲しいかなと思って
しょっぱい系も３つくらい入ってるからぁ","I figured you might want something salty after
eating the gummies, so I put about three pieces
of salt candy in there too."
3005023010140,結華,"えー嬉しいありがとう！
さすがまみみん気が利く──……","Wow, much appreciated!
You're so thoughtful, Mamimin──......"
3005023010141,摩美々＆結華,"…………
………………","...
..."
3005023010150,結華,"──だけではなくない！？
他の意図も感じるよ……！？","──But that's not it, is it?!
You're up to something, right...?!"
3005023010160,結華,"まみみん……！　なんか、なんかさ……！
最近三峰に対してアレじゃない……！？","Mamimin...! It's like... you've been...
...acting kinda weird lately!?"
3005023010170,結華,"まみみんはあの……！　こう……！
──とにかくこういう感じじゃなくない！？","This is...! like... you know...!
──Anyways, this ain't a Mamimin vibe!"
3005023010180,摩美々,や、語彙力ー,Uh... wow.
3005023010190,摩美々,"……リーラはイーリスの教育係でしょー
だから、役作りのためにまず形から入ってみようかと","I mean... Lilas is on training duty for Iris, right?
I figured I'd start behaving like one to get
into character."
3005023010200,摩美々,"まぁ……
あと、プチドッキリみたいなぁ","Well...
It kinda turned into a small prank too."
3005023010210,結華,"くっ、やっぱり……！
でもよかった……！","Kuh...! I knew it...!
But I'm glad..."
3005023010220,結華,"『また何か企んでる？　あっでももしかしてもう
気づかないうちに何か仕掛けられてて終わっちゃってる？』","I was all, ""Is she up to something? Or maybe
she's set everything up without me noticing,
and now it's too late?"""
3005023010230,結華,とか、結構考えてたんだからね……！,I was seriously imagining all the setups...!
3005023010240,結華,"あと今のに関しては、
教育のカテゴリに入れていいかというと微妙だと思う……！","And honestly, I don't think what you've done
counts as ""mentoring"" ...!"
3005023010250,摩美々,"いやぁ……
ふふー、おもろ","Well.........
Fufu~! Worth it!"
3005023010260,結華,おもろじゃなくてね！,That doesn't make it okay!
3005023010270,摩美々,"……ってことで、ネタバラシついでに
もうひとつお願いなんだケド","Anyways, since I've come clean, there is
another thing I want."
3005023010280,摩美々,"形から入る役作りってことで──
血をいただいてもー？","Since I'm getting into character──
Care to spare me some blood?"
3005023010290,結華,"っ、ふふ……！
──混血でよければ！","Pft! Hehehe...
──Only if you're okay with a half-blood's!"
info,produce_events/300502301.json,
Translator,Lewdacriz,
