id,name,text,trans
6001001010010,真乃,"ほわわ……プロデューサーさん、
これから準決勝ですね……","Hwawa... Producer-san, the semi-finals are about to
begin..."
6001001010020,真乃,わ、私ちゃんと歌えるでしょうか……,D-Do you think I'll be able to sing without messing up...?
0000000000000,プロデューサー,"大丈夫だ
真乃なら問題ない","Don't worry, you've got this."
0000000000000,プロデューサー,"胸を張ってもいいステージまで来てるんだ
もっと自信を持っていいんだよ","Just the fact that you've made it here is something
to be proud of. Have some faith in yourself."
6001001010030,真乃,"……そうですよね
もっと自信を持たなくちゃだめですよねっ",...You're right. I should be more confident.
6001001010040,真乃,"みんなに、見て良かったって思える
最高のステージにしなくちゃ……！","I've got to make this my best performance, one that
will make everyone glad they watched it...!"
6001001010050,真乃,"私やります
むんっ","I'm going to do this.
Mun!"
0000000000000,プロデューサー,"その心意気だ
頑張れよ、真乃","That's the spirit. 
Good luck, Mano!"
6001001010060,真乃,"はいっ
プロデューサーさん、見守っていてください！","Thank you! 
Producer-san, please watch over me!"
info,produce_events/600100101.json,
Translator,Pluie,
