id,name,text,trans
3001003020010,灯織,真乃、レッスンお疲れ,"Mano, good job on your lesson."
3001003020020,真乃,"お疲れ様……
あ、あの……灯織ちゃん？","Thank you...
Ah, umm... Hiori?"
3001003020030,灯織,ん、どうしたの？,Yes? What is it?
3001003020040,真乃,"プロデューサーさんに聞いたよ
今度、同じ日にお休み取れたって","I heard from the Producer that
we have the same day off this week."
3001003020050,真乃,これでピクニック一緒に行けるね,We could go and have our picnic together.
3001003020060,灯織,うん、そうだね……,"Yes, I don't mind."
3001003020070,真乃,……えっと、その,Well... about that..
3001003020080,真乃,"（無理矢理誘っちゃったけど、
本当は行きたくないのかな……）","(Even though I already invited her, 
I just can't help but feel like she really doesn't wanna go...)"
3001003020090,真乃,"（どうしよう……何か言わなくっちゃ……
こういう時、頭の中がまっしろになっちゃう……）",(What can I do... should I say something at times like these? My mind just goes blank whenever this happens...)
3001003020100,灯織,そうだ、真乃,"Yes, Mano."
3001003020110,真乃,……！　ど、どうしたの？,Ah! Is there something wrong?
3001003020120,灯織,"ここに来るとき、通りかかった図書館で
本を借りてきたの","I picked up a book from the library
for when we go on our picnic."
3001003020130,灯織,この本なんだけど、見る？,What's about this book?
3001003020140,真乃,（お出かけ楽しいピクニック特集……？）,(How to make a picnic fun...?)
3001003020150,真乃,これを、灯織ちゃんが……？,You picked this out?
3001003020160,灯織,……そんなに変かな？,Was it weird to?
3001003020170,真乃,"ううんううん！
全然、変じゃないよっ","No-no!
Not weird at all!"
3001003020180,灯織,"一緒に行こうって言ってくれたから
……要らなかった？","I got it because you asked me to go with you.
...Do we not need it?"
3001003020190,真乃,"ううん、そんなことないよ
一緒に見よう？","You don't need to worry about it,
let's just read it together!"
3001003020200,真乃,"（ほわぁ、灯織ちゃんがピクニックの本を
借りてきてくれるなんてっ）","(Huh... she went out and got a book for us
to read during our picnic?)"
3001003020210,真乃,"（メンバーとしてだけじゃなく、
距離が近づいたみたい……うれしいなっ）","(We're not just fellow members, but, the distance between us is becoming closer... I'm happy about that.)"
3001003020220,真乃,"あ、見て見て灯織ちゃん
この公園はね、鳥さんたちがたくさんいるんだよ","Ah, look over here! Hiori!
This park has many different birds around!"
3001003020230,灯織,"へぇ、そうだったんだ
知らなかった……","Really? Looks like it.
I had no idea about that..."
3001003020240,真乃,"あと、こっちの公園は、噴水もあって
お花もたくさん咲いてるんだよ","And also, this park has a water fountain, 
and many flowers that are still blooming this season."
3001003020250,真乃,それでこっちの公園はね──,Oh and about this park...
3001003020260,灯織,ふふ、やっぱり真乃、公園には詳しいんだね,"Haha, you sure do know a lot about parks, don't you?"
3001003020270,真乃,"うんっこの雑誌に載ってる所は
ほとんど行ったことがあると思うよ","Yes! I've gone to quite a lot of these places
mentioned in this book!"
3001003020280,灯織,"そうなの？
じゃあ、おすすめのところもあったりする？","Really?
Is there a park that you would recommend going to?"
3001003020290,真乃,"もちろんあるよ
そこにはよく、お散歩に行くのっ","Of course! 
There's a park I always love to take walks in."
3001003020300,灯織,"じゃあ、そこにしようよ
真乃の好きな公園に行ってみたいから","Then, let's go there.
I really would like to see your favorite place."
3001003020310,真乃,いいの……？,Is that okay...?
3001003020320,灯織,うん、そこがいい,"Yes, it'll be nice."
3001003020330,真乃,"（灯織ちゃんが、私の好きなところに
行ってみたいって……ほわぁ～うれしいな）","(She wants to go and see my favorite park...
Ah, I'm so happy about that...)"
3001003020340,灯織,"そういえば、真乃、
お弁当作って来るんだっけ？","Also, Mano,
Should we bring our bentos?"
3001003020350,真乃,"作るよっ
灯織ちゃんの分も作るからね","I'll make it instead,
And I could make some more for your portion too."
3001003020360,灯織,"いや、私もお弁当作ろうかな……
って思って","No, well... I guess I thought it
would be nice if I can make them instead."
3001003020370,灯織,"だから、ふたりともお弁当作って来るってことで
……いいでしょ？","Would that be okay,
if we both made bentos to bring along?"
3001003020380,真乃,"ほわっ
わかったよ","Yes,
It's for the better."
3001003020390,灯織,なんか、いつもよりずいぶん楽しそうね？,"You seem pretty excited about this, Mano."
3001003020400,真乃,"そうかな。
ふふ、ピクニックが楽しみだからかな～","I guess so,
Hehe, it's probably because picnics are just so nice."
3001003020410,灯織,……私も楽しみにしてるから,...I'm also quite excited about that too.
3001003020420,真乃,"本当に？
ほわぁ～、うれしい～","Really?
I'm glad."
3001003020430,真乃,"（灯織ちゃんもお弁当作ってきてくれるんだ……
それに楽しみって……）","(She'll also be making a bento...
I'm excited to see hers.)"
3001003020440,真乃,（早く次のお休み来ないかなぁ……）,It would've been nice if our day would've hurried up...)
info,produce_events/300100302.json,
译者,,
