id,name,text,trans
3001008030010,真乃,"灯織ちゃん、めぐるちゃん
レッスン、お疲れさまっ","Hiori-chan, Meguru-chan, that was a good lesson."
3001008030020,真乃,"これなら
イルミネーションの時間に間に合いそうだね",It looks like we can still make it in time for the illumination display.
3001008030030,真乃,じゃあ、行こっかっ,"So, shall we get going?"
3001008030040,灯織,……ふふっ,......Hehe.
3001008030050,めぐる,えへへっ,Ehehe!
3001008030060,真乃,"……？
ど、どうかした？","......?
D-Did I say something strange?"
3001008030070,めぐる,"ううんっ！　イルミネーション、
すっごーく綺麗なんだろうなって思って！","Nah! I was just thinking, those lights must be real pretty!"
3001008030080,灯織,"そうだね
早く見てみたいな","Yeah, exactly. I can't wait to see it."
3001008030090,真乃,"そっか……
ふふっ","I see...
Heehee!"
3001008030100,めぐる,よーし、じゃあレッツゴー！,"Alright, let's GO!"
3001008030110,灯織,"……
イルミネーションが増えてきたね……！","...
I'm starting to see more and more lights...!"
3001008030120,めぐる,うんっ、すっごい綺麗……！,"Yeah, they're so pretty...!"
3001008030130,真乃,去年より、飾り付けがたくさんされてるみたい……,It looks like they've decorated this area even more abundantly than last year...
3001008030140,めぐる,"ほんとほんと！
キラキラでいっぱいだよー……！",I bet! There's glitters and twinkles all over the place!
3001008030150,灯織,"……この間真乃が言ってた、鳥のイルミネーションって
あそこの木に付いてるやつかな？","......Those bird-shaped lights you mentioned, Mano, are those the ones in that tree?"
3001008030160,めぐる,"ほんとだー！
ちっちゃい鳥がたくさん飛んでるねっ","Oh, you're right!
It's got lots of little birds flying around!"
3001008030170,真乃,ほわぁ……可愛い……,Hwa... they're so cute...
3001008030180,真乃,"……あっ、そ、そうだ、一番大きいイルミネーションがね
もうちょっと進んだところにあるの──","......Ah! R-Right, the biggest display is a little further up ahead."
3001008030190,灯織,……,......
3001008030200,めぐる,わぁぁ……,Woooow...
3001008030210,真乃,ほわぁ……,Hwa...
3001008030220,灯織,……こんな……こんなに、光がたくさん,......So...many...lights!
3001008030230,めぐる,すっ……ごいねぇ……！,It's a-ma-zing...!
3001008030240,灯織,"こんなに綺麗な景色、あんまり見れないよ
……妖精の国みたい……！","It's such a stunning sight, you don't get to see this every day...
...It's like some sort of fairy land...!"
3001008030250,めぐる,真乃、連れてきてくれてありがとう！,"Thanks for taking us here, Mano!"
3001008030260,真乃,"ううんっ
私も、灯織ちゃんとめぐるちゃんと見れてよかったっ",Not at all. I'm just as happy we were able to come here and see this together!
3001008030270,真乃,（ふたりと一緒だから……）,(It's only because I'm with the two of them...)
3001008030280,真乃,"（とっても胸がいっぱいで……
とっても嬉しいっ）",(...that I'm so thrilled... so happy!)
3001008030290,めぐる,"……あ、そうだ！
ここで写真撮ろうよ、３人で！","......Oh, you know what?
Let's take a picture here, with the three of us!"
3001008030300,真乃,"写真……
うんっ、撮りたいなっ","A picture...
Yeah, I'd love to!"
3001008030310,めぐる,えへへっ、カメラは任せて！,Ehehe! Leave the camerawork to me!
3001008030320,めぐる,"じゃあ撮るよー！
ふたりとも寄って寄ってー！","Okay, I'm gonna take one!
Closer, closer, both of you!"
3001008030330,灯織,"う、うん、えっと……
こう、かな……？","O-Okay, uhm...
Like... this...?"
3001008030340,真乃,"ふふっ、こうしてると
また鳩さんになったみたいだねっ","Heehee, it's like we've turned into pigeons again."
3001008030350,めぐる,"あはは、そうだねっ
それじゃあ……いっくよー！","Ahaha, true!
Alright... Readyyy?"
3001008030360,めぐる,わたしたちは、鳩ーっ,We are... PIGEONS!!
3001008030370,灯織,！？,!?
3001008030380,灯織,"……ちょっ、ちょっとめぐるっ
『わたしたちは、鳩』って……","......P-Please, Meguru!
""We are pigeons""...? Really?"
3001008030390,真乃,"……今の、面白かったねっ
ふふっ……","......That was so funny!
Heehee...!"
3001008030400,めぐる,"あれー？　面白くしたかったわけじゃないんだけどなー？
でも、笑顔になれたんなら……いっか！","Hmmm? I wasn't trying to be funny, though...?
But if it made you smile... I guess it's all good!"
3001008030410,灯織,"もう……ふふっ
それで、写真はちゃんと撮れた？","Oh, come on... heh.
So, did you manage to take a decent picture?"
3001008030420,めぐる,もっちろーん……,You bet...!
3001008030421,めぐる,あれ……ちょっと曲がっちゃったかな？,"Uhh... a little skewed, maybe?"
3001008030430,真乃,"……ふふっ、
でもこの写真、好きだよ","......Heehee, I like this picture."
3001008030440,灯織,"うん
これも思い出、だね","Yeah.
Something to remember this by, right?"
3001008030450,めぐる,"えへへっ
じゃあ、ふたりにも送るね！","Ehehe!
Okay, I'll send it to both of you!"
3001008030460,真乃,わぁ……！,Ooh......!
3001008030470,灯織,"ふふっ……
すごく綺麗……","Heh...
It turned out really nice..."
3001008030480,めぐる,"えへへっ
わたしが大好きなものでいっぱいだよー……！","Ehehe!
It's jam-packed with the things I love most...!"
3001008030490,真乃,"ほわぁ……
うんっ","Hwa......
Yeah!"
3001008030500,真乃,"灯織ちゃん、めぐるちゃんっ
今日は本当にありがとう……","Hiori-chan, Meguru-chan!
Thank you so much for today..."
3001008030510,真乃,"ふふっ
素敵な思い出がまた増えたよっ","Heehee!
Another wonderful memory!"
info,produce_events/300100803.json,
Translator,Pluie,
