id,name,text,trans
6901001090010,はづき,"プロデューサーさん！
『W.I.N.G.』優勝、本当におめでとうございます！","Producer-san!
Big congratulations on your idol winning W.I.N.G.!"
6901001090020,はづき,"私も会場で見てたんですけど、
発表の瞬間、思わず大声を出しちゃいましたよ！",I was watching from the audience like you were. When they announced the results I screamed without even thinking!
6901001090030,はづき,"今もまだ興奮しちゃってて、
今日はもう眠れそうにありません！","I'm still full of excitement, I don't think I'll even be able to sleep tonight!"
0000000000000,プロデューサー,ありがとうございます、はづきさん！,"Hazuki-san, thank you so much!"
6902001090010,社長,"本当によくやった
期待以上の結果を出してくれたな","You've done a very fine job.
These results have far exceeded my expectations. "
0000000000000,プロデューサー,社長も……ありがとうございます！,"President, too... Thank you so much!"
6901001090040,はづき,"ふふ。私と社長も会場に来てましたけど、
すごかったですよ",Eheh. The president and I were both watching from the audience. It was incredible.
6901001090050,はづき,"優勝したってわかった瞬間、社長が泣いてしまって……
ステージをほとんど見れていませんでしたから",As soon as we knew she won the president started crying so hard he could barely see the stage through his tears.
6902001090020,社長,"こ、こら！
彼の前でそういうことを言うな！","H-hush, you!
Don't bring up stuff like that in front of him!"
6901001090060,はづき,"それだけ優勝したのを
喜んでたってことじゃないですか",I think that detail alone shows you how happy the president is about her win.
6902001090030,社長,そ、それはそうだが……,"W-well, you are correct..."
0000000000000,プロデューサー,社長、本当にありがとうございます！,"President, thank you very much!"
6902001090040,社長,"……とにかく。もっと礼を言うべき相手、
いや、祝うべき相手がいるんじゃないか","...Moving on. I think there's someone else you need to be thanking. Or rather, congratulating."
0000000000000,プロデューサー,"……そうですね
今日の主役は、他でもない彼女ですから","...Of course. We wouldn't even be celebrating right now if it weren't for her.
"
6902001090050,社長,"なら、私たちのことは気にせず
早く行ってこい","Well, don't mind us.
Go and see her!"
6901001090070,はづき,"彼女のこと、いっぱい
褒めてあげてくださいねー！","Make sure to shower her with lots and lots of praise!
"
0000000000000,プロデューサー,はい！　もちろんです！,"Yes! Absolutely! "
6003001090010,めぐる,プロデューサー！！,Producer!!
0000000000000,プロデューサー,"わっ、め、めぐる……！？
っと……","Woah, M-Meguru...?
Uh..."
6003001090020,めぐる,"プロデューサー、わたしやったよ！
優勝できたんだよ！！","Producer, I did it!
I passed the finals!"
0000000000000,プロデューサー,ああ、しっかり見てたよ,"Yes, I was watching closely."
0000000000000,プロデューサー,"でも急に飛びついてくるなよ、危ないだろ
嬉しいのは分かるけど、ちょっと落ち着いてくれ","But suddenly jumping at me is dangerous.
I understand your happiness, but please calm down a bit."
6003001090030,めぐる,"だってだって、優勝したんだよ！？
まだまだ喜び足りないもん、落ち着いてられないよ！","But, I mean, I won, y'know?!
I haven't celebrated enough yet, so I can't calm down!"
6003001090040,めぐる,"あっ！　そうだ！
友達にも電話しなきゃ！","Ah! I know!
I have to call my friends!"
6003001090050,めぐる,"あー、でも、誰から電話しよう！？
みんないっぱい応援してくれてたし……！","Ah, but who should I call?!
Everyone's been cheering me on so much...!"
6003001090060,めぐる,"やっぱり直接家まで行った方がいいのかな！？
そっちの方が、感謝の気持ち、伝わるよね！","Maybe I should go all the way to their homes?!
If I do that, I'll be able to really let them know my feelings!"
6003001090070,めぐる,"あぁ、だけど人数が多いから……えっと、え～っと！
わたしが分身できればいいんだけどな……！","Ah, but there's so many people I have to tell... um, ummm!
I wish I could clone myself...!"
0000000000000,プロデューサー,"めぐる、いいから落ち着け
まずは深呼吸だ","Meguru, everything's fine, calm down.
Take some deep breaths first."
6003001090080,めぐる,"う、うん
すぅ～、はぁ～……","O-okay.
Haa... haa..."
0000000000000,プロデューサー,……落ち着いたか？,...Did you calm down?
6003001090090,めぐる,う、うん、ちょっとだけ……,"Y-Yeah, just a little..."
0000000000000,プロデューサー,"なら俺からも改めてお祝いを言わせてくれ
『W.I.N.G.』優勝おめでとう。よくやったな","Then let me congratulate you again.
Congratulations on winning W.I.N.G. You did great."
6003001090100,めぐる,"プロデューサー……
ありがとう……！","Producer...
Thank you...!"
6003001090110,めぐる,"でもね……わたしが優勝できたのは
応援してくれるみんなや……","But, y'know... I was able to win because of all the people who supported me..."
6003001090120,めぐる,プロデューサーがいてくれたからだよ！,And because you were with me!
6003001090130,めぐる,"友達に言われて、なんとなくで始めた
アイドルだったけど……","Like my friends said, I started being an idol for no real reason, but..."
6003001090140,めぐる,"こんなに楽しく、真剣に頑張ってこれたのは
全部プロデューサーのおかげなんだ！",It's all thanks to you that I had so much fun and seriously gave it my all!
0000000000000,プロデューサー,"そんなことないさ
めぐるの才能と頑張りがあってこその結果だよ","That's not true.
You won because of your talent and hard work."
0000000000000,プロデューサー,"誰よりも努力してきたのは
他でもない、めぐる自身なんだからさ",You were able to work harder than anyone else because of you and you only.
6003001090150,めぐる,"えへへー！
プロデューサーがそう言ってくれると嬉しいな！","Ehehe!
It makes me happy to hear you say that!"
6003001090160,めぐる,"……わたしが友達とアイドルどっちを選ぶか迷った時、
プロデューサー、ちゃんと話を聞いてくれたよね？","...When I couldn't choose between being an idol and my friends, you listened to me closely, didn't you?"
6003001090170,めぐる,"無理だって、諦めろっていう方が絶対簡単だったのに
そんなことしないで、一緒に考えてくれて……","It would have been easy for you to tell me that it's no good and that I should quit, but you didn't. We thought about it together..."
6003001090180,めぐる,"そのおかげで、友達もアイドルも、
大事なものを全部諦めないでここまで来れたんだ！","Thanks to that, I was able to keep both my special idol life and friends and come this far!"
6003001090190,めぐる,"そうやって進む道があるなんて、
わたし一人じゃ、きっと思いつかなかった",I wouldn't have been able to find that path if I was by myself.
0000000000000,プロデューサー,めぐる……,Meguru...
6003001090200,めぐる,だから……だからね,So... so...
6003001090210,めぐる,"プロデューサー、
わたしのそばにいてくれてありがとう！","Producer, thank you for staying by my side!"
6003001090220,めぐる,プロデューサーのこと、大好きだよ！,I love you!
info,produce_events/600300109.json,
译者,,
