id,name,text,trans
0000000000000,プロデューサー,"（よしっ、とうとうめぐるの
『W.I.N.G.』への参加が決まったぞ……！）","(Alright, it's finally been decided that Meguru will participate in W.I.N.G....!)"
0000000000000,プロデューサー,"めぐる！
聞いてくれ！","Meguru!
Listen to this!"
7003001070010,めぐる,"プロデューサー！　……わたし、
『W.I.N.G.』に出られるんだね！？","Producer! ...I can enter W.I.N.G., right?!"
0000000000000,プロデューサー,……え？,...Eh?
0000000000000,プロデューサー,"なんだ
もしかして、知ってたのか？","What, could it be that you knew already?"
7003001070020,めぐる,"まだ知らないけど……
プロデューサーの顔を見ればわかるよ！","I don't, but...
I can tell by the look on your face!"
0000000000000,プロデューサー,"……俺って、
そんなに考えてることが顔に出やすいのか……？",...Is my face that easy to read...?
7003001070030,めぐる,えへへ、どうだろうね？,"Ehehe, maybe?"
0000000000000,プロデューサー,"……ごほん！
ま、まあそれはさておき……","...Ahem!
W-well, setting that aside..."
0000000000000,プロデューサー,めぐる、あらためて合格おめでとう！,"Meguru, congratulations on passing again!"
7003001070040,めぐる,……うんっ,...Yeah.
7003001070050,めぐる,"プロデューサーに言われて、
やっと実感できたよ……","Once you said it, I finally realized it..."
7003001070060,めぐる,わたし……『W.I.N.G.』に出られるんだよね！,"I... can enter W.I.N.G., right!"
0000000000000,プロデューサー,"ああ
間違いなく、出られるぞ！","Yes.
Without a doubt, you can!"
7003001070070,めぐる,えへへ……！,Ehehe...!
0000000000000,プロデューサー,……めぐるは本当に良くやってきたと思う,...I think you've truly done a great job.
0000000000000,プロデューサー,"アイドルの仕事と友達付き合いの両立は、
そう簡単にできることじゃない",Both working as an idol and socializing with friends is no easy feat.
0000000000000,プロデューサー,"でも、めぐるはそれをやり遂げたんだ
これは、めぐるだからできたことだと思うぞ！","But you were able to do it.
I think you were able to do it because of you!"
7003001070080,めぐる,それはプロデューサーが……,It's because Producer...
7003001070090,めぐる,"……ううん！　やっぱりこの気持ちは、
全部のライブが終わってから伝えるね！",...No! I'll tell you my about these feelings all after the live is over!
7003001070100,めぐる,"最後のライブをちゃんとやりきるまで、
どっちもできたなんて、言えないから！","Until I complete both lives fully, I can't tell you!"
0000000000000,プロデューサー,"（……めぐるはもう、次に向かっている
俺も、立ち止まってはいられないな）","(...Meguru is already looking forward.
I can't afford to stand still, either!)"
0000000000000,プロデューサー,"（ここまで来たら、最後まで気を抜かず、
めぐると一緒に進み続けるぞ！）","(We came this far, and without losing focus until the end, I'll move forward together with Meguru!)"
info,produce_events/700300107.json,
译者,,
