id,name,text,trans
0000000000000,ラジオ番組ディレクター,"やー３人とも、またゲスト出演してくれてありがとう
前回のラジオも好評でさ、俺も嬉しいよ","Whew, thanks for agreeing to join as guests in this
radio show again, you three! The last episode with 
you guys was a hit too, so I'm happy!"
0000000000000,ラジオ番組ディレクター,新曲の調子もいいみたいじゃない？,"Seems like your new song is doing well too, right?"
3003019010010,真乃,……ありがとうございます……っ,Thank you very much...!
3003019010020,灯織,番組に呼んでいただいたおかげです,It's because you invited us to your radio show.
3003019010030,めぐる,はい！,Yes!
3003019010040,めぐる,"また呼んでもらえて嬉しいねって
３人で話してたんです！","The three of us talked about how happy 
we are to be invited in this show again!"
0000000000000,ラジオ番組ディレクター,"あららー、
お上手言ってくれちゃって……","Oh my...
You sure know what to say to make me happy..."
0000000000000,ラジオ番組ディレクター,……ああ、ごめんごめん,"...Ah, right. Sorry, sorry."
0000000000000,ラジオ番組ディレクター,"この間さ、収録終わった後にみんなが会社の前の通り、
走ってたでしょ？","Do you know how you guys were running down the 
street in front of the office after we're done 
recording the other day?"
0000000000000,ラジオ番組ディレクター,あれ、いいなぁと思ってたわけよ,"I though that was really nice, you know."
3003019010050,真乃,は、はい……,"Ah, y-yes..."
0000000000000,ラジオ番組ディレクター,"ほんと、若さだなあ……っていうか、
青春だなあ……っていうか……","It made me think you guys really are still young...
and full of youth..."
0000000000000,ラジオ番組ディレクター,いいなぁ、って思っちゃったわけ,That's why I thought it was nice.
0000000000000,ラジオ番組ディレクター,"だからこうさ、そんなふうに
物分かりのいい大人みたいじゃなくてね","So you know, instead of treating me like an
adult that you have to be considerate to..."
0000000000000,ラジオ番組ディレクター,"もうちょっとフランクに、砕けたカンジで
しゃべってくれて構わないんだけどなー……","I don't really mind if you be more frank or even speak
to me casually, you know..."
0000000000000,技術スタッフ,もう、そういう距離の詰め方は良くないと思いますよ,"Geez, I don't think you should try
getting closer to them that way."
0000000000000,技術スタッフ,ほら、イルミネさんたち困ってる……,"Look, you're making them feel awkward..."
3003019010060,真乃,"……っ
い、いえ……","......
N-No, it's fine..."
0000000000000,ラジオ番組ディレクター,あはは、ごめんね,"Ahaha, I'm sorry."
0000000000000,ラジオ番組ディレクター,"あの笑顔があんまり輝いてたからさあ
そういう一面を見せてくれたら嬉しいなって……","Your smiles back then were really bright, so...
I feel like it'd be nice if you guys show that side of 
yours to me too, or something..."
3003019010070,灯織,そうなんですね……,"Ah, okay..."
3003019010080,灯織,"ええと、すみません……
私は元々こういう話し方なのと……","Um, I'm sorry, but...
Not only that this is just how I usually speak..."
3003019010090,灯織,お仕事の場なので、相手に敬意を払わないのは……,"We're at work right now, so I feel like I can't 
act disrespectful to you..."
3003019010100,灯織,…………,.........
0000000000000,ラジオ番組ディレクター,いやいやいや,"No, no! It's fine!"
0000000000000,ラジオ番組ディレクター,俺が無茶振りしちゃったな～って思ったのと……,"I thought I was being unreasonable too, and..."
0000000000000,ラジオ番組ディレクター,…………,.........
0000000000000,ラジオ番組ディレクター,"自分には眩しい青春がなかったからなあ……って、
なんだか、寂しいような気分になっちゃってさ","I didn't really have a dazzling youth back then, so...
Somehow, I kinda felt lonely."
0000000000000,ラジオ番組ディレクター,こんなこと言われても困っちゃうよね,"You guys must feel awkward hearing something
like this, right?"
3003019010101,一同,…………,.........
3003019010110,めぐる,えっと……────,Umm......────
0000000000000,ラジオ番組ディレクター,ん？　なになに、めぐるちゃん,"Hmm? What is it, Meguru-chan?"
0000000000000,技術スタッフ,"こらこら
イルミネさんたちは今まさに青春真っ盛りなんだから……","Hey, hey, that's enough.
These girls are still in the peak of their youth,
you know!"
0000000000000,技術スタッフ,"そんな思い入れ、
わかるわけないじゃないですか","There's no way they'd understand what you're 
feeling."
0000000000000,技術スタッフ,"ってほら、収録前の打ち合わせ！
ちゃんと本題に入りましょ？","Anyway, we still have to do the pre-recording 
meeting! Let's get to the main topic, okay?"
0000000000000,ラジオ番組ディレクター,はーい……,Yees...
3003019010120,灯織,収録お疲れ様,Good work on recording today.
3003019010121,真乃＆めぐる,お疲れさま……っ,Good work to you too!
3003019010130,真乃,"……収録、
楽しかったね……","...The recording was really fun, huh..."
3003019010140,灯織,うん,Yeah.
3003019010150,灯織,打ち合わせの時、勝手に返事しちゃってごめん,I'm sorry I butted in back then during the meeting.
3003019010160,灯織,今考えるとあの返しはよくなかったね……,"I shouldn't really reply like that when I think about 
it..."
3003019010170,めぐる,"ううん！　そんなことない！
実はちょっと困っちゃってたから、すっごく嬉しかった！","Nope, it's okay!
I didn't know what to do back then, so I'm happy you 
interrupted!"
3003019010180,真乃,"うん……っ
私も、どうしたらって、思ってたから……","Yeah...!
I was thinking about what to do too, so..."
3003019010190,灯織,それならよかった……,That's good then...
3003019010200,灯織,そういえば、あの時めぐるも何か言いかけてたよね,"Ah, weren't you trying to say something too 
back then, Meguru?"
3003019010210,めぐる,あれは『何か言わないと！』と思ってとっさに……！,"I thought ""I have to say something!"" there, so I just
acted impulsively..."
3003019010220,めぐる,"あ、でもでも
あの後ちょっと思ったことがあってね","Ah, but, you know?
I thought about something after that..."
3003019010230,めぐる,影送り……ふたりは知ってる────？,"Do you guys... 
know what 'shadow projecting' is────?"
info,produce_events/300301901.json,
Translator,bike,
