id,name,text,trans
1019001001110010,愛依,プロデューサー、今日仕事の後って空いてる～？,"Producer, are you free after work today~?"
0000000000000,プロデューサー,"ああ、空いてるけど
どうした？","Ah, I'm free but
Why do you ask?"
1019001001110020,愛依,ちょっとお願いがあってさ～,I have a small request~
0000000000000,プロデューサー,もしかして,It's probably-
select,,自主練したいのか,Want to do some independant study?
select,,息抜きか,Wanna take a breather?
select,,課題の手伝いか,Help with homework?
1019001001110030,愛依,"当ったり～！
さっすが～！","Obviously~!
As you'd expect~!"
1019001001110040,愛依,"なんかプロデューサーに見てもらえんの
楽しみってカンジ～♪","I'll have you watch some
This'll be fun~♪"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Alright, we had a fun discussion)"
0000000000000,,★選択肢②【息抜きか】,★選択肢②【息抜きか】
1019001001110050,愛依,"まぁね～
たまにはいいじゃん？","Ahh well~
It's good to do every once in awhile right?"
1019001001110060,愛依,"気になる場所あっからさ
ちょびっと付き合ってよ","There's somewhere I wanna go, so
Let's go out for a little, 'kay"
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, we talked normally I guess)"
0000000000000,,★選択肢③【課題の手伝いか】,★選択肢③【課題の手伝いか】
1019001001110070,愛依,う……ヤなこと思い出しちゃった,Uh... I just remembered I didn't do that
1019001001110080,愛依,自主練したかったけど、今日はムリぽ～……,"I wanted to do some independent study but, 
today's not going to work I guess~..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,"(Ah… I screwed up.
I should have said something else…)"
info,produce_communications/101900100111.json,
译者,,
