id,name,text,trans
0000000000000,プロデューサー,"あれ、美琴
何してるんだ？","Hey, Mikoto, what are you doing?"
1025001000610010,美琴,"他のアイドルの子のステージ映像
見ておこうかと思って",I thought I'd check out some idol concerts for reference.
1025001000610020,美琴,"ここのテレビ使って
見ていってもいい？",Is it okay if I use this TV?
0000000000000,プロデューサー,なるほどな……,"Ah, gotcha..."
select,,"じゃあ
一緒に見ようかな","Then let's watch
together."
select,,"ゆっくり見ていて
いいぞ","Sure, make
yourself at home."
select,,"すまん
今度でもいいか","Sorry, could you
do that some
other time?"
1025001000610030,美琴,"え……私はいいけど、
仕事はいいの？","Well... I don't mind it, but what about your work?"
0000000000000,プロデューサー,ああ、これも仕事のうちだよ！,"Oh, but this IS my work!"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1025001000610040,美琴,"本当？　よかった
ありがとう","Really? 
Thanks, I appreciate it."
1025001000610050,美琴,"見なきゃと思っていたのが
たくさんあったから",I've got quite a backlog of stuff I've been wanting to watch.
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
0000000000000,プロデューサー,"今日は来客がある予定でさ
少し掃除しておかないとなんだ","We'll have some visitors at the office today.
I was hoping to clean up beforehand."
1025001000610060,美琴,"……そう
残念、じゃあまた今度ね","Oh...
Bummer. Some other time, then."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/102500100061.json,
Translator,Pluie,
