id,name,text,trans
3025014010010,ルカ,…………じゃあ、あっちは？,"......Then, what about that one?"
3025014010020,ルカ,"今度あるよね
……シーズと、コメティックのライブ","It's coming up, right.
......The live with SHHis and CoMETIK."
3025014010030,美琴,もちろん準備はしているけど,Of course we're preparing for that too.
3025014010040,ルカ,"そうだよね
ごめん、違うんだ。言いたかったのは──","Of course you are. Sorry, that's not what I meant. 
What I wanted to say is──"
3025014010050,ルカ,"────……一緒にやれるんだなって
ライブ","────......We'll get to do it together.
The live."
3025014010060,美琴,そうだね,You're right.
3025014010070,美琴,楽しみにしてる,I'm looking forward to it.
3025014010071,美琴＆ルカ,…………,......
3025014010080,果穂,お疲れ様です！,Hello!
3025014010090,愛依,お疲れ様でーす,Helloo~
3025014010100,千雪,お疲れ様です……,Hi there......
3025014010110,ルカ,！,!
3025014010120,ルカ,──っ、今来んのかよ……！,"──tch, what timing......!"
3025014010130,千雪,"さて♪
ふたりとも、まずは手洗いとうがい、しちゃおう","Well now♪
You two should first go wash your hands and clean up a bit."
3025014010140,愛依,"おっ、やろやろ～
この時期、そういうのちょー大事！","Ohh, we should～ It's suuuper important we keep ourselves
healthy during this time!"
3025014010150,果穂,"はい……！
風邪にもインフルエンザにもなれません……！","Yes......!
Let's not catch a cold or get the flu......!"
3025014010160,愛依,ライブ、あるもんね～,Not to mention that we have a live coming up too～
3025014010170,果穂,はい！,Yes!
3025014010180,ルカ,──……,──......
3025014010190,ルカ,"美琴
プレゼント、どこに隠す──？","Mikoto, where did you hide the presents──?"
3025014010200,美琴,……,......
3025014010210,美琴,テレビの裏？,Behind the television?
3025014010220,ルカ,"……や、それだと多分、入ってきた時
角度的に見える……！","......Bad idea. They'll probably spot it from the angle as
they enter the room......!"
3025014010230,美琴,そう？,That so?
3025014010240,美琴,"じゃあ…… 
こっちのパーテーションのうしろ","Then......
Let's put them behind the partition over here."
3025014010250,ルカ,やばい来る──急げ美琴……！,"Crap, they're coming──
Hurry, Mikoto......!"
3025014010260,美琴,……うん,......Got it.
3025014010270,ルカ,──……,──......
3025014010271,美琴＆ルカ,──,──
3025014010280,果穂,"あっ、美琴さん、ルカさん！
お疲れ様です！","Ah, Mikoto-san, Luca-san!
Hello!"
3025014010290,愛依,お疲れ様でーす,Helloo~
3025014010300,千雪,お疲れ様です……！,Hi there......!
3025014010301,美琴＆ルカ,お疲れ様,Hello......
3025014010310,千雪,"ごめんなさい
事務所の前で会ったんだけど、止められなくて……！","I'm sorry, I bumped into them at the door of the office but
couldn't stop them......!"
3025014010320,千雪,"夏葉ちゃんとプロデューサーさんも
車を戻したら来ると思う……！","Natsuha-chan and Producer-san will be coming after they
return the car."
3025014010321,美琴＆ルカ,そう,I see.
3025014010330,千雪,"果穂ちゃんと愛依ちゃんが事務所にいるつもりなら
場所を考える必要があるんだけど──","If Kaho-chan and Mei-chan were to stay in the office, then
we'll need to think of a space to do this──"
3025014010340,美琴,ふたりは、なんの用事？,What are the two of you doing in the office today?
3025014010350,果穂,お金をもらいに来ました！,I came to get back money!
3025014010360,愛依,差し入れ買うやつ～！,Expenses from buying the treats!
3025014010370,美琴,ああ……,Ahh......
3025014010380,果穂,"みなさんは──
打ち合わせ……ですか？",Are all of you here for... a meeting?
3025014010390,美琴,そんなところかな,You can say it's something like that.
3025014010400,果穂,"そうなんですね……！
もらったらすぐ出ます、じゃましません……っ！","I guessed as much......!
We'll go off right after we get the money, so we don't get
in the way......!"
3025014010410,千雪,"ごめんね……！
果穂ちゃん……",I'm so sorry for the trouble......! Kaho-chan......
3025014010420,果穂,いえ！,It's okay!
3025014010430,愛依,"果穂ちゃんこっちこっち
プロデューサーのデスクの一番上の引き出し～","Come here, Kaho-chan. the paperwork's at the top drawer
of Producer's desk～"
3025014010440,果穂,はーい！,Okaay!
3025014010450,愛依,"──あ！
てか、美琴さん！","──Ah!
Oh yeah, Mikoto-san!"
3025014010460,愛依,"こないだのクリスマスプレゼント
ちゃんと渡せそう～？","Were you able to give out the Christmas presents we got
that day～?"
3025014010461,千雪＆ルカ,え,Huh.
3025014010470,愛依,……？,......?
3025014010480,美琴,……,......
3025014010490,美琴,"……うん
渡せると思う","......Yea.
I think I can."
info,produce_events/302501401.json,
Translator,Mycstea,
