id,name,text,trans
0000000000000,プロデューサー,"おはよう、夏葉
それは……自分のライブ映像か","Morning, Natsuha.
Is that... one of your live performances?
"
1013001001510010,夏葉,"ええ、そうよ
……プロデューサーも見てみて","Yes, it is.
...Take a look, Producer."
1013001001510020,夏葉,これ、アナタはどう思う？,What do you think about this?
0000000000000,プロデューサー,（俺の意見か……）,(My opinion...?)
select,,何か足りない,"It's missing
something."
select,,"いいパフォーマンス
だと思う","It's a good
performance,
I think."
select,,盛り上がっているな,"You were quite
excited, huh?
"
1013001001510030,夏葉,"そう！　私もそう思ってたの！
どうも何かが足りないのよね……","Exactly! That's exactly what I was thinking!
Somehow, something's missing."
1013001001510040,夏葉,"ひとりだと、具体的にどこがいけないのかわからなくて……
プロデューサー、一緒に考えてくれないかしら？","I can't seem to figure out exactly what it is by myself.
Could you help me think of what it could be?
"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Alright, that went really well!)"
1013001001510050,夏葉,"ありがとう
そう言われるのは素直にうれしいわ","Thank you. I'm happy to hear you
say that so honestly."
1013001001510060,夏葉,でも、完璧だとは思えないのよね……,But I still think it wasn't perfect...
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went OK.)"
1013001001510070,夏葉,"ええ…確かにすごい盛り上がりね
私もすごく楽しかったわ","Yes... I was really excited.
I had a lot of fun, too."
1013001001510080,夏葉,"でも、プロデューサーには私のパフォーマンスを
気にしてほしいわね","But, I'd like you to focus a bit more on
my actual performance."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,"(Ah…… I screwed up.
I should have said something else……)"
info,produce_communications/101300100151.json,
译者,,
