id,name,text,trans
0000000000000,プロデューサー,"よくやった、１次審査突破だ！
さすがだな、夏葉！","Great work passing the first season!
As expected of you, Natsuha!"
7013001010010,夏葉,"何をはしゃいでいるの、まだ１次審査よ
これぐらい通って当然でしょう？","What are you celebrating for? It's only the first season.
Getting this far is pretty much a given, right?"
0000000000000,プロデューサー,"そうだな
でも、やっぱりすごいものはすごいよ、おめでとう","True enough. Still, we have to recognize
good work, so congratulations."
7013001010020,夏葉,"これからまだまだ先へ進まなくてはいけないというのに、
のん気なものね？","We still have so much road we need to tread,
yet you're still this happy-go-lucky."
7013001010030,夏葉,次の審査通過に向けて改善すべき点はたくさんあるわ,We have many things to improve on this coming season.
7013001010040,夏葉,私には立ち止まる時間なんていらないの！,I don't need to spend time idling about!
0000000000000,プロデューサー,"さすがだな
そのやる気は夏葉の魅力の１つだよ","As expected of you.
That can-do energy is one of your strong points, Natsuha."
7013001010050,夏葉,"まったく……そんなことを言っている暇があるのなら、
レッスンに付き合いなさい！","Honestly... If you have time to talk like that, then come
with me to practice."
7013001010060,夏葉,行くわよ！,Let's go!
0000000000000,プロデューサー,ん、どうした？,"Hm, why?"
7013001010070,夏葉,"……でも
やっぱり努力が認められるっていうのは、うれしいことね","...still
I guess I am happy to be recognized for my effort. "
0000000000000,プロデューサー,（本当は１次審査通過したのが嬉しかったんだな……）,(So she is happy that she passed the first season...)
0000000000000,プロデューサー,"夏葉は人１倍努力していたからな、
それが多くの人にも伝わった……当然の結果だよ","You worked much harder than a lot of others,
and people took notice of that... That's just what happens."
7013001010080,夏葉,……いいえ！　まだまだ、これからよ！,...No! This is only the beginning!
7013001010090,夏葉,"世界一になるためには、トレーニングもレッスンも
もっともっと頑張らないといけないわ！","I still have many lessons and practice that I need to
work harder at if I want to become the best!"
0000000000000,プロデューサー,"わかった、夏葉がトップアイドルになれるように
俺も全力でサポートするよ","Got it. I'll do everything I can to support you on your
way to becoming a top idol."
7013001010100,夏葉,"そうよ、プロデューサーにも
もっとこれまで以上に頑張ってもらわないと！","Yes, you better not go slacking off
on me, Producer!"
7013001010110,夏葉,でも、１番大切なのは私自身の努力だわ,"Although, my own efforts are what matter most, after all."
0000000000000,プロデューサー,夏葉はこれまでどおり頑張れば大丈夫だ,You'll be alright if you keep doing what you're doing.
7013001010120,夏葉,"いいえ、高みを目指す為には、これまで以上に
もっと自分を磨かないといけないのよ！","Nope, I still have plenty of edges I need to polish
if I want to aim so high."
7013001010130,夏葉,プロデューサー、これからもっと私、頑張るから！,"Producer, I'm going to keep working harder from here on."
7013001010140,夏葉,絶対、世界一のアイドルになってみせるわ！,"Just watch! 
I'll show you I can become the greatest idol in the world!"
info,produce_events/701300101.json,
译者,,
