id,name,text,trans
3013006010010,夏葉,"雲行きが怪しいわね……
レッスン場に着くまでに降らないといいけれど","I don't like the look of those clouds...
I sure hope it doesn't rain until we reach the studio."
3013006010020,樹里,"まー、雨降るかは微妙らしいし
なんとかなるんじゃねーか","Well, I don't think the rain should be that bad.
We'll probably be fine."
3013006010030,夏葉,こんな時に限って傘を忘れてくるなんて……,Of all the times to forget my umbrella...
3013006010040,樹里,傘ならアタシが持ってきてるし、大丈夫だろ,"Oh don't worry, I brought my umbrella along today."
3013006010050,夏葉,"私も用意はしてたんだけど……
今日はたまたま……","I'm usually prepared for this sort of thing... 
It just so happened that today I wasn't able to..."
3013006010060,樹里,"ふーん……
ま、そんな時もあるよな","Hmmm...
Well, it happens to the best of us."
3013006010070,夏葉,"いえ、帰ったらすぐに鞄に入れるわ
失敗は繰り返さな……","No, afterwards, I will put the umbrella in my bag\nimmediately. I will make sure a mistake like this\nnever happens again."
3013006010080,夏葉,あっ！,Ah!
3013006010090,樹里,"……うわっ！
降ってきたな……","...Wha! 
It's starting to rain."
3013006010100,樹里,"──ほら、傘
入れよ","C'mon. Umbrella.
Get under here."
3013006010110,夏葉,でも……,But...
3013006010120,樹里,"？
早く入らないと濡れんぞ","Hm?
If you don't get under here soon, you're gonna get soaked. "
3013006010130,夏葉,その傘、ふたりで入るには小さすぎるわ,I think this umbrella is too small for the two of us.
3013006010140,樹里,そーか……？,Really...?
3013006010150,夏葉,"……私はいいわ
樹里がひとりで使いなさい","Don't worry about me. 
You can use the umbrella for yourself."
3013006010160,樹里,"はぁ？　なんでだよ
濡れるよりはふたりで入った方がいーだろ","Huhhh? What are you even saying? 
It's better for both of us to be under here than to get wet, right?"
3013006010170,夏葉,"ダメよ
樹里が風邪をひいたら大変じゃない","That won't do. 
It would be bad if you caught a cold. "
3013006010180,樹里,……そんなこと気にすんのかよ,...You don't need to worry about that.
3013006010190,夏葉,"じゃあタクシーを呼びましょう
それならふたりとも濡れないで済むわ！","In that case, I'll hail us a taxi. 
Neither one of us would have to get wet that way!"
3013006010200,樹里,……いや、確かに濡れなくて済むけどさ……,"Well, that'd definitely ensure that we stay dry, but..."
