id,name,text,trans
3013007020010,凛世,"（今日は……
夏葉さんとの約束の日……）",Today... I promised Natsuha-san I would meet with her...
3013007020020,夏葉,"──さあ、はじめましょうか
凛世、準備はいい？","Okay, let's begin. Rinze, are you ready?"
3013007020030,凛世,"はい……
整っております……",Yes... I am ready...
3013007020040,夏葉,"そう……それじゃあこれから
凛世への特別プログラム……",Good... Then let's begin your special program...
3013007020050,夏葉,"『有栖川夏葉の放課後フレンチマナー講座』を
はじめるわ！",Natsuha Arisugawa's After School French Manners Course begins now!
3013007020060,凛世,よろしく……お願い致します……,I shall do my best... to fulfill your expectations...
3013007020070,夏葉,"凛世
アナタがフレンチの会食に臨むのは来週よね？","Rinze, you will attend the French banquet next week, right?"
3013007020080,凛世,はい……,Correct...
3013007020090,夏葉,つまり、もうあまり時間が無いわ,"So, we're already short on time."
3013007020100,夏葉,"食事とはいえこれも仕事
今日はマナーを完璧に覚えていってちょうだい！","It may be a meal for you, but treat it as work. I'll make sure you know proper etiquette before the end of today!"
3013007020110,夏葉,プロデューサーからもそう頼まれているんだから！,Producer is counting on us after all!
3013007020120,凛世,プロデューサーさまに……？,"Producer-sama, you say...?"
3013007020130,夏葉,ええ、そうよ！,Yes. Exactly!
3013007020140,凛世,精一杯……努めましょう……,Then I shall... give it my all...
3013007020150,夏葉,"うふふ、その意気よ！
それじゃ、はじめていくわね","Fufu, that's what I like to hear! Then, let's start for real!"
3013007020160,夏葉,この席に座って頂戴,Please sit here.
3013007020170,凛世,失礼致します……,Excuse me...
3013007020180,夏葉,"マナーは知識ではないの
最終的に体で覚えなくては意味がないわ",Manners isn't something you can just learn through a book. It's meaningless if you don't experience it!
3013007020190,夏葉,"実践トレーニングあるのみ！
ひとつずつ実際にやってみながら確認しましょう","This will be a practice run! While we're going through it, I'll be checking to see how you're doing."
3013007020200,凛世,実践……心得ました,I am prepared... for the practice run.
3013007020210,夏葉,まず、ナイフとフォークについてだけど──,"First, pick up your knife and fork──"
3013007020220,凛世,……,......
3013007020230,夏葉,"──へぇ、そうね。合っているわ
外側のものから使っていくの","──Yes, just like that. You're doing it perfectly. Make sure to use the two utensils from the outside."
3013007020240,夏葉,それじゃあ、スープは──,"Now, as for the soup──"
3013007020250,凛世,……,......
3013007020260,夏葉,"──そ、そう、やるわね
口の中に静かに流し込むようにするといいわ","──W-wow, not bad. Make sure to drink the soup as quietly as possible."
3013007020270,夏葉,"それから中座する場合ね
基本的に席は立たないものだけど、もしものときは──","Next, if you are sitting in the middle, you can't just get up from your seat. If something comes up──"
3013007020280,夏葉,──見事だわ。ナプキンは椅子の上……,"──Well done. You even placed your napkin on top of your chair. "
3013007020290,夏葉,…………,......
3013007020300,凛世,……何か……至らぬ点など……？,... Is there... anything you would like to comment on...?
3013007020310,夏葉,"いいえ、ここまではパーフェクト
文句をつけるどころか、指導するところもないわ","No. So far, it's been perfect. Not only do I have no complaints, I don't think there's anything I can teach you."
3013007020320,凛世,……少し……予習を致しました……,... I made sure... to prepare before coming...
3013007020330,夏葉,あら、そうだったの？,"Oh, you did?"
3013007020340,夏葉,"うふふ、素晴らしいわ
とっても優秀よ！","Fufu, splendid! You've exceed all my expectations!"
3013007020350,夏葉,"だけどその……
せっかく家まで来てもらったけど",But still... After you came all the way to my house...
3013007020360,夏葉,"なんていうか
あまり、教えることがないわね……",I still didn't have much to teach you...
3013007020370,凛世,"いえ……そのようなことは……
──あ","No... That is not... 
──Ah."
3013007020380,凛世,パンが……そちらに……,The bread... Over there...
3013007020390,夏葉,"あら、転がってしまったわね
拾わなくても──","Oh my, it's rolled onto the floor. You don't have to get it, I'll──"
3013007020400,凛世,"夏葉さん……申し訳ございません……
このような……","Natsuha-san... Forgive me, but... I cannot let something like this..."
3013007020410,夏葉,いいのよ、気にしないで,It's fine. Don't worry about it.
3013007020420,凛世,"拾ったりなど……
無作法で……ございましょうか……","If picking up the bread is... poor etiquette...
Then let us both act in that manner..."
3013007020430,夏葉,ふふ……,Fufu...
3013007020440,夏葉,……貸してごらんなさい,... Let me see that.
3013007020450,夏葉,ん……,Hm...
3013007020460,凛世,……！,......!
3013007020470,夏葉,"確かに……落ちたナイフやフォークを
自分で拾うのはNGよ",Of course it would not do to pick up a fallen knife or fork yourself.
3013007020480,凛世,はい……,Yes...
3013007020490,夏葉,"でも……
これはフレンチの流儀ではないのだけど","You see... This isn't a French custom, but... "
3013007020500,夏葉,”落としたパンを捨てる前にキスをしなければいけない”,"If you are to throw away bread, you must kiss it before doing so."
3013007020510,夏葉,そういう食事のマナーがある場所も存在するのよ,There are places in which such customs exist.
3013007020520,凛世,"……
キス……を……？","...... 
Kiss... it...?"
3013007020530,夏葉,"ええ。『ありがとう、ごめんなさい』……
きっとそういう気持ちを表現しているのね","Yes. “Thank you, and sorry...” 
It is something you do to convey these two feelings."
3013007020540,夏葉,無作法とされる場合もあるけれど……,"Of course, there are many places that would consider this rude... "
3013007020550,夏葉,私は、ちゃんと感謝と罪の気持ちを表現したいわ,But I want to be able to convey my feelings of thanks and regret.
3013007020560,凛世,夏葉さん……,"Natsuha-san... "
3013007020570,夏葉,"だから、凛世。アナタがこうして
パンを拾ったこと、私としては満点評価よ","That's why, Rinze, you get a perfect evaluation from me for that."
3013007020580,凛世,……はい,... Thank you.
3013007020590,夏葉,"ふふ、少しは凛世のためになることを
教えてあげられたかしら","Fufu, was I able to teach you something worth nothing?"
3013007020600,凛世,はい……,"Yes... "
3013007020610,凛世,マナーは……心……,Manners come from... the heart...
3013007020620,凛世,"夏葉さんの……お心……
しかと……実践いたしましょう……",With Natsuha-san's... heart... Let's resume our practice...
info,produce_events/301300702.json,
Translator,Mei W.,
