id,name,text,trans
6024002030010,にちか,集中してます,"I'm getting myself together. "
0000000000000,プロデューサー,……うん、わかってる,"...Right, I'll leave you to it. "
6024002030020,にちか,……,...
6024002030030,にちか,──────めちゃめちゃ、めちゃめちゃ緊張してます,"────I'm really, really, really anxious. "
0000000000000,プロデューサー,……うん,...Yeah.
0000000000000,プロデューサー,わかってるよ,I know you are.
6024002030040,にちか,…………──────────,...──────
6024002030050,にちか,自分のステージの方が……ずっと楽,"When I'm about to go on stage for my own gigs...
I always feel so calm."
0000000000000,プロデューサー,"…………
にちか──────",...Nichika────
0000000000000,プロデューサー,──────にちかのステージでもあるんだけどな,"────I want to tell her, ""Nichika, this is your
performance too, you know."""
0000000000000,プロデューサー,……でも、いいんだ今回は,"...But this time, I'll let it go. "
0000000000000,プロデューサー,にちかが、大事にしたいもので──────,"If Mikoto's performance is what Nichika has
chosen to prioritize, then────"
info,produce_events/602400203.json,
Translator,Belvera,
