id,name,text,trans
7024001040080,はづき,……結果は、結果ですから,"...the results, are the results."
7024001040090,はづき,現実は厳しい……ということです,They say... reality is harsh.
7024001040100,社長,"……新人アイドルと新人プロデューサーにしては、
悪くない結果だった","...for a new idol and a new producer, the results
aren't bad."
0000000000000,プロデューサー,"でも、まだまだ先にも行けたと思うんです
俺にもっと力があれば……！","But, I think she could go even further, if only I was
more capable...!"
7024001040110,社長,"────ああ
一番そう思っているのは、彼女だろう","────yeah. She's the one who probably feels that
way the most."
7024001040120,社長,"自分が今なすべきことを
よく考えてみることだ",Think hard about what you need to do now.
0000000000000,プロデューサー,"…………はい
彼女に、会いに行ってきます",...right. I'm going to go and see her.
7902001040040,社長,ああ、行ってこい,"Yeah, go on."
0000000000000,プロデューサー,"二次審査の結果なんだけど────
…………","We got the second exam results────
......"
7024001040010,にちか,"あ、あー…………！
はいはいっ、了解でーすっ","A-Ahー...! Yeah, yeah, I get ittt."
0000000000000,プロデューサー,…………にちか、その────,"...Nichika, er────"
7024001040020,にちか,"どんぐりはどんぐりでも
いっちばん普通などんぐり、七草にちか！","An acorn's still an acorn. The very best regular acorn,
Nichika Nanakusa!"
7024001040030,にちか,夢を見ちゃってごめんなさーい☆,Sorry for having a dreamー☆
0000000000000,プロデューサー,…………────,...────
7024001040040,にちか,"────私、凡人だし……
あはは、フツー枠だから…………","────I'm, just a regular person... ahaha, just
mass-produced..."
7024001040050,にちか,"やっぱりちょっと自虐ネタとか
広げてった方がよかったですよねー……！","It's just some self-deprecating jokes. It would have
been better to space them out, right...!"
0000000000000,プロデューサー,"────そういう考え方を否定はしないよ
でも……そんなふうに言わないでくれ","────I won't deny that way of thinking. But...
please don't say such things."
7024001040060,にちか,"だ、だってー……！
だって、通らなきゃ終わりじゃないですかー……！","B-Butー...! But, if I don't pass, then it's all overー...!"
7024001040070,にちか,"もう…………
終わったじゃないですか……──────",Already... It can't already be over...──────
info,produce_events/702400104.json,
Translator,Batsu,
