id,name,text,trans
0000000000000,プロデューサー,"──────っと、にちか……！
…………つかまってくれ","──Oh, Nichika...!
... Here, hang on to me!"
6024001020010,にちか,"──────…………
っ…………はい………………","──......
Y... yes..."
0000000000000,プロデューサー,"ゆっくり……ちゃんと呼吸して…………
────そう…………大丈夫だ","Slow down... Take deep breaths...
──Like that... It's okay."
6024001020020,にちか,"………………
やっと………………","......
I barely..."
6024001020030,にちか,やっと…………終わった………………,I just barely... didn't make it...
0000000000000,プロデューサー,…………にちか,... Nichika...
6024001020040,にちか,──────────,......
6024001020050,にちか,なみちゃんは…………楽しかったかな………………,Did Nami-chan... have fun like this...?
6024001020060,にちか,楽しかったかな………………アイドル………………,Was it fun... as an idol...?
info,produce_events/602400102.json,
Translator,alice,
