id,name,text,trans
0000000000000,プロデューサー,"──うまく踊れなくなったというか……
歌の方も、真面目にレッスンはこなしてるんですけど……","── Her dance' condition is a bit out of shape...
For her vocal, she train very keenly..."
0000000000000,プロデューサー,"……ええ、少しコンディションを落としていて
あ、ドラマの方には影響出しませんので────","... Right, her condition is a little bit off
Yes, she can't get in mood in drama──"
0000000000000,プロデューサー,"いやいや！　監督のせいだなんて────！
はい、はい。ちょっと休養も取らせながら考えてみます","That's not it ! it's not the director's fault── !
Yes, understood. I plan to give her a break for a while"
0000000000000,プロデューサー,"……
凛世……","...
Rinze..."
1012003040010,凛世,"──『会いたい──
会いたいな……──』","── ""I want to see him──
I really want to meet him... ──"""
1012003040020,凛世,……────,......──
0000000000000,プロデューサー,────,──
0000000000000,プロデューサー,"ある晩、舞踏会から戻ってきていた博士は
台所の前で偶然そのつぶやきを耳にする","One night, after coming back from the party, 
the professor hear a sound from the kitchen"
0000000000000,プロデューサー,"──ははっ、凛世
こんな時間まで練習か","── Haha, Rinze
You are still practicing till now"
1012003040030,凛世,プロデューサーさま……,Producer-sama...
0000000000000,プロデューサー,"その──
────……大丈夫か？","Well──
──... Are you okay ?"
1012003040040,凛世,"は、はい……！
問題……ございません…………","I, I am okay... !
There are.... No problems..."
0000000000000,プロデューサー,"博士はこう思い込んだ
きっと彼女は別の誰かを想っているのだ……","The professor thinks that 
the girl must be thinking of another person"
0000000000000,プロデューサー,そう思うと、たまらなかった,"He can't help it, but to think about it"
0000000000000,プロデューサー,"それで博士は
彼女から言葉を奪うことにした",Then the professor take her word from her
0000000000000,プロデューサー,"──……
何日かオフを入れようと思うんだ","──... 
I am thinking to give you some day off"
1012003040050,凛世,"……プロデューサーさま……！
凛世は……大丈夫でございます────","... Producer-sama... !
Rinze... is okay──."
1012003040060,凛世,────…………,──......
0000000000000,プロデューサー,"──調子が落ちることくらい、誰にでもあるよ
凛世、このところすごく集中してたからさ……","── Everyone always have a time were their condition is down
Rinze, you've been really focused lately"
0000000000000,プロデューサー,"少し休んで、頭からっぽにしてみるのも
悪くないと思うんだ","Take a rest for a while,
I think calming your mind is pretty good for you"
1012003040070,凛世,……っ,... Ah
