id,name,text,trans
0000000000000,プロデューサー,"凛世、何やってるんだ？
……折り紙か？","What are you doing, Rinze?
... Origami?"
1012001000410010,凛世,"はい……
少し早く……着いてしまいましたので……","Yes...
I arrived... a bit early... so..."
1012001000410020,凛世,"幼い頃も、所在ない折など……
よく……こうしておりました……","Even when I was young, when I had spare time...
Well... I would do this..."
0000000000000,プロデューサー,（きれいに折るんだな……）,(Her folds are so neat...)
select,,鶴は折れるか？,"Is that a crane
you're folding?"
select,,俺にも教えてくれ,Show me how?
select,,いろんな色があるよな,"There's a lot
of colors!"
1012001000410030,凛世,"鶴……ですね……
造作もございません……","It is... a crane...
It is not difficult..."
1012001000410040,凛世,"プロデューサーさまが、望まれるのでしたら……
何羽でも……","If it is what Producer-sama wishes for...
I could make many..."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1012001000410050,凛世,プロデューサーさま……,Producer-sama...
1012001000410060,凛世,"言ってくだされば……
凛世が……折りましょう……","If that is what you ask...
Rinze can... fold with you..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1012001000410070,凛世,"はい……
それぞれの色の紙に……","Yes...
Each paper has its own color..."
1012001000410080,凛世,"それぞれ異なった心が……
宿るようです……","Each its own particular heart...
Which seems to linger..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/101200100041.json,
Translator,alice,
