id,name,text,trans
0000000000000,プロデューサー,"ど、どうしたんだ凛世……
顔色が悪いぞ……","Wh-what happened, Rinze..?
You look pale..."
1012001000910010,凛世,"プロデューサーさま……
先ほど……お電話いたしましたが、お出になられず……","Producer-sama...
I tried... to call you earlier, but there was no answer..."
1012001000910020,凛世,"プロデューサーさまに……
何かあったのでは……と……","I wondered if...
Something happened to Producer-sama..."
0000000000000,プロデューサー,（い、今にも泣きそうな表情をしている……！）,(Sh-she's on the verge of crying...!)
select,,"同じタイミングで
かけたみたいだな","I think we called
at the same time."
select,,少し寝坊してな,I overslept a bit.
select,,移動中だったんだ,I was in transit.
1012001000910030,凛世,"……そうでしたか
同時に……","... Oh, I see...
At same time..."
1012001000910040,凛世,"プロデューサーさまと……気持ちが通じたようで……
少し、嬉しいです……","To have shared... that intention... with Producer-sama...
I am a little... happy..."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1012001000910050,凛世,寝坊……ですか……？,Oversleeping...?
1012001000910060,凛世,"凛世が……起こしてしまったのでなければ……
よいのですが……","I hope I was not... the one who woke you up... 
It might have helped, but still..."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1012001000910070,凛世,そうとは知らず……,I was unaware...
1012001000910080,凛世,"お忙しいところ、お邪魔してしまい……
申し訳ありませんでした……","To have interfered at such a busy time...
There was no excuse..."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah… I should've said something else instead…)
info,produce_communications/101200100091.json,
Translator,alice,
