id,name,text,trans
4012001000210010,凛世,……,......
0000000000000,プロデューサー,"（凛世、ずっとうつむいてるな……
励ましてあげられたらいいんだが……）","(Rinze's always looking down...
I need to give her some good encouragement...)"
select,,"今日は、何のために
頑張るんだ？","What are you
working your
hardest for,
today?"
select,,"一緒にがんばった成果を
見せような","Let's show them the
accomplishments of
our work together."
select,,"トップアイドルを
目指そうな","Let's aim for
you to be
a Top Idol."
4012001000210020,凛世,"それは……プロデューサーさまやファンのみなさまのため
……そして、凛世自身のためでございます","That is... For Producer-sama and the fans...
... And now, it is for myself, as well."
0000000000000,プロデューサー,（よし、覚悟は決まっているようだな）,"(Alright, it looks like her resolve has set in.)"
4012001000210030,凛世,"はい……。プロデューサーさまとのこれまで……
……無駄にはいたしません","Yes... What we have done until now...
... It will not be wasted."
0000000000000,プロデューサー,（うん。心配いらないみたいだな）,(Yeah. Looks like there's no need to worry.)
4012001000210040,凛世,"はい……貴方さまが……
トップを、望まれるのでしたら……","Yes... If you desire...
For me to reach the top, then I will have to..."
0000000000000,プロデューサー,（……あまり反応がよくないな）,(... She doesn't really seem that receptive.)
info,produce_communication_cheers/401200100021.json,
Translator,,
