id,name,text,trans
2012006010010,凛世,凛世は……あちらが……,I like that one.
0000000000000,プロデューサー,ん？　あの……青いやつか……？,"Hmm? You mean, that blue one?"
2012006010020,凛世,はい……,Yes.
0000000000000,プロデューサー,ん──……,Mmm...
2012006010030,凛世,お目覚めで……ございますか……,Are you awake now?
0000000000000,プロデューサー,"──凛世……？
……うわっ、すまん。少しうとうとしたみたいだ","Rinze?
Woah, sorry about that. It seems that I dozed off a little."
2012006010040,凛世,"また……
夜を徹しての……お仕事だったのですね……","You have worked through
the night again, haven't you?"
0000000000000,プロデューサー,"ま、まぁな
けど、凛世も随分早いんじゃないか？","Y-Yeah.
But, Rinze, you're quite early yourself."
2012006010050,凛世,"いえ……
凛世は、プロデューサーさまを……案じております……","No...
I was just worried about you."
0000000000000,プロデューサー,"俺は全然問題ないよ
ありがとな","You don't have to worry about me at all.
Still, thanks."
0000000000000,プロデューサー,"なんか、
風鈴の音が気持ちよくてさ……","For some reason, the sound
of the wind chime feels nice..."
2012006010060,凛世,"……はい
とても……よい音色です……","Yes.
It has a very nice sound."
0000000000000,プロデューサー,"さすが凛世の目利きだな
おかげで、事務所がちょっと涼しくなったみたいだよ","It's all thanks to your choice.
Because of it, the office feels a little cooler now."
2012006010070,凛世,"いえ……買ってくださったのは……
プロデューサーさまです……","No. It was all because you
bought it for me, Producer-sama."
0000000000000,プロデューサー,"はは、
だって凛世、見入っちゃって動かなかったじゃないか","Haha.
Well, you were staring at it so much that you won't budge."
2012006010080,凛世,"そ……そのような……
……申し訳ございません……","I-I... I am really
sorry about that..."
0000000000000,プロデューサー,"謝ることないって
いい買い物だったなって思ってるよ","You don't have to apologize for it.
I think that it was a good buy."
2012006010090,凛世,"プロデューサーさま……
はい……","Producer-sama...
Thank you."
0000000000000,プロデューサー,"……なんか、ガラスって
光が通ると、波打っているように見えるよな","Say, the glass appears to be bending
when light passes through it."
2012006010100,凛世,はい──,Indeed.
2012006010110,凛世,"硝子は……
長い時をかけて……流れている……","A glass will degrade
over a long period of time."
2012006010120,凛世,とも申します……,I should say...
0000000000000,プロデューサー,え？,Huh?
2012006010130,凛世,"凛世も……
つまびらかには……存じませんが……","I do not know
the details myself but..."
2012006010140,凛世,"ゆるぎないように見えて……
まことには……","It may appear to be steady... But, "
2012006010150,凛世,"千年も……万年もかけて……
流れ続けるのだと……","after a thousand years or even ten thousand years, it will degrade."
0000000000000,プロデューサー,"へぇー……！
ガラスは流れている、か……","I see!
So, glass degrades, huh."
0000000000000,プロデューサー,じゃあ本当かどうか、一緒に見てようか,"So, how about we see it for ourselves if that's true?"
2012006010160,凛世,……！,……!
2012006010170,凛世,プロデューサーさま……,Producer-sama...
2012006010180,凛世,"プロデューサーさまと……
風鈴が……流れてゆくのを……？","You and I will watch
the wind chime together?"
0000000000000,プロデューサー,"あ、いや、はは……
千年も万年も、ってわけにはいかないけどさ","Ah, no, haha. It's not like we'll be together for thousands or even ten thousands of years."
2012006010190,凛世,"いえ……
凛世は……貴方さまがいれば……","Not at all.
I do not mind how long it may take as you are by my side."
