id,name,text,trans
0000000000000,プロデューサー,ほら、お茶,Have some tea.
2012007110010,凛世,──……プロデューサーさま……！,Producer-sama?
0000000000000,プロデューサー,驚かせたか？　すまん──,Did I startle you? Sorry about that.
2012007110020,凛世,"──い、いえ……
そのようなこと……凛世が……","N-No.
But, I should be the one doing that."
0000000000000,プロデューサー,"ああ、いや、ダメだ
勉強中だろ？","Oh, no, you don't have to.
You're studying, right?"
2012007110030,凛世,……はい,Yes.
0000000000000,プロデューサー,"はは、すごく集中してたからさ
……テストだっけ","Haha, you were so focused on it.
Was it for a test again?"
2012007110040,凛世,"はい……
すぐに……模擬試験が……","Yes, we have
a mock exam coming up."
2012007110050,凛世,ですが……,However...
2012007110060,凛世,"今は……
ただ……ぼんやりしていたのです……","I was not really paying attention
to anything just now..."
0000000000000,プロデューサー,そうなのか？,Really?
2012007110070,凛世,"はい……
不思議な言葉を……見つけましたゆえ……","That is true.
It is because I have stumpbled upon a strange word."
0000000000000,プロデューサー,"……うわぁ、古語辞典か
俺、つらい模試を思い出すよ……","Woah, that's a dictionary for archaic words.
Reminds me of all those difficult mock exams."
2012007110080,凛世,ふふ……,Fufu.
0000000000000,プロデューサー,どれ──？,Which is it?
2012007110090,凛世,"はい……
『蜂吹く』……──","This one,
""Hachibuku""."
0000000000000,プロデューサー,"え、ハチブク……？
どういう意味なんだ","Huh? ""Hachibuku""?
What does that mean?"
2012007110100,凛世,"口をとがらせ……
不満げな顔をすること……と……","""To pout"",
""To show a look of dissatisfaction""."
0000000000000,プロデューサー,"ああ……蜂の羽音みたいにってことなのかな……
──こんな感じか？","Oh... I guess it's like making a buzz sound of a bee.
Maybe like this?"
0000000000000,プロデューサー,ブー……,Bzz...
2012007110110,凛世,"…………ふふっ
ふふふ……","Fufu...
Fufufu.."
0000000000000,プロデューサー,ええっ、こういうことじゃないか？,"Wait, is it not like this?"
2012007110120,凛世,…………いえ……,No.
2012007110130,凛世,"『ふくれっ面』とも……書いてありますゆえ……
このような具合でしょう……──","It also says ""a sulky face"".
Maybe it is like this?"
2012007110140,凛世,ぶぅ……,Buu...
0000000000000,プロデューサー,"あははっ、凛世
確かにな！","Ahaha!
You're right, Rinze!"
2012007110150,凛世,ふふふ……,Fufufu.
0000000000000,プロデューサー,"……ああ、でも懐かしいな
俺は電子辞書だったけど、凛世は紙なんだな","Still, this sure brings back memories.
Although I was using a digital one, while you have a paperback."
2012007110160,凛世,"はい……
ぱらぱらと……めくっておりますと……","Yes.
When I go through it or turn a page,"
2012007110170,凛世,思わぬ言葉が……,I encounter an unexpected word.
0000000000000,プロデューサー,"へぇ……
俺にも見せてくれるか？　──と","Oh.
Could I have a look? There."
0000000000000,プロデューサー,──なんか、マルがつけてある,There seems to a word that has been encircled.
0000000000000,プロデューサー,……『うらごい』……？,Uragoi?
2012007110180,凛世,"……それは……！
あの……──","That one is...
How should I say this..."
0000000000000,プロデューサー,"『心恋』？　これでうらごいって読むのか
……ええと、慕っている人を思──","Is ""Uragoi"" the reading for ""love""?
It says that──"
2012007110190,凛世,"慕っている人を……心の中に想うこと……
でございます……","""The feelings inside the heart
directed to the person one is yearning for""."
0000000000000,プロデューサー,……凛世……？,Rinze?
2012007110200,凛世,"いえ……
…………漫画で……見かけましたので……","No, it is just a word
I learned from reading manga."
0000000000000,プロデューサー,……そうか。へぇ……,"Oh, I see."
0000000000000,プロデューサー,──……「心」って、「うら」って読むんだな,"So, ""Ura"" is the reading given for the ""heart"" part."
2012007110210,凛世,…………,……
2012007110220,凛世,"……きっと
見通せぬもの……だからでしょう……","It is probably
because it can not be seen."
0000000000000,プロデューサー,見通せぬもの……それで、裏か,"Can't be seen... which is why it's read as ""Ura""."
2012007110230,凛世,……プロデューサーさまには……,"Producer-sama,"
2012007110240,凛世,"隠しておられるものが……
ございますか……？","is there something
that you have been hiding?"
0000000000000,プロデューサー,"俺か？　うーん……
……あんまり隠してるつもりもないけど……","Me? Hmm...
I don't think that I'm hiding something."
2012007110250,凛世,…………,……
0000000000000,プロデューサー,"……凛世はどうなんだ？
あるのか、隠してるもの","How about you, Rinze?
Are you hiding something?"
2012007110260,凛世,"……
凛世は…………","……
I..."
2012007110270,凛世,"……
……見えないでしょうか？","……
Can you not see it?"
0000000000000,プロデューサー,……え？,Huh?
2012007110280,凛世,…………いえ──,No.
2012007110290,凛世,"…………
──ぶぅ……","……
Buu."
0000000000000,プロデューサー,"……！
…………蜂吹いた","……!
You pouted."
2012007110300,凛世,……ふふっ…………,Fufu...
0000000000000,プロデューサー,"や、すまん……
なんか……変なこと聞いちゃったかな……？","Oh, sorry about that.
Did I just ask you something weird?"
2012007110310,凛世,いえ……,No.
2012007110320,凛世,"ですが……
隠さなくても……見えぬもののようです……","However, even if I don't hide it,
it seems that it won't be noticed."
0000000000000,プロデューサー,……凛世？,Rinze?
2012007110330,凛世,心とは……,"My heart, that is."
info,produce_events/201200711.json,
译者,,
