id,name,text,trans
3012010010010,果穂,"──よしっ
燃えるごみ、出してきます！","──Okay.
I'm taking out the burnable trash!"
3012010010020,樹里,"おー、サンキュ
ひとりで持てるか？","Oh, thanks.
You'll be fine by yourself?"
3012010010030,果穂,"はいっ！　軽いから大丈夫です！
いってきまーす！","Yes! It's not that heavy!
I'll be baaack!"
3012010010040,智代子,"──あれ
こっちゾーンの物って、基本廃棄でいいんだっけ？","──Wait.
Are we allowed to throw away the stuff over here?"
3012010010050,凛世,"はい……
はづきさんが……そのように……","Yes...
Hazuki-san...has said so..."
3012010010060,智代子,"んー……
そっか、ありがとう！","Huh...
I guess so. Thanks!"
3012010010070,樹里,どうしたんだ？,What's wrong?
3012010010080,智代子,"あ、ううん！
ちょっとだけ──","Ah, nothing! 
It's just that──"
3012010010090,智代子,これも捨てちゃうのかぁって,I'm wondering if we should toss this thing away.
3012010010100,夏葉,あら、何かしら？,"Oh, what is it?"
3012010010110,智代子,"──ああっ、ごめんごめん！
古そうな絵だから、もったいないなーって思っただけで！","──Sorry all! It's an old painting so I thought it would
be a waste to do so!"
3012010010111,凛世＆夏葉,────？,────?
3012010010112,凛世＆夏葉,"────
こ、これは…………！","────
T-This must be...!"
3012010010120,智代子,"……えっ
ええっ、何……！？","...Eh.
What is it...!?"
3012010010130,果穂,"プロデューサーさーん……！
早く、早く……っ！","Producer-saaan...!
Please hurry up...!"
0000000000000,プロデューサー,ま、待ってくれ果穂……！,"W-Wait for me, Kaho...!"
3012010010140,果穂,"お、お宝……
お宝なんですっ……！","T-Treasure...
We found a treasure...!"
3012010010150,凛世,"────やはり……
そっくりです……","────As I thought...
It is near identical..."
3012010010160,夏葉,"ええ……
落款は間違いないわね……","Yeah...
This signature can't be mistaken..."
3012010010170,果穂,"……っ
……はぁっ……",...huff...huff...
3012010010180,果穂,プロデューサーさーん……っ,Producer-saaan...
0000000000000,プロデューサー,"だ、大丈夫だ……
大丈夫だけど────","I-I'm getting there...
But────"
3012010010190,樹里,そ、そんなスゲーものなのかよ……,"W-Woah, it's that big of a deal, huh..."
3012010010200,凛世,"本物ならば……
はい……","If it is authentic...
Yes..."
3012010010210,智代子,"紙も古いし……？
コピーしました、って感じではないよね……！","The paper is really old too, so it doesn't seem like
a copy...!"
3012010010220,夏葉,"いい着眼点よ
あとは、これが絵師のいつの作品なのか────","Good catch. Now we just need to figure out when
this was painted────"
0000000000000,プロデューサー,"……そっ、その……
お宝っていうのはっ…………",...W-What do you mean... by treasure...
3012010010230,果穂,"……っ
……はぁっ……",...huff...huff...
3012010010240,果穂,"すっ、水ぼく画って……っ
スゴいやつ……なんですっ",I-It's a... pretty... ink painting...
3012010010250,樹里,"『刻印の欠け方や、かすれ具合、
筆の勢いなども重要なポイント』────","""Some biggest indicators are how faded the seal is
and how much force was in the brushstrokes.""───"
3012010010260,智代子,"凛世ちゃんも夏葉ちゃんも、
そういうのまでわかっちゃうの……！？","Rinze-chan, Natsuha-chan,
Don't tell me you're that good at sleuthing...!?"
3012010010270,凛世,"いえ……
そこまでは……","No...
I did not know about that..."
3012010010280,夏葉,"ええ
有名な作家で、落款に見覚えがあっただけよ","Yeah. It's simply because I recognized the signature
of this famous artist."
3012010010290,凛世,はい……,Yes...
3012010010300,凛世,"ですが……
もし……本物でなくても────",However... even if it turns out to be a copy────
3012010010310,果穂,"……でっ、でもっ……
もし……本物じゃなくっても……",...b-but... we don't know if... it's the real thing...
0000000000000,プロデューサー,……えっ？,...Eh?
3012010010320,果穂,"レプリカ……？　でも……っ
貴重なものだったり……するって……っ","Maybe it's a replica...?
But... it should be valuable...regardless..."
3012010010330,果穂,言ってました……っ！,That's what I heard...!
3012010010340,智代子,"──あっ、そっか……！
本物じゃなくても────","──Ah, I see...!
Even if it's just a replica────"
3012010010341,智代子＆樹里,レプリカでも、高値……！,It's still worth a lot...!
3012010010350,凛世,"ふふっ……
きっと……","Fufu...
Surely..."
0000000000000,プロデューサー,"──よし、それじゃあ
これは一応、預かっていくな","──Okay, then.
I guess I'll just keep this for now."
3012010010360,凛世,"はい……
よろしく……お願いします……","Yes...
Thank you very much..."
3012010010370,樹里,"んじゃ、
みんなも気を付けて帰れよ","And that's all.
Get home safely, everyone."
3012010010380,果穂,"はいっ！
お疲れ様でしたっ","I will!
Thank you and good night!"
3012010010390,智代子,"お疲れ様ーっ
またねー！","Good night!
We'll see you again!"
3012010010400,夏葉,"ふふっ
お宝は大事に運ぶわ","Fufu.
We'll take good care of the treasure."
0000000000000,プロデューサー,"それじゃ、
樹里と凛世もありがとな","Well then.
Juri, Rinze, thank you."
3012010010410,樹里,"──ははっ
ほんとにそんな値段付くのかよ","──Haha.
I wonder if it's really worth that much."
3012010010420,凛世,"それは……
なんとも……",There is... no guarantee...
3012010010430,凛世,ですが……,It might even be...
3012010010440,凛世,"立派な……
虫取り網くらいは……",As valuable as... a nice bug-catching net...
3012010010450,樹里,ははっ、そっか！,"Haha, I bet!"
3012010010460,樹里,"や、でも本物だといいよな
さすがに虫取り網より、ちょっといい家電が欲しい","Still, it'd be nice if it's the real thing. I hope it's
worth a little more than a bug-catching net.
Like a good piece of home appliance, maybe."
3012010010470,凛世,"ふふっ……
はい……────","Fufu...
I agree...────"
0000000000000,プロデューサー,"──うーん……
まぁ、そうだよな……","──Hmm...
I guess that's the answer..."
0000000000000,プロデューサー,"……でも、
言えないよなぁ……！","...I probably won't tell them, though...!"
0000000000000,プロデューサー,"社長
例のやつなんですが────","President,
It's the painting I was telling you about────"
3012010010480,天井,────これは……,────This is...
0000000000000,プロデューサー,"その、鑑定に出してみても
かまわないでしょうか……？",Do you mind if I go get this appraised by an expert...?
3012010010490,天井,許可できんな,I can't approve that.
0000000000000,プロデューサー,"……な、なぜでしょう
それなりに文化的価値がある可能性も────","...W-Why not?
It could be something of cultural value────"
3012010010500,天井,私だ,It's mine.
0000000000000,プロデューサー,────え？,────eh?
3012010010510,天井,私が、描いたやつだ,I did the painting.
0000000000000,プロデューサー,社長が遊びで描いたやつだった、なんてさ……！,Can't believe the president just painted that for fun...!
0000000000000,プロデューサー,────,────
0000000000000,プロデューサー,"クリスマスケーキでも
買って行ってやるか……！",I should go buy a Christmas cake...!
info,produce_events/301201001.json,
Translator,Ruru,
