id,name,text,trans
produce_events1006005031,咲耶,私と関わる誰かに、笑顔になってもらいたい,I want anyone who crosses my path to smile.
produce_events1006005032,咲耶,"そうすればきっと、たくさんの人と繋がれるから
寂しさを感じる暇なんてなくなるから","That way, I'll be connected to so many people,
and there won't be any time to feel lonely."
produce_events1006005034,咲耶,────だから私は、望まれた姿の私でいたい,"────That's why I want to be the me they
expected me to be."
produce_events1006005036,咲耶,……でも,......And yet.
produce_events10060050311,スタッフ１,"ああ、いいよいいよ
咲耶ちゃんとはタイプ違うし！","Nah, you don't have to.
They're not your type anyway!"
produce_events10060050312,スタッフ１,"咲耶ちゃんはクール系で、あのふたりはワイワイ系だもん
咲耶ちゃんがあっちに混ざってたらびっくりしちゃう","You're more the cool type, while they're the kind 
you'd see partying. You'd just freak them out if 
you actually tried hanging out with them."
produce_events10060050313,スタッフ１,イメージとかもあるしねぇ,"You've gotta keep your image in mind too, you know."
produce_events10060050318,ファン２,絶対塩対応じゃん、咲耶様なんだから,"God, she's gotta be like a total ice queen!
I mean, she's Sakuya-sama!"
produce_events10060050319,ファン１,あ～……,Yeah～
produce_events10060050320,ファン１,"……でもそれはそれでイメージどおりで
あがらない？","...But like, isn't that exactly how you imagined her?"
produce_events10060050321,ファン２,まぁね,Pretty much.
produce_events10060050334,咲耶,（──────たくさんの人と繋がりたい）,(──────I want to connect with so many people.)
produce_events10060050335,咲耶,（…………今のままでは、それは……）,(...But with things the way they are now...)
produce_events10060050337,咲耶,（……かといって簡単に辞めてしまうのも）,(...It's not exactly easy to just quit.)
produce_events10060050338,咲耶,"（高校に入ってから今まで、
ずっとお仕事を頂いてきたのに…………──）","(I've been getting plenty of work ever since I
started high school too, so...──)"
produce_events10060050341,咲耶,…………,......
produce_events10060050349,咲耶,………………お父さんとお母さんなら、どうする？,"...Mom, Dad, what would you do?"
produce_events10060050355,咲耶,…………,......
produce_events10060050359,咲耶の父,──お父さんはなぁ、すごく要領が悪くて,"──Your old man here's not really good at much
of anything."
produce_events10060050360,咲耶,……そうなの？,...Really?
produce_events10060050361,咲耶の父,"そうだよ、咲耶も見てたらわかるだろ？
お父さんが色々スマートじゃないの","Really. You've seen me in action, you know.
Dad's not exactly the brightest bulb when it 
comes to pretty much anything."
produce_events10060050362,咲耶,……そうかなぁ……,...You sure...?
produce_events10060050363,咲耶の父,ははっ、咲耶は優しいなぁ,"Haha, you're too kind, Sakuya."
produce_events10060050366,咲耶の父,……まぁ、だから,"...Now, as I was saying."
produce_events10060050367,咲耶の父,"せめて、一度決めたことは
絶対にやり遂げようって思ってたんだ","At the very least, I figured I could see things
through once I'd set my mind to them."
produce_events10060050372,咲耶,……,......
produce_events10060050377,咲耶の父,"要領が悪い分を頑張りでカバーしよう！ ってことだな
……でも","Like ""I'll make up for what I'm bad at through
hard work and effort!"" and stuff.
...But then."
produce_events10060050378,咲耶の父,その頑張り方も要領が悪かった！,Turns out I was bad at that too!
produce_events10060050379,咲耶,……,......
produce_events10060050380,咲耶の父,"ギリギリまで無理しようとしたことが何度かあって──
その時に、お母さんに止められたんだ","There were a few times I'd push myself
right to the brink──
And then Mom would be there to stop me."
produce_events10060050381,咲耶,お母さんに,Mom?
produce_events10060050382,咲耶の父,"そう
お父さんはお母さんに救われたんだよ","Yup.
Mom saved your old man here."
produce_events10060050383,咲耶の父,"『キミが存外真面目で頑固なのはわかった
だからとっておきのおまじないを教えてあげよう』","""I know you're surprisingly serious, and stubborn
at that, so I've got some magic words here,
just for you."""
produce_events10060050386,咲耶,"『決めたことはやり遂げると言うのなら──
やらない、と今決め直してしまえばいい』","""When you say you'll see something through
once you've set your mind on it──
You can always change your mind."""
produce_events10060050387,咲耶,"『そうすれば、ほら
今からキミは大手を振って休むことができる』","""And then, would you look at that,
now you can rest easy."""
produce_events10060050389,咲耶,……,......
produce_events10060050390,咲耶,"…………今この話を思い出すのは
自分に甘すぎる、かな……？","...Am I being too soft on myself,
reminiscing over this now...?"
produce_events10060050392,咲耶,…………どうだろう……？,...I wonder...
produce_events10060050397,咲耶,……？,......?
produce_events10060050398,咲耶の父,うーん、咲耶にはまだわからないか……,"Hmm, you might not get it now, Sakuya..."
produce_events10060050399,咲耶の父,"──でも、わかるようになった時こそ、
咲耶にこの言葉が必要なんだと思うから、覚えていてほしい","──But when you eventually do get it, 
I think these words are what you'll need to hear,
so I want you to remember them."
produce_events100600503101,咲耶の父,"咲耶はお父さんの子だから、
やると決めたら一直線になると思う","You're my daughter, Sakuya, so I know once you've
set your sights on something, you'll run straight
toward it."
produce_events100600503102,咲耶の父,"そして一度始めたら、責任感とか罪悪感で
『やめる』という選択肢が見えなくなることもあると思う","And once you start, you'll be so burdened by a
sense of responsibility and guilt that you'll never
realize quitting's a valid option too."
produce_events100600503103,咲耶の父,"……でも、いいんだよ
咲耶が真剣に考えて出した結論なら、やめたっていいんだ","...But, it's okay to.
If you've given it serious consideration, quitting
is a perfectly fine conclusion to come to."
produce_events100600503104,咲耶の父,"投げ出して無責任、じゃなくて
新しい一歩に責任を持ったって思っていい","I like to think of it as being responsible and taking a
new step forward, rather than being irresponsible
and throwing something away."
produce_events100600503105,咲耶の父,これは、お母さんがくれたおまじない,Those are the magic words your mom gave me.
produce_events100600503106,咲耶,…………,......
