id,name,text,trans
0000000000000,プロデューサー,"『W.I.N.G.』の第１審査、無事に通過した
おめでとう、咲耶！","You've passed the first stage of W.I.N.G.!
Congratulations, Sakuya!"
7006001010010,咲耶,うん、そうだと思っていたよ,"Mm, I thought I would."
0000000000000,プロデューサー,"（ん？　嬉しそうではあるが
あまり驚いてないな……）","(Huh? She seems happy, but not that surprised...)"
0000000000000,プロデューサー,"そうだと思っていた、か
自信があったんだな？","You thought you would... 
Did you feel confident about it?"
7006001010020,咲耶,私なりに手応えはあったよ,I had to answer the challenge.
7006001010030,咲耶,"審査を通過できるだろうと
自信を持って思える程度にはね","And that meant I was confident enough to think I 
could pass the first round, yes."
7006001010040,咲耶,"そう思えたのは、
プロデューサーがいてくれたおかげかな","And that might be because of you, Producer."
0000000000000,プロデューサー,俺が？,Me?
7006001010050,咲耶,"写真撮影の時にも
アドバイスをしてくれたからね","Like the time you gave me advice during that 
photoshoot."
7006001010060,咲耶,あの時はおかげでいい撮影ができたよ,"It turned out great, because you helped me out."
7006001010070,咲耶,"プロデューサーがサポートしてくれたおかげで
私は自分の力を引き出せたんだ","With your support, Producer, I feel like I can draw 
out more of my own strength."
0000000000000,プロデューサー,"そうなのか。俺はプロデューサーとして
咲耶の力になれているなら嬉しいよ","Oh really? As your producer, Sakuya, knowing I can 
help do that makes me really happy!"
7006001010080,咲耶,うん、いつも力になってくれてる,Yeah. You've already done more than that.
7006001010090,咲耶,"まだまだ先は長い
これからもサポートをお願いするよ","The road ahead is long. I'm counting on your support 
for it."
7006001010100,咲耶,それで、もっと多くの人を笑顔にしよう,"And then, I can make even more people smile!"
0000000000000,プロデューサー,"その意気だ
この調子で、ふたりでがんばろうな","That's the spirit! We'll keep working that hard, 
together!"
7006001010110,咲耶,"ああ
みんなに笑顔を届けていこう","Mhm.
Let's go, so we can put a smile on everyone's face."
0000000000000,プロデューサー,"その様子なら安心だ
期待しているぞ、咲耶","I know I can trust you. I've got high hopes for you, 
Sakuya."
7006001010120,咲耶,"プロデューサーの期待か
ぜひとも応えたいね","And I'll do my best to meet them, Producer."
7006001010130,咲耶,"それじゃあ
さっそく次を目指してレッスンするよ","Well, then! I'm ready for my next lesson!"
info,produce_events/700600101.json,
Translator,,
