id,name,text,trans
0000000000000,プロデューサー,"すまん、咲耶
待たせちゃったな","Sorry, Sakuya.
I know I've kept you waiting."
2006008040010,咲耶,"いや、こちらこそすまないね
急に誘ってしまって……","Nay, it is I who should be sorry.
My invitation was far too sudden..."
0000000000000,プロデューサー,"いや、俺は大丈夫だ
──お、その浴衣、撮影の時に買い取ったやつか","No, I'm fine, I'm fine.
──Oh, that yukata, that's the one you bought
for the photoshoot, isn't it?"
2006008040020,咲耶,フフ、やはりすぐ気付いてくれたね,"Fufu, I knew you'd recognize it right away."
2006008040030,咲耶,"着付け方は自分で調べた簡単なものなのだけど……
どうかな？　おかしいところはないだろうか？","I looked up how to put it on by myself, it wound up
being quite simple, really... What do you think?
Does anything seem out of place?"
0000000000000,プロデューサー,"いや、ちゃんと着こなせていると思うぞ
さすが咲耶だな","No, it looks just right to me.
As incredible as ever, Sakuya."
2006008040040,咲耶,"フフ……よかった
アナタの御墨付きなら安心だ","Fufu... Excellent.
Your seal of approval puts my mind at ease."
2006008040050,咲耶,"さあ、早速会場へ向かおうか
そろそろ行かないと、間に合わなくなってしまうからね","Now then, let us be off to the place with haste.
If we don't leave soon, we'll never make it in time."
0000000000000,プロデューサー,咲耶、歩きにくくないか？,"Isn't it tough to walk in that, Sakuya?"
2006008040060,咲耶,"ああ、大丈夫だよ。前の撮影の時、
スタイリストさんに楽な歩き方を教わっていてね","Oh, I'll be fine. During a previous shoot, my stylist
taught me how to walk comfortably."
2006008040070,咲耶,けど、この調子では──……,But at this rate──...
2006008040080,咲耶,おっと……,Oh...
0000000000000,プロデューサー,大丈夫か？,Are you okay?
2006008040090,咲耶,"ああ、ぶつかってないよ
フフ、あんなに走って……子どもは元気だね","Yeah, I didn't crash into her.
Fufu, look at her run...
Kids are so energetic, aren't they?"
2006008040100,咲耶,"まるで羽が生えているみたいに軽やかで
どこへでも駆けていけそうだ","So light and carefree, as if they had wings, able to
run wherever they please."
0000000000000,プロデューサー,はは、花火もそろそろ始まるからだろうな,"Haha, probably because the fireworks are about
to start any minute now."
0000000000000,プロデューサー,"しかしあの子、
急ぎ過ぎて、転んで怪我でもしなきゃいいけど……","Still, I wouldn't want anyone falling down and
getting hurt in their haste..."
2006008040110,咲耶,"クス。アナタが心配してくれるなら、きっと大丈夫だよ
それに── ……","Heh. If it's me you're worried about, I'll be fine.
Besides──......"
2006008040130,咲耶,…………,......
0000000000000,プロデューサー,……はは、始まっちゃったな,"...Haha, they've started."
2006008040140,咲耶,"あ、と……
すまない、私の歩きに合わせてもらっていたから……","Oh, and...
My apologies, for making you match my pace..."
0000000000000,プロデューサー,"そんなことないさ
ここから見る花火も、風情があると思わないか？","Don't worry about it. Fireworks viewed from here 
have a charm all their own, wouldn't you say?"
0000000000000,プロデューサー,ここから見られたのは、咲耶のおかげだ,And it's thanks to you that we can see them here.
2006008040150,咲耶,アナタは……,You're...
2006008040160,咲耶,……ああ、そうだね,"...Yeah, you're right."
2006008040170,咲耶,…………,......
2006008040180,咲耶,"……こうやって歩いてみてわかったのだけれど
やはり、浴衣は歩きにくいもので──","...After walking around here, I've come to realize
that yukata are still challenging to walk in──"
2006008040190,咲耶,ああ、そうか……,"Oh, right..."
2006008040200,咲耶,だから、だったんだね……,That reminds me...
0000000000000,プロデューサー,どうした？,What's on your mind?
