id,name,text,trans
0000000000000,プロデューサー,（──ん？　あれ……）,(──Hm? Huh...?)
0000000000000,プロデューサー,"（やっぱりコウモリだ
……可愛くできてるなぁ）","(It's a bat, huh?
...They made it look made pretty cute.)"
0000000000000,プロデューサー,"（……これ、なんだろ……
キーホルダー……じゃないか、つけるとこついてないし）","(How do you use it though...? Maybe as a keyholder...
Or not. I don't see anywhere you could attach to.)"
0000000000000,プロデューサー,（……置き物……かな……）,(...A table ornament...maybe...?)
0000000000000,プロデューサー,（…………──よし！）,(......──Okay!)
0000000000000,プロデューサー,"店員さん、すみません！
これ、プレゼント用に──","Excuse me!
I'd like to purchase this as a gift──"
2006011020010,咲耶,──……これは……！,──...This is...!
0000000000000,プロデューサー,"コウモリの置き物なんだ
出先で見つけてさ、可愛かったから","A bat-shaped table ornament.
I spotted it along the way, and it looked cute."
0000000000000,プロデューサー,"咲耶は今度吸血鬼になるわけだし
こういうのがあったら気分も盛り上がるかなぁって……","Since you're playing a vampire, I thought maybe
something like this would get you in the mood..."
0000000000000,プロデューサー,"……いや、はは
可愛いから衝動で買っちゃったって方が近いな","...Well... Haha, not exactly.
It's more like I bought it on a whim because it was
too cute."
0000000000000,プロデューサー,持っててもらえたらって思って──……,I was hoping that you could have it──...
2006011020020,咲耶,プロデューサー……,Producer...
2006011020030,咲耶,"ありがとう
──それから、見てほしいものがあるんだ","Thanks.
──Also, I have something to show you too."
0000000000000,プロデューサー,え……？,Huh...?
2006011020040,咲耶,ほら,Here.
0000000000000,プロデューサー,"──え
それ……","──Uh...
Wait a second..."
2006011020050,咲耶,"ああ。同じ置き物だよ
私も見つけていたんだ","Yeah. It's the same table ornament.
I happened to see it too."
2006011020060,咲耶,"もしも私が吸血鬼だったら──
この子のような可愛らしい眷属を持ちたい、なんて","I was thinking that if I were to play a vampire──
I could keep this cute creature as an underling...
Or something."
2006011020070,咲耶,"目が合ったらお迎えしてしまっていてね
……衝動買い、というやつかな","Once I set my eyes on it, I ended up purchasing
it too... I guess you'd call it ""impulse buying""."
2006011020080,咲耶,アナタとおそろいだ,The same as you.
0000000000000,プロデューサー,"はは……！
そっか、おそろいか……！","Haha...!
I see, you're right...!"
0000000000000,プロデューサー,買い方まで似ちゃってるとはな,Even our reasons for buying it are the same.
2006011020090,咲耶,フフ、本当に,"Hehe, indeed."
0000000000000,プロデューサー,"そしたら、俺からのは引き取った方がいいか？
同じの２個あっても困るだろうし……","Is it better if I keep mine then?
Having two of the same thing might be a bit
pointless for you..."
2006011020100,咲耶,いや、待ってくれ,"Ah, wait for a second..."
2006011020110,咲耶,"……ねぇ、プロデューサー
よかったら、なのだけれど……","...Hey, Producer.
If it's fine with you...."
2006011020120,咲耶,"アナタが買ったものと、私が買ったもの……
交換、してくれないかな？","Do you want to exchange?
The one I bought, and the one you bought...?"
select,,喜んで,I'd happily.
select,,いいのか？,"Is that
okay?"
select,,おう！,Sure!
0000000000000,プロデューサー,"……というか
咲耶がいいならこっちからお願いしたいくらいだよ","...Actually,
I wanted you to have in the first place."
2006011020130,咲耶,本当かい？,Really?
0000000000000,プロデューサー,"ああ
だって、咲耶のために買ったんだ","Yeah.
I did originally buy this for you, after all."
0000000000000,プロデューサー,咲耶に持っててもらえた方が、嬉しい,So it'd make me happy if you do end up keeping it.
2006011020140,咲耶,"フフ
そんなふうに言ってもらえるなら、私も嬉しい","Hehe.
It makes me happy to hear that too."
2006011020150,咲耶,──それじゃあ、交換だ,"──Well then, it's decided."
2006011020160,咲耶,可愛がってあげてくれ,Please take good care of him!
2006011020170,咲耶,"もちろん
私の方に問題はないよ、だからこその提案だ","Of course.
I have no issues with it, which why I gave the idea."
2006011020180,咲耶,判断はアナタに任せよう,I'll leave the decision up to you.
0000000000000,プロデューサー,"はは
じゃあ──お取引き、よろしくお願いします","Haha.
Well──I'll happily exchange then."
2006011020190,咲耶,"こちらこそ
よろしくお願いします",Likewise. Let's exchange.
2006011020200,咲耶,"……ちなみにこの子のチャームポイントは、
他の子よりも少しすっきりした目元なんだ","...By the way, this little guy's charm point is his
slightly more refined expression than the others."
0000000000000,プロデューサー,"おっ、なるほど
俺の子は──羽根の形がいいなと思うんだ！","Oh, I see.
My little guy right here──I'd say the shape of his
wings are unmistakable!"
0000000000000,プロデューサー,"大事にするよ
──そうだなぁ、デスクに置くか……！","I'll keep good care of it.
Oh, maybe I'll put it on top of my desk...!"
2006011020210,咲耶,"おや
それでは、この子もアナタの仕事のパートナーになるのかな","Oh my.
Perhaps that makes him your work partner."
0000000000000,プロデューサー,"ああ
疲れなんか吹っ飛ばしてくれそうだろ？","Yeah.
It feels like he'd blow away my fatigue, you know?"
2006011020220,咲耶,"フフ、確かに
とても愛らしいからね","Hehe, indeed.
His adorableness must hold that kind of power."
2006011020230,咲耶,"でも、だとするなら……
妬けてしまうな","But, if that happens...
I'll be left quite jealous."
0000000000000,プロデューサー,うん？,Hm?
2006011020240,咲耶,"アナタの一番のパートナーの座には……
私だけが座っていたいところだからね","I want to be the one to take the position as your
number one partner, after all."
info,produce_events/200601102.json,
Translator,nkei,
