id,name,text,trans
0000000000000,プロデューサー,摩美々！　お疲れ様,"Nicely done, Mamimi!"
0000000000000,プロデューサー,"最後の目を伏せたポーズとか、
夜の雰囲気と合っててよかったぞ","The way you posed and lowered your gaze at the
end fits the nighttime mood really well."
5002002040010,摩美々,"……別に
ただ眠くなってきただけですよー","...Nothing special.
I'm just soooo sleeeepy..."
0000000000000,プロデューサー,"はは、じゃあそういうことにしておくか
何か飲むか？","Haha, then I'll just leave it at that.
Want something to drink?"
5002002040020,摩美々,"んー……メロンソーダ
上にソフトクリームが乗ったやつでー","Hmm... Melon soda.
The kind with soft-serve ice cream on top──"
0000000000000,プロデューサー,"それは山奥では難しい注文だな……
オレンジジュースでいいか？","That might be tough way out here in the mountains...
How about some orange juice instead?"
5002002040030,摩美々,んー,Sure...
0000000000000,プロデューサー,"摩美々、恋鐘、霧子……
ここまでの撮影は順調だ","Alright, that's Mamimi, Kogane, and Kiriko done...
The shoot's been going smoothly."
0000000000000,プロデューサー,"明日からはアンティーカ全員の撮影になる
咲耶と結華も夕方には到着するから","Starting tomorrow, we'll have all of L'Antica here.
Sakuya and Yuika should be arriving this evening."
5002002040040,摩美々,"はぁい
……そういえば","Got it...
...........By the way..."
5002002040050,摩美々,……………,......
5002002040060,摩美々,……やっぱりなんでもー,".....Nah, it's nothing, really."
0000000000000,プロデューサー,ん？　なんだ気になるじゃないか,Hmm? Is there anything bothering you?
5002002040070,摩美々,……んー……,Hmm...
5002002040080,摩美々,"この間、咲耶とプロデューサーが
廊下で話してるの、聞いちゃったんですよねー","So I overheard you and Sakuya talking
in the hallway the other day..."
0000000000000,プロデューサー,"この間…………
！　ああ、事務所の廊下の……あの時か","The other day... ? 
!!! Oh, you mean back in the office hallway...!"
5002002040090,摩美々,"……でもプロデューサーと話したんだから、
もう解決済みかなって……","...I wanted to bring that up, but I figured it's already
settled since you've talked to her last."
5002002040100,摩美々,なので、別になんでもないですー,"So, it's nothing, really."
0000000000000,プロデューサー,"……
そうか…………",...Is that so...
5002002040110,摩美々,"……違うんで
そういうつもりじゃないんでー","...That's not what I meant.
I didn't mean to say it like that..."
5002002040120,摩美々,"プライベートな話に
踏み込んだりしませんからぁ","I just don't want to pry into a private
conversation..."
0000000000000,プロデューサー,…………,......
0000000000000,プロデューサー,"うん……そうだな
確かに、俺から言うことじゃない","Yeah... That's fair.
It's certainly not up to me to share..."
0000000000000,プロデューサー,"もしなにか気になるようだったら、
摩美々から話を聞いてやってくれ","But if it bothers you, I think it's good if you
ask her about it."
5002002040130,摩美々,"……そういうのは
プロデューサーの方がいいと思いますケドー","That's the thing, though...
I think it's better if you're the one—"
0000000000000,プロデューサー,ああ！　もちろん俺も聞くさ,Aah! Of course I've spoke to her!
0000000000000,プロデューサー,"だけど、今の咲耶には、
摩美々やみんなの力も必要なんだと思う","However, I think what Sakuya also needs 
right now is support from you and everyone else."
5002002040140,摩美々,…………,......
