id,name,text,trans
0000000000000,プロデューサー,"……来たか！
どんどん焼いていくからな、沢山食べてくれ！","...You made it! I'm cooking up a ton of stuff, so please
take as much as you want!"
4901300300010,甜花,"え……
プロデューサーさん、どうしたの……","Huh......
What's going on... Producer-san......?"
0000000000000,プロデューサー,"ん？　ホワイトデーだ
甜花にベビーカステラを食べてもらおうと思って","Hm? It's White Day. I thought you might appreciate
some sponge cakes."
4901300300020,甜花,"ありがと、だけど……
なんで……？",Thanks... but...... Why......?
0000000000000,プロデューサー,──お、できたぞ,"Oh, they're finished."
4901300300030,甜花,"あ……
デビ太郎……！","Oh......
Debitaro......!"
0000000000000,プロデューサー,"せっかくだから
焼き立てのうちにどうぞ","I worked hard on them, so eat up while they're still
hot."
4901300300040,甜花,い、いただきます……！,Th-Thanks for the food......!
4901300300050,甜花,"はふ……
これ、クリーム入り……！","*monch*......
This one... has cream inside......!"
0000000000000,プロデューサー,"食べるまで何味かはお楽しみだ
次はどのデビ太郎にしようか？","It's a mystery what's inside each of them.
I wonder which Debitaro you'll choose next?"
info,special_communications/490130030.json,
Translator,kotonekotoP,
