id,name,text,trans
6015003100010,甜花,……………,...............
0000000000000,プロデューサー,甜花、お疲れ様,"Good work, Tenka."
6015003100020,甜花,プロデューサーさん……,Producer-san......
6015003100030,甜花,"ごめんなさい……
甜花、ダメだった……",Sorry...... Tenka... wasn't good enough......
0000000000000,プロデューサー,甜花、謝る必要なんて──……,"Tenka, you don't have to apolo──..."
6015003100040,甜花,ごめんなさい……,Sorry......
6015003100050,甜花,……………………,........................
6015003100060,甜花,"甜花、ダメだったのに……
……頑張れたの……ここまで、これたの……嬉しいって……","Even though... Tenka wasn't good enough...... she was
able to work hard... she made it this far... and she was
so happy......"
6015003100070,甜花,"ダメ、だったのに……
ごめんなさい……",Even if... she wasn't good enough...... sorry......
0000000000000,プロデューサー,"……いいんだよ
──お疲れ様、甜花","......It's okay. I'm proud of you, Tenka."
info,produce_events/601500310.json,
Translator,,
