id,name,text,trans
6015003060010,甜花,…………だめだった…………,............Tenka couldn't do it............
0000000000000,プロデューサー,"甜花……
あんまり、落ち込むことは……",Tenka... It's not something to get so...
6015003060020,甜花,プロデューサーさん……,Producer-san......
6015003060030,甜花,"……ううん、甜花……
大丈夫…………",......Nevermind... Tenka's...... okay............
6015003060040,甜花,…………にへへ,............Nihehe
0000000000000,プロデューサー,甜花……？,Tenka......?
6015003060050,甜花,"あ、あのね……
甜花……オーディション……ダメ、だったけど……","Y-You know...... Tenka...... couldn't... get the audition...
but......"
6015003060060,甜花,"でも…………
まだ、甜花……終わってないから…………",But............ Tenka... isn't done yet............
6015003060070,甜花,"まだ、終わってなくて……また、ダメなことあっても……
いっぱい……コンティニュー……できる……","It's not over...... Even if... she still has problems......
She can... press continue... a lot more......"
6015003060080,甜花,甜花が……諦めなきゃ……！,Tenka...... can't give up......!
0000000000000,プロデューサー,"……ああ、そうだ！
これからいっぱいチャンスはあるんだ！","......Yeah, that's right! You have a ton of chances from
now on!"
6015003060090,甜花,"うん……いっぱい……
……にへへ……","Yeah...... a ton......
......Nihehe......"
info,produce_events/601500306.json,
Translator,kotonekotoP,
