id,name,text,trans
1015001000610010,甜花,"プロデューサーさん……
……おはよう……","Good morning......
Producer-san......"
0000000000000,プロデューサー,ああ、おはよう甜花,"Oh, good morning Tenka."
1015001000610020,甜花,"あの……プロデューサーさん……
ソファー、使ってもいい……？","Umm... Producer...
Can Tenka use the sofa?"
0000000000000,プロデューサー,"（いきなりどうしたんだろう
心なしか、眠そうな気もするけど……）","(I wonder what's happened with her so suddenly.
It seems like she's pretty sleepy...)"
select,,風邪をひかないようにな,Don't catch a cold.
select,,眠そうだな,You seem sleepy.
select,,"予定があることも
忘れずに","Don't forget about
your schedule"
1015001000610030,甜花,"ありがとう……気を付けるね……
プロデューサーさん……優しい……にへへ","Thank you...... Tenka will be careful......
You're so nice... Producer-san...... Nihehe."
1015001000610040,甜花,"あ、でも出かけるときには……
……起こしてくれると……嬉しいかも……","Ah, but before you leave...
Tenka would be happy... if you could wake her up......"
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1015001000610050,甜花,"う、うん……お天気、いいから……
眠くなっちゃって……","Y-yeah... The weather is... nice today, so......
It's making Tenka really sleepy..."
1015001000610060,甜花,でも……もうちょっと……頑張ってみるね……,But...... Tenka will...... put in a little more effort......
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1015001000610070,甜花,"あうう……そ、そうだったね……
じゃあ、我慢しないと、だよね……","Auu... Y-You're right......
So then... looks like... Tenka will have to wait......"
1015001000610080,甜花,"お昼寝しないで、頑張る……
頑張らなきゃ、だめ……","She should work hard... without taking a nap......
She needs to... work hard......"
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah… I should've said something else instead…)
info,produce_communications/101500100061.json,
Translator,,
