id,name,text,trans
1015005020010,甜花,起きる、食べる、学校,"Wake up, eat, go to school."
1015005020020,甜花,──進路希望調査票……,──Future Goals Questionnaire...
0000000000000,教師,全員に渡ったかー？,Did everyone get oneー?
0000000000000,教師,"えー、その調査票
提出の締め切りは──","Umー The deadline
for that questionnaire is──"
1015005020030,甜花,"………！
クリア……！",".........!
Clear......!"
1015005020040,甜花,にへへ……,Nihehe......
1015005020050,甜花,……ふぁ……──,......Hah......──
1015005020060,甜花,起きる、食べる、ゲーム、寝る,"Wake up, eat, play games, sleep."
1015005020070,甜花,食べる、ゲーム、寝る,"Eat, play games, sleep."
0000000000000,教師,"今返却したテストですが
30点以下は赤点となります","I'll be returning your tests now,
but anything below 30 points is a failing grade."
0000000000000,教師,"かつ、赤点の人には週明けまでで
課題が出されますので、しっかりと取り組むように","Anyone who gets a failing grade will
have homework to complete by the start of next week."
1015005020080,甜花,…………あぅ……,......Auu............
1015005020090,甜花,……あ……,......Ugh......
1015005020100,甜花,（だめだった……）,(Didn't get it......)
1015005020110,甜花,"（このステージ……
難しい……）","(This stage......
is so difficult......)"
1015005020120,甜花,…………,......
1015005020130,甜花,……寝よ……,......Time to sleep......
1015005020140,甜花,落ち込むこと、いっぱいあるけど,There's lots of depressing things.
1015005020150,甜花,お休みの日、あれば回復,"But, days off are for recovery."
1015005020160,甜花,"──はぁ、はぁ……
……ひぃ……っ……","──Hah... Hah......
......Hih......Ngh......"
0000000000000,体育教師,"大崎ー！
ひとりだけ周回遅れだぞー！","Osaki!
You're the only one that fell behind!"
0000000000000,クラスメイト１,"あ、ほんとだー
大崎さーん、頑張れー","Oh, he's right.
Do your best, Osaki-san!"
0000000000000,クラスメイト２,……頑張れぇ,......Hang in there...
1015005020170,甜花,"……はぁ……
…………ひぃっ……","......Hah......
............Hih......"
1015005020180,甜花,…………あうぅ……,......Auu............
1015005020190,甜花,起きる、食べる、ゲーム、寝る,"Wake up, eat, play games, sleep."
1015005020200,甜花,食べる、ゲーム、寝る,"Eat, play games... sleep."
0000000000000,教師,進路希望調査票、金曜までに出しておくように,"You have until Friday to turn in your future goals
questionnaire."
0000000000000,教師,"どうしても記入が難しい人は
進路担当の先生に相談を──","Those who have trouble filling it out
should contact their academic──"
0000000000000,大崎家の母,──進路希望調査票……？,──Future Goals Questionnaire......?
1015005020210,甘奈,うん……！,Mhmm......!
0000000000000,大崎家の母,"そっかぁ、２年生でももう
進路のこと、考えなきゃなのね","Right, even second-years have
to give their future some thought."
0000000000000,大崎家の母,"とりあえず、書き終わったら
提出する前に一度見せてね？","Well, whenever you're done,
let me take a look before you turn it in."
1015005020211,甘奈＆甜花,はーい,Okay.
1015005020220,甜花,…………,......
1015005020230,甜花,"なーちゃん……
調査票、もう書いた……？","Naa-chan......
Have you already written yours......?"
1015005020240,甘奈,ううん、まだ……,"No, I......"
1015005020250,甜花,"……！
……だ──","......!
.......Then──"
1015005020260,甘奈,"──まだ、すぐ受験ってわけじゃないし
決めなくてもいいってわかってるんだけど","──I'm not planning on taking entrance exams,
so I don't have to decide yet."
1015005020270,甘奈,"第一志望にしたいところがふたつあって
迷ってるんだ～……","I've had two schools in mind but,
I'm still kind of lost～......"
1015005020280,甜花,……あ……,......Oh......
1015005020290,甜花,そ、そう……なんだ……,I...... see......
1015005020300,甜花,…………,...........
1015005020310,甘奈,甜花ちゃんはもう書けた？,"Have you already written yours, Tenka-chan?"
1015005020320,甜花,"──あ……
えと…………","──Oh......
Um............"
1015005020330,甜花,……甜花は、まだ……,"......Tenka, hasn't yet......"
1015005020340,甜花,まだ、何も…………,She hasn't... done anything yet............
info,produce_events/101500502.json,
Translator,@kotonekotoP,
