id,name,text,trans
0000000000000,プロデューサー,"（甜花に自信をつけられたらと、
学園ドラマのエキストラの仕事を取ってきたが……）","(To make Tenka more confident in herself,
we got her a role in a school drama as an extra, but...)"
1015001030010,甜花,えっと……あの……,Uh...... Ummm......
1015001030020,甜花,"あ、あ、えっと……
……お昼ご飯……えっと……？","Ummm...
Want to eat lunch... together...?"
0000000000000,プロデューサー,"（引っ込み思案なところが出ていて
あんまりうまく行ってないな）","(However, it seems she's struggling
due to her shyness.)"
1015001030030,甜花,……,......
0000000000000,プロデューサー,"お疲れ様
ひとりでの仕事をやってみて、どんな感じだ？","Good afternoon.
How does it feel to be working by yourself?"
1015001030040,甜花,"プロデューサーさん……
甜花……お芝居、ぜんぜん……できなかった……","Producer...
Tenka...... isn't able to...... do the play......"
0000000000000,プロデューサー,"そうか……まぁ、あと何シーンかあるから、
次はうまくいくといいな","I see... Well, there are few more scenes left.
Hopefully you'll do better with the next one."
1015001030050,甜花,うん……,Yeah......
0000000000000,プロデューサー,（うーん……ひとりで仕事をするには、少し早かったかな）,"(Hmm... When she's working by herself, it's a bit
faster than usual.)"
1015001030060,甜花,"……プロデューサーさん……
甜花、アイドル向いてないの、かな……","Producer-san......
Tenka wonders if she wasn't meant... to be an idol......"
0000000000000,プロデューサー,"そんなことないよ。
どうしたんだ、急に？","That's not true at all.
What's making you say that so suddenly?"
1015001030070,甜花,甜花……みんなにいっぱい、迷惑かけてる……,Tenka...... Is making things so hard... for everyone else......
0000000000000,プロデューサー,"甜花はまだ、変わり始めたところだろう
もうちょっと頑張ってみないか？","You've just started, so your change has only just
begun. Why not try doing your best just a little
bit more?"
1015001030080,甜花,"なーちゃんたちや、プロデューサーさんは……
甜花のこと、励ましてくれるけど……","Naa-chan, Producer, and everyone else...
Always cheer Tenka up, but......"
1015001030090,甜花,"なんで、甜花のこと……
応援してくれるか……わかんない……","She... doesn't understand why......
you all keep...... supporting her......"
1015001030100,甜花,甜花……いつも失敗しちゃうのに……,Even though...... she always messes up......
0000000000000,プロデューサー,みんな、甜花のことが好きだからな,It's because we all love you.
1015001030110,甜花,お仕事して……迷惑かけちゃっても……？,"Even if she's... being troublesome at work, too...?"
0000000000000,プロデューサー,"迷惑になんか思ってないさ
失敗しても、その分以上に頑張ってくれるしな","I don't think you're being troublesome at work.
Even when you fail, you bounce back and work even
harder."
1015001030120,甜花,甜花も、頑張りたい……けど……,She... wants to do her best...... but......
1015001030130,甜花,"やっぱり、なんにもできない……
みんなを、いっぱい困らせちゃう……","Tenka knows that...... she can't do anything right......
She just causes issues for everyone......"
1015001030140,甜花,"アイドルって……みんな、すごいのに……
甜花は全然……","All of the other idols...... are so amazing......
While Tenka isn't at all......"
1015001030150,甜花,やっぱり、甜花にアイドルなんて……無理……,"Tenka knew it, being an idol...... is impossible......"
0000000000000,プロデューサー,"（甜花は自信を失くしてるな……
何か声をかけてやらないと）","(I didn't realize Tenka was losing her confidence...
I have to say something to her.)"
select,,"甜花は磨けば
光る子なんだ","If you keeps
polishing yourself
you'll shine bright."
select,,"「何もできない」は
嘘だな","""Impossible""
is a lie, isn't it?"
select,,"困らせたって
いいじゃないか","It's fine to
trouble others"
1015001030160,甜花,"そんなことない……
甜花……頑張っても、いいところなんて……","That's not true...
Tenka...... works so hard...... and she still......"
0000000000000,プロデューサー,"今はまだ、できないことがたくさんあるかもしれないけど、
甜花には甜花だけの魅力があるんだ","Until now, there were a lot of things you couldn't
do yet, but you've got your own charm too."
0000000000000,プロデューサー,そのことは、甜花をアイドルにした俺が保証するよ,"And because of that, I can assure you that you are
an idol."
0000000000000,プロデューサー,"それに、ずっと甜花を見てきた甘奈に聞いてみても、
同じことを言うと思うぞ","Besides, if you asked Amana since she always looks
after you, I'm sure she would say the same thing."
1015001030170,甜花,甜花だけの魅力……そんなの、あるのかな……,her own charm...... does she... really......?
