id,name,text,trans
0000000000000,プロデューサー,"甜花、いるか？
……おっ、ここにいたのか","Tenka, are you here?
...Oh, you are. "
7015001070010,甜花,ま……待ってた、よ……,S-She was... waiting......
7015001070020,甜花,"それで……その、プロデューサーさん……
け、結果は……？","So...... Umm, Producer-san...
How did she do......?"
0000000000000,プロデューサー,甜花のほうから聞いてくるなんて、珍しいな,"Wow, pretty rare to hear that coming from you."
7015001070030,甜花,"『W.I.N.G.』に、参加できるかなって……考えると……
き、緊張して……","Tenka was...... thinking about if she can be in ""W.I.N.G."".......
and she got pretty nervous......"
0000000000000,プロデューサー,"そうか
まぁ、気になるよな","I see.
Well, you're curious, right?"
0000000000000,プロデューサー,"それで結果はだな……
『W.I.N.G.』への参加が決定したよ","And the results are......
You will be participating in ""W.I.N.G.""."
7015001070040,甜花,え……本当……？,Huh......Really......?
0000000000000,プロデューサー,"本当だよ
おめでとう、甜花","Really.
Congratulations, Tenka."
7015001070050,甜花,"そっか……そう、なんだ……
もっと大きいステージに……立てるんだ……","She did...... that's right......
She's gonna... stand on an even bigger stage......"
7015001070060,甜花,やった……にへへ……,She did it...... Nihehe......
0000000000000,プロデューサー,"ああ
甜花の努力の成果だ","Yeah.
This is the result of all your effort."
7015001070070,甜花,ううん……,Not really......
7015001070080,甜花,"甜花が……ここまで来れたのは……
プロデューサーさんと、なーちゃんたちのおかげだから……","Tenka...... only got this far......
Because of you, and Naa-chan, and everyone else......"
0000000000000,プロデューサー,"甜花……
そんなことはな……","Tenka...
That's not tr......"
7015001070090,甜花,でもっ、ここからは……,"But, from now on......"
7015001070100,甜花,ここからは……誰かに助けてもらわなくても……,From now on...... Tenka thinks that......
7015001070110,甜花,"甜花が、自分で……
頑張らなきゃいけないって……思う……っ","She has to do her best......
without anyone elses help......"
0000000000000,プロデューサー,"……そうだな
甜花はもう、ひとりでも頑張れるようになってるもんな","...Sure.
You've already been working so hard all on your own."
7015001070120,甜花,"う、うん……それでね……プロデューサーさんには、
甜花が頑張ってるか……見ててほしくて……","Y-Yeah...... And then...... she wants...
you to see...... all of her hard work......"
7015001070130,甜花,"そうしたら……きっと……
何かがあっても、頑張れるから……","If you do, then...... no matter what happens......
she'll keep on working hard......"
0000000000000,プロデューサー,"うん。甜花が頑張る姿……
最後まで、傍で見てるよ","Yep. I've been watching you work hard,
ever since the very beginning."
7015001070140,甜花,"最後まで……
甜花が途中で失敗しちゃっても……だよね……？","Even if...... she fails a lot alot along the way......
please watch until the end......"
0000000000000,プロデューサー,ああ、もちろんだ,"Yeah, of course."
7015001070150,甜花,"にへへ……
約束、だよ……？","Nihehe...
That's a promise, okay...?"
info,produce_events/701500107.json,
Translator,,
