id,name,text,trans
6015001010010,甜花,"すぅー……はぁー……
すぅー……はぁー……","Phew… Haa…
Phew… Haa…"
0000000000000,プロデューサー,"甜花、大丈夫か……？
さっきからずっと深呼吸してるけど","Tenka, are you alright?
You've been taking deep breaths for a while now."
6015001010020,甜花,"え、えと……その……
へ、へ、平気……","Ummm… Well…
C-Calm…"
0000000000000,プロデューサー,"しっかり緊張してるじゃないか……
これまで人一倍レッスンをしてきた甜花なら、大丈夫だよ","I guess you're still nervous…
Tenka has done so many lessons before this, it'll be alright."
6015001010030,甜花,"は、はひ……
がんばりましゅ！","Y-Yesh…
Let's do our besht!"
6015001010040,甜花,"か、噛んじゃった……
あうう……","T-Tenka bit her tongue…
Ouch…"
0000000000000,プロデューサー,"……大舞台でプレッシャーがあるのはみんな一緒だ
だから、いつも通りにできればいいんだよ","…Everyone has the same pressure when they stand on such big stage.
That's why, it's okay to do things as usual."
0000000000000,プロデューサー,"甜花が積み重ねてきた努力は、
ここで裏切ったりしないさ","Tenka's accumulated efforts for all this time,
they definitely won't betray you."
6015001010050,甜花,"いつも通り……
うん、わかった……","As usual…
Okay, understood…"
6015001010060,甜花,"もう、大丈夫だと……思う……
い、行ってくるね……！","Now, Tenka's fine… Or so she thought…
T-Time to go!"
info,produce_events/601500101.json,
译者,,
