id,name,text,trans
4901007580010,甜花,アイマスク……！,An eyemask......!
0000000000000,プロデューサー,"ああ
移動の時とかにも、寝やすいかなと思ってな","Yeah. I felt like it might help you get some rest when
you're moving around."
4901007580020,甜花,"これがあれば……
どこでも……お昼寝、し放題……！","If Tenka has this... then she can... nap as much as she
wants... wherever she wants......!"
4901007580030,甜花,"さ、早速……………………………………
………………………………………………────","T-Tenka should..........................................
......................................................────"
4901007580040,甜花,…………はっ,............Hah!
4901007580041,甜花,……あう、いっぱい……寝ちゃった……,......Auu... Tenka slept... a ton......
0000000000000,プロデューサー,"はは、おはよう甜花
よく眠れたみたいだな","Haha, good morning Tenka. You slept quite a bit."
4901007580050,甜花,"うん……
にへへ……起きたら、プロデューサーさんが、いた……","Yeah......
Nihehe...... You were her... when Tenka woke up......"
info,special_communications/490100758.json,
Translator,kotonekotoP,
