id,name,text,trans
0000000000000,撮影スタッフ,"はーい
それではラストの衣装撮影、以上になりまーす！","That's a wrap!
That should be everything for the photoshoot!"
0000000000000,撮影スタッフ,"大崎さん
写真、よかったら画面でチェックしてください","Osaki-san, if you don't mind, could you take a look at
the pictures with us?"
2015015010010,甜花,"あ──
はい……！","Oh──
Okay......!"
2015015010020,甜花,"にへへ……
甜花、イケてる……","Nihehe......
Tenka... looks good......"
0000000000000,プロデューサー,"うん、本当に
甜花、イケてるな","Yeah, you really do look great, Tenka."
2015015010030,甜花,プロデューサーさん……！,Producer-san......!
2015015010040,甜花,だ……だよね……！,R...... Right......!?
2015015010050,甜花,"なんか……甜花じゃ……
ないみたい、だよね……！",It kinda... feels like...... Tenka... isn't Tenka......!
2015015010060,甜花,……にへへ……,......Nihehe......
0000000000000,プロデューサー,"ははっ
甜花、元気そうだな","Haha, you seem like you're in a good mood."
2015015010070,甜花,え……？,Huh......?
0000000000000,プロデューサー,"今日、着替えの回数も多かったからさ
もう疲れてへとへとなんじゃないかと思ったんだ","You've had to change your outfit a ton today so I
thought you'd be wiped out by now."
2015015010080,甜花,"あ……
へとへと、なのは……そうだよ……！！",Oh...... Well... Tenka... actually is... worn out.......!!
2015015010090,甜花,──……でも……,──......But......
2015015010100,甜花,"すっごく、いい写真……
撮ってもらったから……",They took... such amazing pictures... of Tenka......
2015015010110,甜花,"たくさんお着替えして、
頑張った甲斐……あったな、って思ってる……！","Tenka feels like... this is the result of... all of her
hard work... and changing a lot......!"
0000000000000,雑誌スタッフ,"──撮影お疲れ様でした～！
今日、いっぱい衣装着ていただいちゃってすみません……！","──Good work with the shoot～! I'm sorry for making
you wear so many different outfits today...!"
2015015010120,甜花,"にへへ……
へとへと、です……！","Nihehe......
Tenka's... super worn out......!"
0000000000000,プロデューサー,"はは、こちらこそたくさん
衣装を着させていただいて、ありがとうございました","Haha, thank you actually, for letting Tenka wear so
many outfits."
0000000000000,プロデューサー,"……今日の撮影のテーマって
ファンのみなさんに選んでもらったやつなんですよね？","...This was the shoot where the fans chose the
theme, right?"
0000000000000,雑誌スタッフ,"はい！　SNSでファンのみなさんに
アンケートを取りまして……",Yes! We ran a poll on social media for all of our fans...
0000000000000,雑誌スタッフ,"そこで選ばれたテーマが
『着せ替え人形の甜花ちゃん』だったんです","The theme that was chosen was, ""Dress-up Doll
Tenka-chan""."
2015015010130,甜花,"それ……
甜花も結果、見守ってました……！",Tenka was... watching the results closely......!
2015015010140,甜花,"えと……
選択肢の、中だと……",Um... of all the choices...
2015015010150,甜花,"『ゲームの世界の甜花ちゃん』
ってやつ……","There was... ""Tenka-chan in the world of Games""......"
2015015010160,甜花,"いいな、って思ってたし……
それになるのかな、って思ってた……","Tenka felt like... that'd be nice...
She wondered if... she could actually pull it off......"
0000000000000,雑誌スタッフ,わぁ、そうなんですか？,"Oh, was there now?"
2015015010170,甜花,"だから……
ちょっと意外でした……！",So... this was... a little unexpected......!
0000000000000,プロデューサー,"うーん、そうだなぁ
これは俺の想像だけど……","Hmmm, good point. I would imagine something like that
too..."
0000000000000,プロデューサー,"ファンのみんなは、いつもは見られないような
甜花を見たいと思ってくれてるのかもな……？","But I guess that means they want to see a side of you
that they've never seen before......?"
2015015010180,甜花,"あ……
なるほど……",Oh...... Makes sense......
0000000000000,雑誌スタッフ,それ、大いにあると思います！,I think you hit the nail on the head!
0000000000000,雑誌スタッフ,"ウチ的にも結構思い切った企画をやった時とかは
やっぱり反響が大きくて","I definitely felt this resonate with me quite a lot
when I was doing all the preparations for the shoot."
0000000000000,プロデューサー,なるほど……！,I see......!
0000000000000,雑誌スタッフ,"だから、我々としては
今回は手ごたえバッチリ、って感じなんですけど","So, I feel like we were in good hands, letting the fans
decide."
0000000000000,雑誌スタッフ,ふふっ、甜花さん的にはどうでした？,"Fufu, how do you feel, Tenka-san?"
2015015010190,甜花,"あ……えと……
甜花……",Oh...... Um...... Tenka......
2015015010200,甜花,"いっつもは……
部屋着とか、制服とか、そういうのが、多くて……","Tenka... only ever really wears... her leisurewear... or
school uniform......"
2015015010210,甜花,"全然『着せ替え人形』じゃない
生活してる、から……","She's kinda... the opposite of... a ""Dress-up Doll""......"
2015015010220,甜花,"『着せ替え人形』、なるの……
頭も、体も使ったな、って感じ、です……","When she... became one... she kinda felt like... she was
using every part of her body......"
0000000000000,一同,はは……！,Haha......!
2015015010230,甜花,"……でも……
だから……",......But...... That's why......
2015015010240,甜花,"スタッフさんとか、ファンのみんなが……
甜花のこと、『着せ替え人形』にしてくれた……","Well... you all... the staff... and the fans... you all
turned Tenka... into a ""Dress-up Doll""......"
2015015010250,甜花,"えと……
だから、やっぱり……",Um...... so... that's why......
2015015010260,甜花,"アイドル……
すごいな、って……思いました……！","Tenka thinks that... being an idol... really is
amazing......!"
info,produce_events/201501501.json,
Translator,kotonekotoP,
