id,name,text,trans
3015010020010,甜花,"すみません……！
人形焼き──",Excuse me......! Could we get some doll cakes──
3015010020020,甜花,えと……何個……？,Um...... how many......?
3015010020030,甘奈,一袋にして、ふたりでシェアしよ～！,Let's get one bag and share it～!
3015010020040,甜花,うん……！,Okay......!
3015010020050,甜花,"じゃあ……
ひとつで……！",Alright then...... just one please......!
3015010020060,甜花,……なーちゃん……,......Naa-chan......
3015010020070,甘奈,ん～？,Hm～
3015010020080,甜花,焼きそば……多かった……,There's too much...... yakisoba......
3015010020090,甘奈,"わーっ！
無理しないで持って帰ろ？　ね？","Ahhh! We can just take it home, okay?"
3015010020100,甜花,あうぅ……,Auu......
3015010020110,甜花,"にへへ……
虹色の、かき氷……",Nihehe...... The rainbow... shaved ice......
3015010020120,甜花,"夢で見たやつと……
そっくり……！",It's exactly like... the one in Tenka's dream......!
3015010020130,甘奈,売り切れてなくてよかったよね☆,I'm glad they weren't sold out☆
3015010020140,甘奈,"あ～っ……！　食べるのがもったいないけど、
溶けちゃうのももったいない～っ","Awww......! It's such a waste to eat it, but waiting for
it to melt is a waste too～"
3015010020150,甜花,…………,............
3015010020160,甜花,"これ……食べたら
舌、虹色になっちゃう……？","If we...... eat this... won't our tongues... turn rainbow
too......?"
3015010020170,甘奈,わっ、なっちゃうかも……！？,"Woah, I think you're right......!?"
3015010020180,甘奈,"甜花ちゃん、先に食べてみない？
それで、甘奈が写真撮ってあげる！","Tenka-chan, wanna eat some first? And then I'll take
a picture!"
3015010020190,甜花,"え……
え……？","Huh......
Wha......?"
3015010020200,甘奈,"大丈夫だよ～
甜花ちゃん、舌が虹色になってもかわいーもん☆","Don't worry about it～ You're gonna be so cute with
that rainbow tongue☆"
3015010020210,甜花,"や、やってみる、ね……！
にへへ……！",T-Tenka's gonna... give it a try......! Nihehe......!
3015010020220,甘奈,ふ～……,Phew～...
3015010020230,甘奈,買ったね～,We bought it～
3015010020240,甜花,うん……,Yeah......
3015010020250,甜花,食べた、ね……,We... ate it......
3015010020260,甘奈,"ね～
夕飯、ちゃんと入りそう？",Right～? Think you saved enough room for dinner?
3015010020270,甜花,"大丈夫……！
ちゃんとスペース、残してる……！",No problem......! Tenka's got enough space......!
3015010020280,甘奈,"さすが甜花ちゃん！
偉いよ～っ☆",Knew I could count on you! Good girl～☆
3015010020290,甜花,"にへへ……
ママと約束……したから……",Nihehe...... Tenka made a promise...... with mama......
3015010020300,甘奈,"甜花ちゃん、
もう食べ損ねたものとかない？","Anything else you wanted to try out, Tenka-chan?"
3015010020310,甜花,うん……,Yeah......
3015010020320,甜花,"これ以上は……
スペース……なくなっちゃう……","But...... anything else... and... Tenka won't have enough
space......"
3015010020330,甘奈,そっか～……,Oh okay～
3015010020340,甘奈,……それじゃあ、帰る？,"......Alright then, should we head home?"
3015010020350,甜花,"うん……
帰ろっか……",Sure...... let's go home......
3015010020360,甜花,──……ね,──......Hey.
3015010020370,甜花,遠回りして、帰ろ……？,Could we... go the long way......?
3015010020380,甘奈,……！,......!
3015010020390,甘奈,"──えへへっ
うん！","──Ehehe, we sure can!"
3015010020400,甘奈,甘奈もそれ、思ってた☆,I was thinking the exact same thing☆
3015010020410,甘奈,"きっと、遠回りした方が
人通りも少ないし──",There'll be less people on that route too──
3015010020420,甜花,──なーちゃん,──Naa-chan.
3015010020430,甘奈,ん？,Hm?
3015010020440,甜花,買ったね……,We... bought it......
3015010020450,甘奈,"うんっ
……って、さっきもこれ、話さなかったっけ？","Yeah. ......Wait, didn't we already say that earlier?"
3015010020460,甜花,にへへ……,Nihehe......
3015010020470,甘奈,"じゃあ──
『食べたね』っ","Alright then──
""We ate it""."
3015010020480,甜花,うん……！,Yeah......!
3015010020490,甜花,楽しいね……,This is fun......
3015010020500,甘奈,えへへっ、楽しいね☆,"Ehehe, it is☆"
3015010020510,甜花,夏……だね,It's... summer......
3015010020520,甘奈,うん！　夏だね,Yeah! It sure is.
3015010020530,甜花,……にへへ……,......Nihehe......
info,produce_events/301501002.json,
Translator,,
