id,name,text,trans
3015008030010,off,『──そうなんだね……』,"""──That's right......"""
3015008030020,off,『お星さまは……──』,"""The stars are......──"""
3015008030030,甘奈,"──ペガサス座さん、
めーっちゃ喜んでたね☆","──Pegasus was suuuuper happy, wasn't he☆"
3015008030040,甜花,"うん……！
よかった……！",Yeah......! Tenka's glad......!
3015008030050,千雪,"甜花ちゃんのおかげよ
あんなに元気に、ただいまできたんだもん","Thanks to you, it could go home in a good mood."
3015008030060,甘奈,"えへへ、仔馬座さんも
すっごくかっこよかったけど……","Ehehe, the little horsie was also pretty cool..."
3015008030070,甘奈,"あの時の甜花ちゃん、
ほんとにかっこよかったなぁ……",But Tenka-chan was really cool too...
3015008030080,甜花,そ、そんなこと……,Th-that's not......
3015008030090,千雪,"うん
ちょっと危なかったけど──","Yeah, albeit it was a bit dangerous──"
3015008030100,千雪,"飛び出していけたのは、甜花ちゃんのおかげだって
仔馬さんも言ってたもんね","I mean, it did say that Tenka-chan was the only
reason it could fly like that again."
3015008030110,甘奈,すごいなぁ、甜花ちゃん……！,"Wow Tenka-chan, that's amazing...!"
3015008030120,甜花,あ、あうぅ……,A-Auu......
3015008030130,甜花,"て、甜花は……
なんにも……",T-Tenka...... didn't do... anything special......
3015008030140,甜花,"こ、仔馬さんの……
おかげで──",Actually... thanks to Horsie-san──
3015008030150,甜花,"──千雪さん……！
なーちゃん……！","──Chiyuki-san......!
Naa-chan......!"
3015008030160,千雪,甜花ちゃん……！？,Tenka-chan......!?
3015008030170,甜花,"待ってて、千雪さん……！
お札……借りるね……！","Wait a sec... Chiyuki-san......! Tenka's gonna... borrow
your paper slip......!"
3015008030180,千雪,"──……うん！
お願いするね、甜花ちゃん……！","──......Sure!
Go ahead, Tenka-chan...!"
3015008030190,甜花,うんっ……！,Yeah......!
3015008030200,甜花,──……仔馬さん,──......Horsie-san.
3015008030210,甜花,仔馬さん、ペガサスみたい……,You're like... Pegasus......
3015008030220,甜花,"お兄ちゃんみたいに……
かっこいいよ、仔馬さん……",You're so cool...... like an older brother......
0000000000000,仔馬,ひひん……！,*happy neigh*...!
3015008030230,千雪,"──びゅんびゅん宙を走って、
トイレの窓まで行って……ふふっ","──Soar across the skies, even to the bathroom
windows... Fufu."
3015008030240,甜花,"そう……！
トイレの、窓まで……！",Yeah......! To the... bathroom windows......!
3015008030250,甘奈,"えへへ……
そうだったね……えへへっ","Ehehe...
That's a good one... Ehehe."
3015008030260,甘奈,──……甜花ちゃんも、仔馬さんもすごかったけど……,"──...You two were really amazing, but..."
3015008030270,甘奈,雑用係さんも、大活躍だったね！,Doing those chores was a lot of work!
3015008030280,千雪,うん。いろいろお世話になっちゃった,Yeah. Thank you for all of your hard work.
3015008030290,千雪,"あの時もそうだし……
それに、会った時なんて……",Back then... but also when we met...
3015008030300,甘奈,──あっ、そうそう。甜花ちゃん,"──Right, good point. Tenka-chan..."
3015008030310,甘奈,"千雪さんね、ふたりでいる時に
お腹空いちゃって、雑用係さんに──","When Chiyuki-san and I were off together, we were
super hungry and talked to a new person working for
the train──"
3015008030320,千雪,"あーっ、あーまーなーちゃん……！
ダメ、それは言わないで……！","Heey, Aamaanaa-chan...! You can't tell her that...!"
3015008030330,甘奈,えへへっ……！,Ehehe...!
3015008030340,甘奈,"甘奈もお腹ぺっこぺこだったから、
がぶー！　ってしちゃいそうになっちゃって……","I was super hungry too, and we ate until we got fat..."
3015008030350,甜花,な、なっちゃって……！？,Y-You got fat......!?
3015008030360,甘奈,"ぎりぎりセーフだったけどねー
危なかったねー、千雪さん、雑用係さんっ","Well, not quite. It was a close one though, right
Chiyuki-san?"
3015008030370,千雪,もう～,Jeez～
3015008030380,千雪,"甘奈ちゃんも私も、
その時はキャラメルしか食べてなくて、つい……","All we did is have a little bit of caramel, that's all..."
3015008030390,千雪,──あ、キャラメル！,"──Oh, caramel!"
3015008030400,甜花,キャラメル……？,Caramel...?
3015008030410,甘奈,"そうだった！
旅の記念にって、お別れの時にもらったの！","Right! We got some from him to commemorate our
journey!"
3015008030420,甘奈,すっごく美味しいキャラメルで……,It was super yummy...
3015008030430,甜花,すっごく……美味しい……！,"And... just, super super yummy...!"
3015008030440,甘奈,"今度は甜花ちゃんも一緒に食べよ☆
ほら、手出して──","Let's have some together right now☆
Here, hold out your hand──"
3015008030450,甜花,う、うん……！,S-Sure......!
3015008030460,甘奈,はい、千雪さんも！,"Okay, you too, Chiyuki-san!"
3015008030470,千雪,ふふ、ありがとう,"Fufu, thanks."
3015008030480,甘奈,"じゃ、いただきまーす……
……んー！　あまーい☆","Alright, time to eat...
...Mmmh! It's so sweet☆"
3015008030490,千雪,うん、甘い……,Yeah... It's sweet......
3015008030500,甜花,……美味しい……,......It's yummy......
3015008030510,甘奈,"やっぱり美味しいものは、
みんなで一緒に食べたいもんね",It's so nice to eat tasty things with other people.
3015008030520,甜花,一緒に……──,Together......──
3015008030530,甜花,"──……甜花の、せいで……
天の川……ちゃんと見れなくて……","──......It's Tenka's fault... that...... we couldn't see...
the Milky Way......"
3015008030540,甜花,ごめんなさ──,Sorr──
3015008030550,千雪,──だーめ,──Bad girl.
3015008030560,千雪,それは、ほんとにもう言わないの,You don't need to say anything else.
3015008030570,甜花,で、でも……,B-But.....
3015008030580,甘奈,"……甘奈ね、天の川
めーっちゃ綺麗だったなって思うよ",...I think that the Milky Way was really pretty.
3015008030590,甜花,え……？,Huh......?
3015008030600,甘奈,"ガイドブックで見るのとは、
確かに違ってたけど……","It was different from how it looked in the guide book,
but..."
3015008030610,甘奈,でも、天の川の中、ワープしたんだよ！？,"We warped into the center of the milky way, didn't
we!?"
3015008030620,甘奈,"外から見るだけじゃなくて、
星のトンネルを突き抜けるみたいに──","We didn't see from the outside, but it was like we
went through a tunnel of stars──"
3015008030630,甘奈,こんなの、普通の旅行じゃなかなかできないよっ！,This wasn't any ordinary trip!
3015008030640,千雪,"そうね。とっても……
とっても、きらきらして──",You're right. It sparked so... so much──
3015008030650,千雪,星が、みーんな歌ってた……,The stars... were full of everyone singing together......
3015008030660,甜花,"千雪さん……
なーちゃん……",Chiyuki-san...... Naa-chan......
3015008030670,甜花,"……
うん……！","......
Okay......!"
3015008030680,甜花,"きらきらで……すごくて……！
──楽しかった……！","The sparkles... were so amazing......!
──This was so fun......!"
3015008030690,甜花,"ありがとう……！
なーちゃん……千雪さん……！",Thanks......! Naa-chan... and Chiyuki-san......!
3015008030700,千雪,ふふふっ,Fufufu.
3015008030710,千雪,──twincle、twincle、littlestar……,──Twinkle twinkle little star...
3015008030720,甜花,"──ハウアイワンダー……
ワットユーアー……",──How I wonder... what you are......
3015008030730,甘奈,…………！,......!
3015008030740,甘奈,──Up above the world so high……,──Up above the world so high...
3015008030750,甜花,……にへへ……,......Nihehe......
3015008030760,甜花,──……あ……,──......Oh......
3015008030770,甜花,きらきら……輝く……,Sparkling... and twinkling......
3015008030780,甜花,小さな……お星さま……,Little... stars......
3015008030790,甜花,あなたは……──,You're......──
3015008030800,甜花,"にへへ……
お星さまは……仔馬座さん……","Nihehe......
The stars are... the star horsie-san......"
3015008030810,甜花,"甜花の……
お星さまの歌……",Tenka's very own... star song......
info,produce_events/301500803.json,
Translator,kotonekotoP,
