id,name,text,trans
3015011020010,甜花,えと……,Um...
3015011020020,甜花,"明日は、雑誌の撮影で……
明後日は午後から３人でレッスン……","So tomorrow, there's a photoshoot for a magazine......
The day after, we'll all be doing lessons in the p.m......"
3015011020030,甜花,……だっけ……？,......is that right......?
3015011020040,甘奈,"違うよ、甜花ちゃん～
逆、逆っ","No Tenka-chan, that's wrong～
It's the other way around."
3015011020050,甜花,あ、そっか……,Oh... got it......
3015011020060,甜花,明日の午後、レッスン……,Lessons in the afternoon... tomorrow......
3015011020070,甜花,明後日、雑誌の撮影……,The magazine shoot... is the day after tomorrow......
3015011020080,甜花,──撮影、何時から……？,──When is... the photoshoot......?
3015011020090,千雪,１時にスタジオ集合よ、甜花ちゃん,"We're meeting up at the
studio at 1 o'clock, Tenka-chan."
3015011020100,甜花,わ、わかった……,G-Got it......
3015011020110,甜花,"１時……
１時…………","1 o'clock......
1 o'clock..........."
3015011020120,甜花,……ふたりとも、ごめんね……,......Sorry... you guys......
3015011020130,甜花,"甜花、予定のこと
あんまりちゃんと覚えてない……","Tenka... can't remember
anything about the plans......"
3015011020140,千雪,"ふふっ
気にしなくてもいいのに","Fufu
You've got nothing to worry about."
3015011020150,甘奈,"そうそう！
甜花ちゃん、甘奈と一緒に行動することも多いんだし","That's right!
You and I do practically everything together anyways."
3015011020160,甜花,"う、うん……
でも……","Y-Yeah......
But......"
3015011020170,甜花,"…………あ
──スケジュール帳……！","......Oh
──A planner......!"
3015011020180,甜花,あった……！,Over there......!
3015011020190,甘奈,"──あっ
それ、前に買ったやつ！","──Oh,
that's the one we bought earlier!"
3015011020200,甜花,"うん……！
たまに、使ってた……","Yeah......!
Tenka uses it... occasionally......"
3015011020210,甜花,"……けど
予定書くの、面倒になって……","......But
Actually using it... is tedious......"
3015011020220,甜花,……今は使ってない……,......So she isn't using it right now......
3015011020230,甘奈,あ～っ……,Ahh～......
3015011020240,千雪,"わかるなぁ
手帳あるある","I get you...
That happens with my notebook too."
3015011020250,甜花,"でも……これ使えば
スケジュール、忘れないはず……！","But... if Tenka uses this......
She... won't forget the schedule......!"
3015011020260,甜花,"面倒にならないように……
ちゃんと使えば……！","She'll use it......
and hope that it doesn't become tedious......!"
3015011020270,甜花,"……ちゃんと……
…………","......use it......
............"
3015011020280,甘奈,……,......
3015011020290,甘奈,"──そうだ！
手帳をどんどんデコってくのはどうかな？","──That's it!
How about we get you some decorations?"
3015011020300,甜花,デコってく……？,decorations......?
3015011020310,甘奈,うん！,Yeah!
3015011020320,甘奈,"予定を書いて、お仕事が終わったら
『できたよ～』って！　その部分をデコっちゃうの☆","You'll write in the notepad, and once you're done,
you'll shout ""All done!"", and put a decoration there☆"
3015011020330,甘奈,"それなら楽しくて
続けられるんじゃないかな？","That way, it'll be fun,
and that'll inspire you to keep going, right?"
3015011020340,千雪,わ、それ素敵……！,"My, that sounds wonderful......!"
3015011020350,甜花,な、なるほど……,G-Got it......
3015011020360,甜花,"……でも、どうしよ……
デコ……甜花、できるかな……","......But... can Tenka......
actually remember... to use them.....?"
3015011020370,千雪,──んーと,──Hmmm...
3015011020380,甜花,……？,......?
3015011020390,千雪,"甜花ちゃん
これ、使えないかな……？","Tenka-chan,
how about you use this?"
3015011020400,千雪,シールなんだけど……,"It's a sticker, but it should work."
3015011020410,甜花,"わ……！
お星さま……ぴかぴか……","Waaa......!
This star...... is so sparkly......"
3015011020420,甘奈,めっちゃかわい～っ☆,It's mega cute～☆
3015011020430,甜花,"千雪さん……
これ、いいの……？","Chiyuki-san......
is that, okay......?"
3015011020440,千雪,うん……！,Yeah......!
3015011020450,千雪,"このシール、可愛いなって思って買ったのに
なかなか使う機会がなくて","I bought this sticker thinking it was pretty cute,
but I haven't found a use for it yet."
3015011020460,千雪,"使ってもらえたら、
シールも喜ぶと思うの","If you can get a use out of it,
I'm sure it'd even make the sticker happy."
3015011020470,甜花,"そっか……
にへへ……ありがと……","Is that so......
Nihehe...... Thanks......"
3015011020480,甜花,"お仕事終わったら、そこにお星さま貼るの……
きっと、可愛くなる……","If Tenka puts the star there... when she's done with
work...... it'll definitely become a lot cuter......"
3015011020490,甜花,"──なんか……
やる気出てきた……！","──She kinda......
feels motivated for once......!"
3015011020500,甘奈,"おお～☆
その意気だよっ、甜花ちゃん！","Whoo～☆
That's the spirit, Tenka-chan!"
3015011020510,甜花,"甜花……
お仕事、頑張って……",Tenka...... will do her best... with work......
3015011020520,甜花,"それで、スケジュール帳……
お星さまでいっぱいにするね……！","And then... she'll put lots of stars......
into her planner......!"
3015011020530,甜花,にへへ……！,Nihehe......!
info,produce_events/301501102.json,
Translator,,
