id,name,text,trans
1020001000210010,透,ふぁ……──,Yawn...──
0000000000000,プロデューサー,"なんだ？
寝てないみたいな顔してるな","What's up?
You look like you haven't gotten any sleep."
1020001000210020,透,"ん……
なんか、動画観てて──","Mn...
I was just──watching videos, and──"
1020001000210030,透,──おはよう、プロデューサー,"──Good morning, Producer."
select,,おはよう,Good morning.
select,,うーん、やり直し,"Nnnah, do-over."
select,,ははは、眠そうだ,"Hahaha, you seem
pretty sleepy."
1020001000210040,透,"プロデューサーはしゃっきりしてるね
ふぁ……──","You're on the ball today, Producer.
Yawn...──"
1020001000210050,透,"──あ、ごめん……
もう禁止するから、あくび","──Ah, sorry...
I'll put a stop to the yawns, now."
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1020001000210060,透,"あ、ダメ……？
──んんっ","Ah. No good...?
──Ahem."
1020001000210070,透,おはよう、プロデューサー,"Good morning, Producer."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1020001000210080,透,だって、眠いし,Because I am sleepy.
1020001000210090,透,"ごめんね
顔、洗ってくるよ","Sorry.
I'll go wash my face quickly."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/102000100021.json,
Translator,Emelia,
