id,name,text,trans
0000000000000,プロデューサー,朝からチョコレートか,"Chocolate from this morning, huh?"
1020001000310010,透,"え、うん
朝から食べてこれなくて","Eh? Yeah.
I haven't gotten to eat it since."
1020001000310020,透,いる？,Want some?
0000000000000,プロデューサー,え？,Eh?
select,,もらっていいのか？,"Would it be okay
to have some?"
select,,大丈夫、大丈夫,"I'm fine,
I'm fine."
select,,"俺は、ちょっと
もたれるかな","It might be a little
heavy on me, maybe."
1020001000310030,透,うん。いいよ,Yeah. It's fine.
1020001000310031,透,──あっ,──Ah.
1020001000310040,透,ヘンな感じに割れちゃった,Kind of broke in a weird shape.
0000000000000,プロデューサー,（よし、楽しく話せたな）,"(Nice, that went really well.)"
1020001000310050,透,いらないの？,You don't?
1020001000310060,透,あと30秒でなくなっちゃうからね,"It'll all be gone in thirty seconds, I'm telling you."
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,"(Well, I guess that went okay.)"
1020001000310070,透,そうなんだ,Is that so?
1020001000310080,透,ごめんね,"Then, I'm sorry."
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,(Ah... I should've said something else instead...)
info,produce_communications/102000100031.json,
译者,,
