id,name,text,trans
0000000000000,プロデューサー,よーし、二次審査も通過だ！\nおめでとう、透！,"Alright, the second round is a pass!
Congratulations, Toru!"
7020001030010,透,あ、そうなんだ\nありがと,"Ah. Really?
Thanks."
0000000000000,プロデューサー,次も頑張ろうな,Work hard for the next one too.
7020001030020,透,うん,Yep.
7020001030030,透,──やっぱ、あれがよかったのかな？,"──You know, I think it helped me, didn't it?"
0000000000000,プロデューサー,え？,Eh?
7020001030040,透,雛菜と作ったやつ,The one Hinana and I came up with.
7020001030050,透,『届いてる？　トキメキ電波──\n私、みんなのこと考えるとドキドキが止まらないんだ』,"""Am I reaching you? With my heartrace signal──When I think about you all, the thumping in my chest just won't go away."""
7020001030060,透,『ドキドキプロバイダ、浅倉透\n無限のトキメキ、定額制でお届けします』,"""Dokidoki Provider, Toru Asakura.
Limitless heartrace, delivered to a fixed quota."""
0000000000000,プロデューサー,……！,...!
0000000000000,プロデューサー,透、まさかそれ\n面接で言っ────！,"Toru, don't tell me you said that at the intervi──!"
7020001030070,透,言ってないよ,I didn't.
0000000000000,プロデューサー,……っ！,...!
7020001030080,透,ふふっ、冗談\nでも、いい言葉だよね,"Fufu. Just joking.
But they're good words, aren't they."
7020001030090,透,無限のトキメキが、定額なんてさ,Limitless heartrace on a fixed quota. Right?
info,produce_events/702000103.json,
译者,,
