id,name,text,trans
2020004020010,透,──やば,──Crap.
2020004020020,透,"寝てた
ごめん","I fell asleep.
Sorry.
"
0000000000000,プロデューサー,"おう、大丈夫だ
まだ少し先だったよな","Right, no worries.
There's still a few more stops to go, right?"
2020004020030,透,……え、もうリサイクルショップのとこじゃん,"...Eh, we're already at the recycling shop though."
0000000000000,プロデューサー,えっ,Eh.
2020004020040,透,バスって、すぐだから,"The bus travels really quickly, so."
0000000000000,プロデューサー,"えっと……そうか
あと３つくらい先だったかなって","Oh, uh... I see.
I thought there'd be 3 more stops or something."
2020004020050,透,"──あれ
そうだっけ","──Huh.
Is that so?
"
0000000000000,プロデューサー,"そうだっけって……
ははっ、毎日乗ってるんじゃないのか","""Is that so""...?
Haha, don't you take this bus every day?"
2020004020060,透,今日、いつもと反対側からだから,"The bus goes the other way round today, so."
2020004020070,透,"……よくわかんなくなるし
このへん","...I don't really know much 
about this area, too."
0000000000000,プロデューサー,"あぁ、そうかもなぁ
このあたり、ずっと似たような風景だもんな","Ahh. You might be right.
The landscape never changes much around this 
area after all."
2020004020080,透,"うん
暗くなると、もっとわかんなくなる","Yeah.
And when it turns dark, it becomes harder to tell too."
2020004020090,透,"窓だけ光ってて
ずっと窓ばっかり続いてて","All you see are the lights from windows.
And the view of windows just goes on forever."
2020004020100,透,"ここって
こんなだったんだ──ってなる","Makes you think
""so that's how it is"" in broad daylight."
0000000000000,プロデューサー,うん──,Yeah──
0000000000000,プロデューサー,"俺も、窓がこんな……人がこんなに住んでるとこなんだって
今気付いたかもしれない","Me too. About the windows... and the number 
of people living here.
You might've just made me realise that."
2020004020110,透,……？,...?
0000000000000,プロデューサー,"このへんさ、透たちが住んでるおかげで
よく通るようになったけど──","It's because you and the others live here that
I pass by this area often, but──"
0000000000000,プロデューサー,あんまり見えてなかったんだなぁ,I've never given it much thought.
2020004020120,透,……あー,...Ahh.
2020004020130,透,うん,Yeah.
2020004020140,透,…………,...
0000000000000,プロデューサー,…………,...
0000000000000,降車アナウンス,『つぎ、とまります』,"""The bus will be stopping at the next stop."""
2020004020150,透,──あれ、押した？,"──Wait, you pressed it?"
0000000000000,プロデューサー,押したよ,I did.
2020004020160,透,え、押したかった,"Eh, I wanted to press it."
0000000000000,プロデューサー,"ええっ！
……っと、これって取り消しとか──","Eeeh!
...u-uh, I wonder if there's a way to turn it off──"
2020004020170,透,無理でしょ,No way there is.
2020004020180,透,"ふふっ
点いちゃってるじゃん、めっちゃ","Fufu.
It's glowing. Really brightly."
0000000000000,プロデューサー,……す、すまん……,… M-My bad…
2020004020190,透,押したかったー,"Man, I reaaally wanted to press it."
0000000000000,プロデューサー,……うぅ,… Ughh...
2020004020200,透,"──これもさ、
こんな光ってたんだ","──Who knew that
this was glowing that brightly too?"
0000000000000,プロデューサー,"え？　あぁ……
降車ボタンか？","Eh? Ahh...
The stop button?"
0000000000000,プロデューサー,"──ははっ、綺麗だなぁ
ホタルみたいだ","──Haha, it's pretty, isn't it.
Kinda like a firefly."
2020004020210,透,"昼光ってるものって
見えないんだね","We can't see things that 
glow in the day."
2020004020220,透,夜なら見えるのに,Even though we can at night.
0000000000000,プロデューサー,……昼光ってるもの────？,...Things that glow in the day────?
0000000000000,プロデューサー,あぁ……────,Ahh...────
2020004020230,透,"気にしたことなかったけど
なんか、これめっちゃ光ってるし──","I've never noticed it at all.
Even though it's glowing this brightly──"
2020004020240,透,"めっちゃ人が住んでる、
このへん","These many people were living here.
All this while."
0000000000000,プロデューサー,──うん,──Yeah.
0000000000000,プロデューサー,"…………
俺はさ……","…
I..."
2020004020250,透,え？,Eh?
0000000000000,プロデューサー,あぁ……いや,Ah... no-
0000000000000,プロデューサー,ちゃんと、伝えられるかな,I wonder if I'll be able to convey this properly.
0000000000000,プロデューサー,"もう光ってるもののこと────
昼の間も、ちゃんと光ってるもののことを","About things that are glowing────
About things that glow brightly even in the day."
2020004020260,透,降りるよ、プロデューサー,"We're getting off here, Producer."
0000000000000,プロデューサー,あ、おう！,"Ah, right!"
0000000000000,プロデューサー,……ええと、その──,U-Uhm... Well──
0000000000000,プロデューサー,"俺、ちゃんと見えてるからな
昼の間も光ってるもの","I just wanted to tell you that I'm properly noticing 
them. 
Things that glow in the day."
2020004020270,透,……？,...?
0000000000000,プロデューサー,……光ってるものは光ってるんだ,...Things that glow are fine shining just as they are.
2020004020280,透,"──
へぇ……","──
Huuh..."
2020004020290,透,そっか,I see.
2020004020300,透,すごいじゃん,That's great.
info,produce_events/202000402.json,
Translator,OrangeKabocha,
