id,name,text,trans
0000000000000,配信者,へぇ～、金縛りですか,Oh wow. Did you feel paralyzed?
0000000000000,女性,"はい……私の場合は、ですけど……
で、そのまま体が宙に浮いて","Yes... I did, but...
I felt like my body was just floating in space."
0000000000000,女性,"見下ろしてるんですよ、自分を
でも、すぐには自分だってわからなくて……","Looking down, I saw myself.
But I wasn't sure it was me right away..."
0000000000000,女性,"誰だろうって……
自分なのに自分じゃない、みたいな──","I wondered who that was...
It was as if that was me, but not me─"
0000000000000,配信者,"は～……すげ～
そんな感じなんすね～","Huh~... That's cool~
So that's what it felt like~"
0000000000000,配信者,"でもぶっちゃけ、幽体離脱って
体の錯覚とか言われてるじゃないですか～","But to be honest, they say that out-of-body
experiences are sometimes just a sensory illusion
of the body, right~"
0000000000000,女性,"あー、はい……
まぁ、私もあれがただの錯覚だって言われたら──","Ahh, yeah...
But if you told me that it was just an illusion─"
0000000000000,女性,もしかしたら、夢だったのかもしれないし……,Perhaps it was just a dream...
3020013010010,透,……,...
3020013010020,小糸,"と、透ちゃん……
もう、やめようよ……","To-Toru-chan...
S-Stop it..."
3020013010030,円香,……ほっときな,...Leave her be.
3020013010040,小糸,……,...
3020013010050,雛菜,"あ～！
透先輩、またやってる～！","Ah~!
Toru-senpai's still trying~!"
3020013010060,雛菜,できた～？　幽体離脱,Did it work? The out-of-body experience thingy.
3020013010070,透,…………,......
3020013010080,小糸,"えっ……
ね、寝てる……","Eh...
S-She fell asleep..."
3020013010090,円香,……,...
3020013010100,雛菜,あは～、熟睡してる～！,Aha~ She's sound asleep~!
3020013010110,off,"体　が
宙に浮く","Body　was
floating in space"
3020013010120,off,"自分なのに
自分　じゃない","That was me
but　not me"
3020013010130,透,"……
え……？","...
Eh...?"
3020013010140,雛菜,ん～、冷たくておいしい～～～！,"Yum~, it's so cold and tasty~~~!"
3020013010150,小糸,か、買って正解だったね、ソフトクリーム……！,"T-This soft cream was the right buy, huh...!"
3020013010160,雛菜,うん～！,Yea~!
3020013010170,円香,……浅倉？,...Asakura?
3020013010180,透,"……
今って……いつ？","...
When... is now?"
3020013010190,円香,……は？,...Huh?
3020013010200,透,"今……
あれ、私……──","Now...
Huh, I...─"
3020013010210,円香,……,...
3020013010220,小糸,"じ、時間……？
え、えっと……今、５時半だよ","T-The time...?
H-Hmm... it's 5.30pm."
3020013010230,透,え、あー……,"Huh, ahー..."
3020013010240,雛菜,"透先輩～、早く食べないと
ソフトクリーム溶けちゃうよ～？","Toru-senpai, the soft cream will melt if you don't
gobble it up quick you know~?"
3020013010250,透,そっか……これ────,I see... This──
3020013010260,透,これ、夢……？,"This, is a dream...?"
3020013010270,透,"やべー
ほんとに溶けてる","Oh noー
It's really melting all over."
3020013010280,雛菜,だから早く食べないとって言ったのに～！,"I did tell you to eat it quickly, didn't I~!"
3020013010290,透,あー、ふふっ,"Ahー, hehe."
3020013010300,透,"え……
するじゃん、味……","Eh...
I can taste it, though..."
3020013010310,円香,……何、さっきから,"...What are you on about, since just now?"
3020013010320,透,え？　あー……,Huh? Ahー...
3020013010330,小糸,"と、透ちゃん、大丈夫……？
具合、悪い？","I-Is something the matter, Toru-chan...?
Are you feeling alright?"
3020013010340,透,"……ふふっ
小糸ちゃんも、小糸ちゃんだ","...Hehe.
Koito-chan's Koito-chan too."
3020013010350,小糸,"えっ……？
え、えっと……","Huh...?
H-Hmm..."
3020013010360,透,大丈夫、夢だから,It's all good. It's a dream afterall.
3020013010370,透,"……ん……
ふぁー……","...Hmm...
Yaawn..."
3020013010380,雛菜,このアイスおいしそう～～～！,This ice cream looks tasty~~~!
3020013010390,小糸,うん、お店もオシャレだね……！,"Yea, and the store was so classy too...!"
3020013010400,円香,"でもこの人、さっきから喋ってばっかで
全然食べてない","But this person over here's been talking the
whole time and haven't even taken a bite."
3020013010410,透,"……え？
あれ……？","...Huh?
Hmm...?"
3020013010420,透,そっか────,I see──
3020013010430,雛菜,"あ～！
アイス、溶けちゃいそう～！","Ah~!
The ice cream's gonna melt~!"
3020013010440,透,"ふふっ
大丈夫、夢だから","Hehe.
It's all good. It's a dream afterall."
3020013010450,雛菜,へ～？,Huh~?
info,produce_events/302001301.json,
Translator,Mycstea,
