id,name,text,trans
6007002010010,結華,さぁて、腕試しのお時間ですよー,"Alrighty, time to show them what I got."
0000000000000,プロデューサー,結華はいつも通りだな,"Classic Yuika, business as usual."
6007002010020,結華,"そりゃあね？　リハーサルでいつも通りが出せなくっちゃ、
本番でなんて絶対無理だし","Well, duh. If I can't make it work like usual during
rehearsal, then what more for the actual thing?"
6007002010030,結華,ここはそういう練習の場所とも思ってますから,"This is the time and place to practice like
it's the real thing."
0000000000000,プロデューサー,"……そうだな、ありがとう
頼もしいよ","...What a reliable thing to say.
I'm glad to hear it."
6007002010040,結華,……,......
6007002010050,結華,"──そんなに心配しなくても、久しぶりのアンティーカだし
みんな楽しみにしてると思うんだよね","──There's no reason to worry. It may be a while
since we've performed together as L'Antica, but
that's why exactly why we're all pumped up."
0000000000000,プロデューサー,結華……,Yuika...
6007002010060,結華,"だから三峰も一緒だよ、プロデューサー
めいっぱい楽しんで、真面目にやってきます","That's why when L'Antica is together, Producer,
Mitsumine will give her all to make the most
of the fun."
info,produce_events/600700201.json,
Translator,Lewdacriz,
