id,name,text,trans
6007001000210010,結華,"ねーねープロデューサー、
今日は三峰、頑張ったんじゃないかな？","Hey hey, Producer!
Mitsumine did really good today, didn't she?"
6007001000210020,結華,プロデューサー的にも、褒めちゃう案件なのでは？,"She deserves some praise from her producer,
don't you think?"
0000000000000,プロデューサー,そうだな。普段からの努力の成果だ,"You sure do. These good results are all because how
hard you practice."
6007001000210030,結華,"ありゃ？　そこは、慢心しないでレッスンあるのみ！
って熱血系で忠告のパターンじゃないの？","Oh, what? You're not gonna give me some warning like
""Don't let it go to your head! It's only because you've
been practicing.""?"
0000000000000,プロデューサー,結華が慢心してないのはよく知ってるからなぁ,"I'm already well aware you don't let any of this get
to your head, Yuika."
6007001000210040,結華,"おっと……
なかなか結構な褒め言葉だね","Uh, wow...
That's a pretty serious compliment."
0000000000000,プロデューサー,本当のことだからな,"Well, it's the truth."
6007001000210050,結華,"……そっか。……ふふ。三峰、味しめちゃったかも
もっと褒めてもらえるように頑張らなきゃだね","...Really? ...Heheh. Mitsumine could get used to this!
I'm gonna keep working hard so you'll compliment me
even more!"
6007001000210060,結華,"三峰のさらなる活躍に乞うご期待！　ってことで！
しっかり見ててね？　プロデューサー！","Mitsumine implores you to expect even more from
her! Don't take your eyes off me, Producer!"
0000000000000,プロデューサー,ああ、楽しみにしてるぞ,"Yeah, I'm looking forward to it."
info,produce_communication_televisions/600700100022.json,
Translator,Belvera,
