id,name,text,trans
4007001000230010,結華,"今日の三峰は一味違うよ……！
いつもより燃えてる感じがする……！","Mitsumine's in an extra good mood today!
She's even more pumped up than usual!"
0000000000000,プロデューサー,（よし、この勢いを後押ししよう！）,"(Alright, I need to support Yuika's enthusiasm!)"
select,,"ステージが
華やかになるな","You're going
to light up
the stage."
select,,"結華の全力、
見せつけてやれ！","Show the judges
your best!"
select,,"省エネは
ここだけ封印だな","This is the only
time you don't
act laid-back."
4007001000230020,結華,"いつもよりもっと輝いちゃうかもって？　おだて上手だなぁ
……ね、知ってたＰたん？　三峰、乗せられ上手なんだよね","You think I'll shine even brighter than before? You're such a flatterer.
...Did you know, P-tan? For Mitsumine, a little praise goes a long way."
0000000000000,プロデューサー,（よし、結華がやる気であふれているぞ！）,"(Yes! Now Yuika's overflowing with motivation!)
"
4007001000230030,結華,"わぉ、プロデューサーも気合い入ってるね
まっかせて！　やる気２倍で頑張るよー！","Wow! You seem pretty excited yourself, Producer.
Leave it to me! My motivation is at 200% now!"
0000000000000,プロデューサー,（うん、これなら大丈夫そうだ！）,"(Good, looks like I encouraged her.)
"
4007001000230040,結華,"あっひどい！　三峰、締める時は締めるタイプですけどー？
……なんちゃってー。もちろん、脱省エネで行ってくるよ","You jerk! Mitsumine always gets serious when she needs to?
...I'm kidding, mostly. Obviously I wouldn't act laid-back here."
0000000000000,プロデューサー,（もう少し真面目に答えるべきだった……）,(I probably should've said something more earnest.)
info,produce_communication_cheers/400700100023.json,
译者,,
