id,name,text,trans
0000000000000,ドラマのスタッフ,三峰さん、今日もバッチリでしたね～,"That was outstanding, Mitsumine-san!"
2007010040010,結華,"ほんとですか？
ふふっ、ありがとうございます！","Really?
Heehee, why thank you!"
0000000000000,ドラマのスタッフ,"今の役、すごくはまり役っていうか──
三峰さんにピッタリだなって","The role suits you well... Nay, it was
made for you, Mitsumine-san!"
0000000000000,ドラマのスタッフ,僕、一番好きなんですよ！,I'd say... your performance is my favorite!
2007010040020,結華,わぁっ、嬉しいです……！,"Oh wow, how flattering...!"
2007010040030,結華,"──でもそれ、
ヒロインちゃんに対しても言ってませんか～？","──Buuut, didn't you also say that to the main
heroine?"
0000000000000,ドラマのスタッフ,"ええっ、言ってませんよ！
一番は三峰さんです、信じてください！","Whaa?! I did no such thing! You're number one,
Mitsumine-san...! You gotta believe me!"
2007010040040,結華,あははっ,Ahaha!
0000000000000,プロデューサー,（……………………）,(.............)
0000000000000,プロデューサー,──……やっぱり、納得いかない,───Yeah. It doesn't sit well with me after all.
2007010040050,結華,えっ,Eh?
2007010040060,結華,"──えっ、わらび餅パフェは邪道だったかな……！？
Ｐたん頼み直す……！？","──Huh, you're not in the mood for the warabi-mochi
parfait?! Do you want something else, P-tan...?!"
0000000000000,プロデューサー,……え？,...What?
0000000000000,プロデューサー,"あ、いや、注文の話じゃないんだ、すまん！
わらび餅パフェは俺も食べたいよ！","Oh. No, that's not what I'm talking about,
sorry! The parfait's good. I want it too!"
2007010040070,結華,──……,──......
2007010040080,結華,"……えーと
じゃあ、何が納得いかないの……？","So uhhh...
Then, what doesn't sit well with you...?"
0000000000000,プロデューサー,……,......
0000000000000,プロデューサー,"……結華、今日現場で言われてただろ
『今の役がピッタリだ』って","Yuika. Remember what he said earlier?
That the role was ""made"" for you?"
2007010040090,結華,うん,Mhm.
0000000000000,プロデューサー,"それが、悔しくてさ
結華はひとつしかできないわけじゃないのに","That's what annoyed me.
It's not like that's the only thing you can do."
2007010040100,結華,……──！,......!
0000000000000,プロデューサー,"もちろん、今の役がはまっているのはわかる
結華に任せておけば間違いないだろうってことも","I understand that you were chosen for that role.
And I agree that you were the right one for the job."
0000000000000,プロデューサー,"でも、そうじゃない届け方だってできるはずで、
俺はそういう結華も知ってもらいたい","But that role is one of many you can do. There's a lot
more to you that I want to see you do..."
0000000000000,プロデューサー,結華のいろんな魅力を、たくさんの人に見てもらいたい,And I want everyone else to know all of your charms.
0000000000000,プロデューサー,"──……だから、
上手いこと営業できてない自分に納得がいかなくて──","That's why... I'm so frustrated that I failed
to show them what you're really about──"
2007010040110,結華,──……ふふっ、やっぱり,"──Hehe, would you look at that."
2007010040120,結華,"プロデューサーは、
三峰をやる気にさせる天才だよね","Producer, you're such a genius when it
comes to keep Mitsumine motivated."
0000000000000,プロデューサー,うん……？,Huh...?
2007010040130,結華,"……三峰はさ、三峰のことなんて、
きっと誰にもわかってもらえないって思ってたし","Mitsumine felt, you know... resigned that nobody
will ever come to understand her."
2007010040140,結華,"もし、大事な人からわかってもらえたとしたら、
それは奇跡だと思ってたし","And that it would be a total miracle if somebody,
epecially someone dear to me, ever did."
2007010040150,結華,"……わかってもらいたい人にだけわかってもらえてたら、
それで十分って思ってた","It's enough for me if the ones that do are the
people I care about... That's what I've thought."
2007010040160,結華,"──でも。それが今回の結果につながったんだったら、
このままじゃいられないなーとも思ったの","But... if what I've been doing leads to a result
like this, then something has to change, I think."
2007010040170,結華,"Ｐたん見てたら
……わかってもらえる努力をしなきゃって","When I look at you, P-tan...
It makes me realize that I have to try
getting people to understand me better."
2007010040180,結華,"……ううん
努力をしたいなって","No... It's not that I ""have"" to do it...
I WANT to get people to understand me better."
0000000000000,プロデューサー,それは──,Does that mean──
select,,──……！,──......!
select,,"嬉しい
感想だなぁ……！","I can't believe it!
I'm so happy...!"
select,,結華だから──！,"Yuika, but that
means──!"
2007010040190,結華,"やーめーてー？
その噛みしめてますって顔","Can you stooop?
Stop looking at me like that!"
2007010040200,結華,"恥ずかしいこと言ってる時は、さらっと流す
これ鉄則ですよ？","Aren't you supposed to let it slide when someone
says something embarrassing?"
0000000000000,プロデューサー,……恥ずかしいこと、か？,...You think what you said is embarrasssing?
2007010040210,結華,そうに決まってるじゃん,What do you mean? Of course it's embarrassing!
2007010040220,結華,"言ったらＰたん喜んでくれるだろうなーってわかってる、
恥ずかしい発言だよ","I knew exactly how happy you'd be if I said it,
P-tan, so it's obviously embarrassing!"
2007010040230,結華,ふふ、そう言うと思ったぁ,"Ehehe, I thought you'd say that."
2007010040240,結華,……まーったくさぁ……,Oh brother...
2007010040250,結華,"『こういうのガラじゃない』ってこと言いすぎて、
もうこれが三峰のガラってことになっちゃいそう","After being told so many times that this doesn't
suit me, it feels like Mitsumine's starting to be
the very thing that she isn't known for."
0000000000000,プロデューサー,──……たくさん、教えてくれてるもんな,──and there's a lot more you still need to tell me.
2007010040260,結華,"……そこで、素直になった～とか
わかりやすくなった～とか言わないところ","It's good you didn't say that I'm ""fiiinally
opening up"" or that I'm ""eeeasier to read"" now."
2007010040270,結華,だぁいすき,That's what I like about you.
0000000000000,プロデューサー,そう思えること自体が、結華の──,"...the fact that you've been thinking about it
means──"
2007010040280,結華,"はーいちょっとストップ
この件についてはこれ以上しゃべるの禁止","Okay, Mister. Stop right there!
I'm not gonna let you finish that."
0000000000000,プロデューサー,"えっ！？
なんでだ……！？","Eh?!
But why...?!"
2007010040290,結華,"三峰は、ただただＰたんに聞かせるためだけに言ったので
それに対する感想なんか求めてないんだよね？","Mitsumine just wanted to say what's on her mind.
I never asked for your opinion on that, now did I?"
2007010040300,結華,だから受け付けませーん,So I'm nooot going to listen～
0000000000000,プロデューサー,そ、そんな……！,"Oh, come ooon...!"
2007010040310,結華,諦めて大人しくわらび餅パフェを待ちましょう,"Now now, be a good boy and wait for your parfait."
2007010040320,結華,"──……改まって真面目な話より
食べながらバカ話の方が性に合ってるんだからさ！","──...It's not time for a serious conversation about
it anyway. I prefer that we chit-chat about
something more casual over a good meal!"
info,produce_events/200701004.json,
Translator,Lewdacriz,
