id,name,text,trans
2007010030010,結華,三峰は、大丈夫って言った,Mitsumine said that she's going to be fine.
2007010030020,結華,"オーディション落ちちゃったのはショックだし、
イメージのこととか……確かに複雑だけど","It's shocking that I didn't get the role I auditioned
for. And I have a lot of mixed feelings about what
was said about my image and all, but..."
2007010030030,結華,"でも、これはまず自分で処理する
だから──信じて？","I want to sort this out myself.
So, can you leave this all to me?"
0000000000000,プロデューサー,（………………）,(.........)
0000000000000,プロデューサー,（俺は……勝手に…………）,(I can't... even do that for her...)
0000000000000,プロデューサー,（………………）,(.........)
0000000000000,プロデューサー,──すまなかった！,──I apologize...!
2007010030040,結華,えっ……？！,Eh?!
2007010030050,結華,"な、なになになに？
なんか謝ってもらうようなことあったっけ……？！","Whoa, what's going on here?
Did you do something that needs an apology?!"
0000000000000,プロデューサー,……この間の,The other day...
2007010030060,結華,うん……！,Mhmm...!
0000000000000,プロデューサー,オーディションの結果を聞いた日のことだ,...when we heard the results of your audition...
2007010030070,結華,うん……？,Okay...?
0000000000000,プロデューサー,"結華の『大丈夫だ』っていう気持ちを
無視しそうになったこと","I completely disregarded your feelings
when you told me that it was all okay."
0000000000000,プロデューサー,"……そういう、結華を見くびるような
失礼な態度をとってしまったこと","...It was ill-mannered of me to
doubt you in the first place, Yuika."
0000000000000,プロデューサー,"謝らなきゃと思ったんだ
──本当に、申し訳ない","That's why I need to apologize.
──I'm really sorry for thinking this way..."
2007010030080,結華,……いやいやいや,Oh good grief...
2007010030090,結華,"プロデューサー、気にしすぎ
三峰、それもう済んだことだと思ってたよ？","Producer, you worry about me way too much.
You know Mitsumine's past that already, right?"
0000000000000,プロデューサー,──……でも……,But...
2007010030100,結華,"でもじゃない
──だってさぁ","No buts!
──You should know already..."
2007010030110,結華,"三峰が『それはやめて』って言って、
プロデューサーは『あ、俺間違ってた』って納得してくれて","...when Mitsumine says that she'll take care of it,
that should tell you she'll take care of it."
2007010030120,結華,"ちゃんとお互いにわかり合って、
あの日は別れたわけでしょ？","Didn't I make it clear between us when I left
that day?"
0000000000000,プロデューサー,──……ああ,Yeah...
2007010030130,結華,"じゃあ、それで解決じゃない？
変に引きずらなくていいんだよ","Then, isn't that matter settled?
We should have just ended it with that."
2007010030140,結華,"正しい手順踏んでるじゃん
──……それに","This is how it should be.
──But you know what..."
2007010030150,結華,三峰は、嬉しかったんだから,"Mitsumine's actually feeling happy...
that you brought it up again."
0000000000000,プロデューサー,え──,Huh?
2007010030160,結華,"『今の、嫌だよ』って、ちゃんと言えてさ
プロデューサーにもそれを、わかってもらえて","Because now I can explain myself and have you
understand why."
2007010030170,結華,何かあったら──……,So if this happens again...
2007010030180,結華,"……何があっても
こうやって、すり合わせればいいんだなって","...I want us to reach a mutual understanding
just like this."
2007010030190,結華,そういうことが、できるんだなって,"I'm just happy realizing that we can
simply share what we're thinking."
2007010030200,結華,"実感できて、嬉しかった
──だからプロデューサーも、気にしないでよ","So don't worry about this anymore, Producer."
2007010030210,結華,"お互い納得し合ったら、
それでおっけー、そこでおしまい！","I'm sure we can be happy with everything
after talking it out like this!"
2007010030220,結華,そうでしょう？　──……ね？,"Simple enough, right?"
0000000000000,プロデューサー,結華…………,Yuika...
select,,……ありがとうな,Thank you...
select,,正しい手順、か,"So just like
this, huh..."
select,,（──ああ……）,(Ahhh...)
0000000000000,プロデューサー,"……──俺も、嬉しい
結華と、そういうことがちゃんとできたら","I'm happy too... That we can get to have a
heart-to-heart..."
0000000000000,プロデューサー,一個一個……ちゃんとすり合わせていけたら,"...and sort things out together like this...
One at a time."
2007010030230,結華,"うん
やっていこう、プロデューサー","Yeah, we'll do just that, Producer."
2007010030240,結華,だから変な気遣いはな～し,"...so no more of that downer stuff from you,
okay?"
0000000000000,プロデューサー,"はは、うん。すまん
──ありがとう","Haha, will do. Sorry about that. And... thanks."
2007010030250,結華,……ん,Mhm.
0000000000000,プロデューサー,"……──もう一度だけ謝らせてくれ、すまなかった
気にしすぎだった","Then let me apologize once again.
I'm sorry... for acting overly worried..."
2007010030260,結華,"そうそう！
毎回気にされてたら三峰も言いづらいし","There you go! It's hard for Mitsumine to get a word
in if don't don't spit out what's on your mind!"
0000000000000,プロデューサー,はは、その通りだな……,"Haha, true that..."
2007010030270,結華,"……──三峰は、さ
全部教えるって、決めたから","Mitsumine's come to a decision... to tell you
everything."
0000000000000,プロデューサー,え？,Eh?
2007010030280,結華,"言えること、全部
今は言えないことも──もし言えるようになったら、全部","I'll tell you everything. All that I haven't said,
I'll tell them to you when the moment's right."
2007010030290,結華,ちゃんとわかり合いたいから、言うって決めた,It's so that you can understand me better.
2007010030300,結華,"──それ以外の、責めるような意味はないので！
今回みたいに、変な後ろめたさを見出されても困ります！","──not saying that you don't, but I don't
want to have you feeling that way again!"
2007010030310,結華,──ね？,Do I make myself clear?
0000000000000,プロデューサー,──おう！,Loud and clear!
0000000000000,プロデューサー,はーー……！,Haaaa....
2007010030320,結華,"ええっ！？
今度は何？　なんのため息！？","Eh?! What's wrong now?
What's with all the sighing?!"
0000000000000,プロデューサー,"いや、すまん……──！
今のでなんか、すごく安心して……","Hmm? Sorry... That was more of a...
...sigh of relief."
0000000000000,プロデューサー,……悪いな、こんなで……,"Didn't mean anything bad by it, sorry...."
2007010030330,結華,……バカだなぁ,You silly goose...
2007010030340,結華,"そんなになるまで気にしすぎてるのもだし、
そういうところを謝ってくるのもだし","Look at you... Feeling so guilty for being too much
of a worrywart."
2007010030350,結華,"……三峰のこと大事にしようとしてくれた人のこと、
『こんな』で困る～なんて、思うわけないでしょ？","As the one who watches over Mitsumine, are you
really gonna let something like that get you down?"
2007010030360,結華,ばーか,You're such an idiot～
info,produce_events/200701003.json,
Translator,Lewdacriz,
