id,name,text,trans
0000000000000,店長,"三峰さーん
こっちのノートも一緒に出してもらえますかー？","Mitsumine-san, can you send this slip
out with the rest for me too?"
2007013020010,結華,はい、わかりました！,"Yes, I'll get it done!"
2007013020020,結華,"（補充やったら向こうの整理して、
レジが大変そうだったら──）","(Once inventory's done, work on keeping the other
side organized. Then move over to the cashier side 
if that seems busy──)"
2007013020030,結華,──、いらっしゃいませ！,"──Ah, welcome!"
0000000000000,客,"あの、すみません
探しているものがあるんですけど──","Excuse me, Miss...
I need help looking for something──"
2007013020040,結華,はい、お伺いします！,"Yes, I'll see what I can do!"
2007013020050,結華,（────『バイト募集』か）,"(────""Part-time Help Wanted"", huh...)"
2007013020060,結華,（こんな未来もあったのかなぁ）,(I wonder if a future like that would have existed.)
2007013020070,結華,"（学校行ってレポート書いて……
バイトして、遊んで、欲しいもの買って──……）","(Going to school, writing up papers, landing a job,
playing around, buying whatever I want──......）"
2007013020080,結華,（…………仲のいい同僚とか、頼れる先輩とか）,"(Getting along with co-workers...
Relying on your senpais...)"
2007013020090,結華,（…………）,(........)
2007013020100,結華,（……多分、なんとかしてはいるんだろうな）,"(...I guess, they'll be getting by fine.)"
2007013020110,結華,（──でも）,(──But...)
2007013020120,結華,（──……もう考えらんないや）,(──A life like that is something unimaginable now.)
2007013020130,結華,（当たり前だったのに、違うんだもん）,"(Even though my life now feels so ordinary,
it still feels so surreal...)"
2007013020140,結華,──ああ、怖い怖い,"──Oh man, it's so scary..."
2007013020150,結華,この場所の味、知っちゃったせいだ,...having realized the beauty of it all.
2007013020160,結華,（……ほんとに）,(It's honestly...)
2007013020170,結華,厄介じゃない？,...not so bad?
2007013020180,結華,"当たり前だからって、
なくならないわけじゃないのに","But just because nothing's coming out of the blue,
it doesn't mean that what I have won't fade away."
2007013020190,結華,……,......
2007013020200,結華,"……あーあ、残念
ここのケーキ美味しかったのになぁ","...Maaan, that's too bad!
Their cakes were so tasty too..."
2007013020210,結華,（…………ほんとに）,(Still...)
2007013020220,結華,（──いつかの幸運が、今の当たり前なんて）,"(It's scary thinking that all the luck I've had
since that day will...)"
2007013020230,結華,（本当に恐ろしい話────）,(...eventually run its course───)
0000000000000,店員,お次でお待ちのお客様──,Next customer!
2007013020240,結華,あっ、はい,"Ah, coming...!"
0000000000000,プロデューサー,"──お、結華
目当てのものは買えたか？","──Oh, Yuika.
Did you buy what you wanted?"
2007013020250,結華,（……慣れって困っちゃうなぁ）,(...it's still a struggle getting used it.)
2007013020260,結華,"うん！
お待たせプロデューサー、バッチリ！","Yup! It's in the bag!
Thanks for waiting, Producer."
0000000000000,プロデューサー,"ならよかった
──じゃあ行くか！","That's good to hear.
──Then, let's get going!"
2007013020270,結華,はーい,Kaaay!
0000000000000,プロデューサー,……？,......?
2007013020280,結華,ありゃ,Oh my!
select,,……どうした？,Did I miss something?
select,,俺、今何か変か？,"Did I... do
something
weird just now?"
select,,結華？,Yuika?
2007013020290,結華,"んー？
んふふっ、なんでもないよー？","Hmmmm?
Fufu, prooobably nothing?"
0000000000000,プロデューサー,……,......
2007013020300,結華,"なぁに？
納得してない？","Whaaat?
You don't believe me?"
0000000000000,プロデューサー,"……いや
何もないにしては上機嫌そうだな、と","...Well, it's as if you're suddenly in a good mood."
2007013020310,結華,あは、よく見てるじゃん,Aha! So you've been picking up.
2007013020320,結華,"Ｐたん見てたのは三峰の方なのにね
怖い怖ーい","P-tan's been looking at Mitsumine real good, huh?
Freeaakyyy~"
2007013020330,結華,ええ？　なんで？,Huh? Why?
0000000000000,プロデューサー,"にこにこしてるから……！
何かやらかしてるのかと……！","It's because you're grinning...!
So it makes me wonder if I've
screwed something up...!"
2007013020340,結華,あははっ、ちょっとぉ,"Ahaha, hold the fort..."
2007013020350,結華,"それ、三峰がＰたんの失敗をこっそり笑ってる
性悪だって言ってるー？","P-tan, are you saying that Mitsumine's the kind of
person who laughs behind your back whenever you
screw things up?"
0000000000000,プロデューサー,そこまでではないけど、近い感じではある……！,"I wouldn't go as far as that, but it's not too far off...!"
2007013020360,結華,"うーん、もう
言ってくれるじゃーん","Fufu... Gosh.
You sure know how to say it..."
2007013020370,結華,変に律儀なくせに！,...despite being so uptight.
2007013020380,結華,"やだーっ
目が合っちゃった、これもう恋では？","Oh nooo, our eyes have met!
Could this be love?"
0000000000000,プロデューサー,"ええ……？
日に何回恋始めるつもりなんだ","Huuuh...? So just how many times do you
plan to fall in love today?"
2007013020390,結華,わ、Ｐたんってばそんなに三峰見てるの？,"Wha, P-tan, were you looking at
Mitsumine thaaat much?"
0000000000000,プロデューサー,"いや俺っていうか、
他の人も含めてのカウントだろ？","No, it's that... you do know that means
you've got to count the times you've
done that with other people, right?"
2007013020400,結華,えええー……,Woooow...
2007013020410,結華,"こらこらＰたぁん
それは三峰の評価を改めてもらわないと","Listen up, P-tan. Your opinion on
Mitsumine really needs a second look."
2007013020420,結華,"あなた自慢のアイドルが、
そんなにチョロいとお思いで？","Do you take me, your esteemed idol,
to be head over heels that easy?"
0000000000000,プロデューサー,"だとしたら、そもそも最初から冗談だろ？
俺自慢のアイドルさん","Putting it like that, then you must
have been joking around from the start.
Isn't that right, my esteemed idol-san?"
info,produce_events/200701302.json,
Translator,Lewdacriz,
