id,name,text,trans
0000000000000,アイドルのツイスタ,『急なお知らせになってしまってごめんなさい』,"""We apologize to everyone for the sudden news"""
0000000000000,アイドルのツイスタ,"『次回のライブ＆握手会をもって、
わたしたちは解散します』","""We have decided to disband and retire following
the scheduled live and handshake event"""
3007016020010,結華,は……っ！？,Huh?!
3007016020020,恋鐘,"みんな聞いて～！
近くにうまかカレーの店のできたとって！","Hey guys, listen to this~!
A new place with tasty curry opened up 'round here!"
3007016020030,恋鐘,さっきスタッフさんに教えてもらった～！,One of the staff told me about it~!
3007016020040,咲耶,おや、それは興味深いね,Oh? Consider my interest piqued.
3007016020050,摩美々,お腹空いたぁ,"Sure, I'm hungry anyway."
3007016020060,霧子,"ふふ……
うん……","Fufu...
Let's go..."
3007016020070,咲耶,それじゃあ帰りに寄ってみるとしようか,"Okay, we'll stop by on the way back, then."
3007016020080,咲耶,結華は──……,"Are you coming, Yuika?"
3007016020090,結華,"ごめん、三峰はパス！
先約……！","Sorry, Mitsumine has to pass!
I've got other plans...!"
3007016020100,咲耶,そうか,I see...
3007016020110,結華,"誘ってくれたのに申し訳ない……！
次はぜひお供させて！","I know you invited me and all, but I promise
I'll make myself available for next time!"
3007016020120,恋鐘,"うん～！
今度また行こ～！","Yeah~!
Next time for sure~!"
3007016020130,結華,"ありがとう！
──じゃあほんとにごめん、お先に失礼します！","Thanks! Annnd, I'm seriously sorry,
but I need to get going...!"
3007016020131,一同,お疲れ様,Later!
3007016020140,結華,お疲れ様！,Later!
0000000000000,三つ編みのアイドル,──これが、最後の曲です……！,──This will be... our last song...!
3007016020150,結華,……っ……,......
0000000000000,二つ結びのアイドル,"今日だけじゃなくて、これから先ずっと
あたしたちにとっての最後の曲ですー……！","Not just for today, but from now on too.
This song will definitely be our last...!"
0000000000000,ファンたち,"嫌だー！
終わらないでー！","Nooo!
Don't end it all just yet...!"
0000000000000,ロングヘアのアイドル,"──もうみんなのアイドルでいられなくてごめんねぇ……！
聞いてくださぁい……っ……！","──Everyone! I'm sorry that we can't be your idols
anymore! But this will be our last song, so please
listen...!"
0000000000000,スタッフ,"握手会のチケットをお持ちの方のみご参加いただけます
係員の指示に従い、列を崩さずお進みください────","Only those with handshake event tickets are
allowed through here. Please follow directions
from the staff without breaking the line───"
3007016020160,結華,…………,......
3007016020170,結華,（……ああ……無理……！　どうしよう……！）,"(...Oh my gosh, I can't! What do I do...?!)"
3007016020180,結華,（今日の感想で、考えてきた文が塗り替えられる……！）,"(It's no use, they really are going to retire...!
So what do I say to them now?!)"
3007016020190,結華,"（でもほんと、『好き』……『最高』……！
とかで終わりになっちゃうのは避けたい……！）","(""I liked it""... ""It was the best""...? Am I seriously gonna
have to go with something as simple as that...?!)"
3007016020200,結華,"（高校の時に一目惚れしてからずっとずっと応援して──
いやさらっと自分の情報入れるないらない）","(""You caught my eye since high school, and I've been
rooting for you ever since"" ...no, they don't need
to know that...)"
3007016020210,結華,"（素晴らしさとどれだけ元気をもらったかを伝えて……
今までありがとうございましたって……）","(Maybe I should say how awesome they are and how
they kept me going? Or should I just say thanks for
all they've done...?)"
3007016020220,結華,"（────っていうかありがとう以上の感謝って
なんかないの……！？）","(────I mean, there's no better way to show
appreciation than that, right?!)"
0000000000000,スタッフ,次の方──,Next!
3007016020230,結華,！,!
0000000000000,ロングヘアのアイドル,わ、三峰ちゃんだぁ,"Oh wow, it's you, Mitsumine-chan!"
3007016020240,結華,"！
はい！","!
Yeah!"
0000000000000,ロングヘアのアイドル,"久しぶり──って言うのも変だね、
現場にはマメに来てくれてたもんねぇ","I would've said ""it's been a while,"" but it'd be weird
seeing that you're always one to show up."
0000000000000,ロングヘアのアイドル,最近わたしたちがライブできなかっただけだ,It's just that we barely held any new lives lately.
3007016020250,結華,そんな……！,No way...!
0000000000000,ロングヘアのアイドル,ごめんねぇ、ずっと推してくれてたのに,"You've done so much to support us too.
I'm sorry that we couldn't live up to that."
3007016020260,結華,"謝らないでっ、感謝しかないです……！
今までたくさんの元気をありがとう……！","Don't say that! I've got nothing but gratitude...!
I'm so grateful for everything you've done up
until now...!"
0000000000000,ロングヘアのアイドル,ふふっ、うん,"Hehe, thanks."
0000000000000,ロングヘアのアイドル,じゃあ握手ー,So you ready for that handshake?
3007016020270,結華,はい……！,Yes!
0000000000000,ロングヘアのアイドル,"……
三峰ちゃんはさ、頑張ってね","......
Hey, Mitsumine-chan. Do your best, okay?"
3007016020280,結華,え……？,Huh...?
0000000000000,ロングヘアのアイドル,"……アイドル
やれるだけ頑張ってね","...as an idol.
You keep on going as an idol, okay?"
3007016020290,結華,……──！,...!
0000000000000,ロングヘアのアイドル,"──ふふっ、終わりー
これまで応援してくれてありがとう","──Hehe, it's all over now~
Thank you for supporting us all this time."
0000000000000,ロングヘアのアイドル,ばいばい！,Sayonara!
3007016020300,結華,────っ……！,───......!
3007016020310,結華,…………,......
0000000000000,ロングヘアのアイドル,"……
三峰ちゃんはさ、頑張ってね","......
Hey, Mitsumine-chan. Do your best, okay?"
0000000000000,ロングヘアのアイドル,……アイドル,...as an idol.
3007016020320,結華,"（──私にそう言うのに、
何か思うところはなかっただろうか）",(I wonder what was in her head when she said that.)
3007016020330,結華,（同業者の──後輩の私に）,"(Compared to her, I'm just a junior idol working
in the same industry.)"
3007016020340,結華,"（後輩だけど──
それより先に、ファンだったから）","(I'm a junior, but I was just an idol fan even
before that.)"
3007016020350,結華,（最後にもう一度、背中を押してくれたんだろうか）,(Maybe it's her final way to push me forward...)
3007016020360,結華,（──だとしたら）,(If that's what she was going for...)
3007016020370,結華,（どこまでも、アイドル）,(Then I want to stay as an idol...)
3007016020380,結華,（──────なりたい）,(...no matter where I go.)
3007016020390,結華,…………,......
