id,name,text,trans
0000000000000,司会,ただいまより──……,I hereby announce...
0000000000000,司会,"イースターフェスティバルのメインイベント
エッグハントを開始いたします！","...the start of our annual Easter Festival's
main event── the Easter Egg Hunt!"
0000000000000,司会,"今回は特別ゲストとして
アンティーカの皆さんに来ていただきました！","We also have guests joining us this year.
Let's give a round of applause for L'Antica!"
3007020010010,恋鐘,よろしくお願いします～！,"Thanks for havin' us, y'all!"
0000000000000,司会,皆さん、今日はよろしくお願いします！,It's a huge pleasure to have you all here!
0000000000000,司会,"それでは……
早速エッグハントの説明に移りましょう！","Now, let's get right into it...
Let me explain the rules for the Egg Hunt!"
0000000000000,司会,"ルールは簡単
エリア内に隠してある卵を１チーム３つ見つけ……","The rules are simple.
Each team must find three eggs in the area..."
0000000000000,司会,終了時間までにゴール地点に持ってくること！,"And they must bring the eggs to the goal
before time runs out!"
0000000000000,司会,"集めた卵はゲーム終了後に
ゴール地点の特設エリアに飾り付けますので","After the game, the eggs you've all gathered
up will be displayed in the special area at the goal."
0000000000000,司会,"うっかり落として割らないよう
気を付けてくださいね！","So be careful not to drop and break them
by accident!"
0000000000000,司会,"このあと参加者の皆さんには
卵を入れる籠とエリアマップをお配りします！","Now that we have that covered, we will be handing
out egg baskets and maps to all participants!"
0000000000000,司会,"準備ができた方々は右手の門のところで
スタートの合図をお待ちいただいて──……","Once you're ready, please wait at the gate
to your right for the starting signal──...."
3007020010020,結華,スタートまでもう少し時間あるってー,"Looks like we still have some time left before
it starts."
3007020010030,咲耶,それなら、今のうちにみんなでマップを確認しておこうか,"Sounds like a good chance for us to check out
the map."
3007020010040,結華,うん！,Agreed!
3007020010050,恋鐘,"ふぇ～……
結構広かね～","Wooow～...
This place is huuuuge～"
3007020010060,咲耶,"ああ
卵を探すのも大変そうだ","Mhm.
Finding those eggs won't be easy."
3007020010070,結華,"やば、一番遠いエリアまで
20分かかるって書いてある……！","Daaang, it takes 20 minutes to go to the
farthest area...!"
3007020010080,恋鐘,20分……！？,20 minutes?!
3007020010090,霧子,"疲れないように……
しなきゃ……","We need to... make sure...
...we don't tire ourselves out..."
3007020010100,結華,"だねぇ
エネルギー切れになるわけにはいかないし","Pretty much.
We can't afford to run out of energy."
3007020010110,結華,──じゃ、まずは近場から攻めてく感じでどう？,So... Let's just tackle the nearby areas...
3007020010120,摩美々,ラジャー,Roger.
3007020010130,咲耶,近場と言うと──,Speaking of nearby areas...
3007020010140,結華,出店エリアの隣のエリアかな？,"The one next over with all the stalls, yeah?"
3007020010150,恋鐘,"！
出店～！","!
Oh THOSE stalls!"
3007020010160,恋鐘,"かわいかもんの並んどったとこやね～！
来る時に、気になって少し見てしもうた～","That's where all 'em cute stuff were lined up～!
I actually took a look on the way～"
3007020010170,恋鐘,"イースターエッグデザインのクッキーとか
うさぎモチーフのドリンクとか～……","There were these Easter Egg cookies and
bunny-themed drinks an' stuff!"
3007020010180,恋鐘,ぜ～んぶ美味しそうやったばい～！,"And believe me, they look sooo tasty～!"
3007020010190,霧子,わ……,Wow...!
3007020010200,結華,えーっ、出店エリアすご！,"Ooo, that sounds like the place to be!"
3007020010210,咲耶,ああ、興味を惹かれるね,"Yeah, makes you want to check them all out,
doesn't it?"
3007020010220,咲耶,その奥には自然公園があるみたいだ,Looks like there's a park just ahead too.
3007020010230,霧子,気持ちよさそう……,It has a nice vibe...
3007020010240,恋鐘,ピクニックしたら楽しそうな場所やね～！,Sounds like the perfect spot for a picnic too～!
3007020010250,結華,ねー！,So true!
3007020010260,結華,"エッグハント視点で考えると、
木とか茂みとかが卵の隠し場所になってそうだし……！","But hey, that also sounds like the perfect place
to hide the eggs...!"
3007020010270,摩美々,"あー
あとは、変なところにあるかもだよねー","Huh......
Though, they could be other weird spots too."
3007020010280,結華,というと？,Like where?
3007020010290,摩美々,"んー
……木の上とかぁ？","Hmm.
...Maybe hiding up a tree?"
3007020010300,結華,えー困る！　届かないじゃん！,"Eh, that's excessive! No one can reach for those!"
3007020010310,摩美々,もしくは土の中ぁ？,Or maybe buried underground?
3007020010320,結華,それも困る～！　スコップないもん！,"That's just as bad!
Who'd even bring a shovel for this?!"
3007020010330,咲耶,フフッ,Hehe!
3007020010340,咲耶,"土の中にあるかはわからないけれど、
低い場所に隠されている可能性はありそうだね","I don't know about underground, but it's more
likely that they'd hide them somewhere low."
3007020010350,霧子,"小さい子……
たくさん、いるから……","For the kids...
There's so many..."
3007020010360,恋鐘,"そいじゃあ、小さか子と同じ目の高さで探したら
見つかりやすかかもしれんね～","Oh okay, so if we're at their eye-level, then
that should make it easier for us～!"
3007020010370,結華,目安は腰くらいかな？,Maybe around waist height?
3007020010380,霧子,"ふふ……
低く……ならなきゃ……","Fufu...
We'll have... to get low..."
0000000000000,アナウンス,"まもなく、エッグハントがスタートいたします
参加の皆様は──……","The Egg Hunt will begin shortly.
To all participants, please proceed to── "
3007020010390,結華,お、始まる,"Oh, it's starting."
3007020010400,恋鐘,"んふふ～
エッグハント、頑張らんば～！","Ehehe～
Let's give this our best shot!"
info,produce_events/300702001.json,
Translator,Lewdacriz,
