id,name,text,trans
4001001020010,灯織,"……っ……！
まだまだダメ、もう１度……","Tch! It's still no good, I'll try again."
4001001020020,真乃,あ、あれ？　灯織ちゃん？,A-Ah? Is that Hiori?
4001001020030,灯織,……！　櫻木さん。おはよう,"...! Sakuragi, good morning!"
4001001020040,真乃,"お、おはよう。灯織ちゃん、早いんだね
レッスンの時間、まだなのに","Ah, good morning, Hiori. You're early. It's still not even time for practice."
4001001020050,灯織,"……気になるところがあったから、確かめておきたくて
少しでも進めておかないと、後で困るだろうし……",I was somewhat worried about one step and wanted to make sure. It would be problematic if I did not understand it later.
4001001020060,真乃,ほわ……すごい……,Whoa... amazing.
4001001020070,灯織,え？,Hm?
4001001020080,真乃,あ、ごめんねっ。あの、変な意味じゃなくて,"Ah, I'm sorry. I didn't mean to be weird."
4001001020090,真乃,"灯織ちゃんは、これからのことを考えて、
今頑張ってるんだなって思ったから……"," I meant that about how you are already thinking ahead and trying your best."
4001001020100,灯織,"それは……当たり前のことじゃない？
櫻木さんは違うの？",Isn't that kind of expected? Aren't you doing the same?
4001001020110,真乃,も、もちろんそうなんだけどっ,"Well, of course I am but..."
4001001020120,真乃,"……でも、私だったらきっと、
目の前のことでいっぱいいっぱいになっちゃうと思うんだ","But when it comes to me, I tend to get lost and overthink things."
4001001020130,真乃,"だから、灯織ちゃんはすごいなって！
私も、見習わないと……",That's why I think you are amazing! I admire you.
4001001020140,灯織,そんな、すごいことってわけじゃ……,Well that's... I'm not anything special...
4001001020150,真乃,"そ、そんなことは……！
……えっ、と……",Tha... That's... ummm.
4001001020160,灯織,…………,......
4001001020170,めぐる,"おっはよー！
みんなそろってるー？",Good morning! Is everybody here?
4001001020180,真乃,"あ、めぐるちゃん……！
おはよう","Ah, Meguru! Good morning!"
4001001020190,灯織,……おはよう、八宮さん,"...Good morning, Hachimiya."
4001001020200,めぐる,"えへへ、揃ってたね。わたしが最後だったか
ふたりとも、もうレッスン始めてた？","Ehehe, you're both here. It looks like I'm last. Did you two already start practice?"
4001001020210,真乃,"ううん
私も、今来たばかりだから","Not yet, I also just got here."
4001001020220,灯織,……時間だよ。そろそろ、始めよう,...It's time. Let's get started!
4001001020230,めぐる,"よーし！
気合入れていこー！",Let's go! Let's get heated up!
4001001020240,灯織,"まずはボイストレーニングからだね
３人で声を合わせてみよう","First, let's start with voice training. Let's see what the three of sound like together."
4001001020250,灯織,……ふぅ……一旦、休憩にしようか,"Awh, how about we take a break?"
4001001020260,めぐる,そうだねー……！　お疲れさま～！,We should! Good job everyone!
4001001020270,真乃,お疲れさま……！,Good work.
4001001020280,めぐる,……真乃、すごいね。すっごく綺麗な声だった！,"Mano, you're amazing. You have such a pretty voice!"
4001001020290,真乃,"ほわっ。そ、そう、かな……？
自分では、よくわからないけど……",D-Do I...? I'm not so sure about that myself.
4001001020300,灯織,"私も綺麗だと思った。その声、櫻木さんの魅力だから
しっかりと自覚をもって伸ばしていった方がいい",I also thought you sounded very beautiful. I think your voice is what makes you unique and gives you even greater potential.
4001001020310,真乃,"灯織ちゃんまで……
その、ありがとう……！",Hiori too... T-Thank you.
4001001020320,灯織,"……もう少し休んだら、次はダンスレッスンに移ろう
振りつけの確認から、軽く踊ってみるところまで","After our break ends, next is the dance lesson. Let's try to learn the choreography as much we can."
4001001020330,真乃,うんっ,Yes.
4001001020340,めぐる,オッケー！,Okay!
4001001020350,めぐる,"……じゃあ、最後はわたしの番だね！
いっくよー！","...Well then, I guess it's finally my turn! Here I go!"
4001001020360,灯織,八宮さん、すごく楽しそうに踊ってる……,"Hachimiya, looks like she's enjoying dancing so much."
4001001020370,真乃,"ほわぁ……
めぐるちゃん、すごい……",Wow... Meguru is amazing.
4001001020380,真乃,鳥さんが……空を飛んでるみたいな……,She looks like a bird flying in the sky.
4001001020390,灯織,……私も、負けてられないな……,I can't lose to her...
4001001020400,めぐる,……よしっ。こんな感じかな！,"Uffgh, just like that!"
4001001020410,めぐる,これで１周だねっ,That's the first part.
4001001020420,灯織,"お疲れ様
八宮さんのダンス、すごくキレがあった","Good work, your dancing is very beautiful."
4001001020430,めぐる,"ほんとっ？　ありがとう！
いろいろ助っ人やってたおかげかな？",Really? Thank you! Maybe it's because of all the backup sports I do.
4001001020440,めぐる,やっぱり、体を動かすのってすっごく楽しい！,It really is fun getting to move your body!
4001001020450,真乃,めぐるちゃんは、ダンスが好きなんだね,I also really love Meguru's dancing skills.
4001001020460,めぐる,そうかも！　えへへー、また好きなものが増えちゃった,"Really? Hehehe, maybe you’re already starting to like me."
4001001020470,灯織,……,......
4001001020480,灯織,……今度は、歌とダンスを合わせてみよう,"This time, let's put the vocals and dance together."
4001001020490,めぐる,ダメだぁ……！　何回やっても合わないよ～……！,Oof... It's no good... No matter how many times we do it we aren't in sync.
4001001020500,真乃,"ほわ……ごめんなさい……
私、上手くできなくて……",I'm sorry... I'm not very good at this.
4001001020510,灯織,"…………
ふたりとも、大丈夫？",Are you two okay?
4001001020520,めぐる,"うん、大丈夫だよ。ごめんね、ついていけてなくて
混乱しないでできてるの、灯織だけだったね","Yes, I'm okay. I'm sorry I can't keep up. It seems Hiori is the only one who can keep up."
4001001020530,真乃,"灯織ちゃん、すごく上手だった……！
どうやったら、いいのかな……",Hiori is amazingly skilled..! Do you have any tips?
4001001020540,灯織,"……バランス、かな
歌とダンス、どちらかにかかりきりになったらダメなの",I would say balance. Not focusing too hard on just singing or dancing but giving both equal attention.
4001001020550,灯織,体が完全に覚えるまで、反復練習をして……,"Until it's embedded into your body, all we can do is practice."
4001001020560,灯織,"……とにかく。慣れるまでは、繰り返すしかないよ
たくさん練習しないと","In other words, if we want to get good, all we have to do is practice more."
4001001020570,めぐる,"そっか、そうだね！　レッスンあるのみだ！
真乃、追いつけるように、一緒に頑張ろうね！","I see! That is the reason for lessons. Mano, Lets try our best to keep up!"
4001001020580,真乃,うん……！,Yes!
4001001020590,めぐる,今日はお疲れ！　次もよろしくねっ,Good work today! I'll see you guys next time.
4001001020600,灯織,お疲れ様。また次のレッスンで,"Good work, until the next practice..."
4001001020610,真乃,うん。お疲れさま……！,"Yes, good work..."
4001001020620,真乃,ほわ…………,Fwah......
4001001020630,真乃,（……今日のレッスン、ダメダメだったな……）,(Today's lesson was really bad...)
4001001020640,真乃,"（灯織ちゃんは努力家だし、
めぐるちゃんはパワーがあって……）",(Hiori is so skilled and Meguru has so much power.)
4001001020650,真乃,"（今のままじゃ、
きっと、みんなに迷惑をかけちゃう……）","As of now, surely the others are thinking that I'm just a nuisance."
4001001020660,真乃,……がんばらないと……,I just have to try my best.
4001001020670,真乃,"（灯織ちゃんとめぐるちゃんと３人で、
イルミネーションスターズになるために──）",(To become illumination STARS with Hiori and Meguru!)
4001001020680,真乃,"……よーし、頑張るぞっ
むんっ","...Okay, I'll try my best! Mun!"
info,game_event_communications/400100102.json,
译者,,
